tconst,ordering,nconst,titleType_x,originalTitle_x,isAdult_x,endYear_x,runtimeMinutes_x,titleType_y,primaryTitle,originalTitle_y,isAdult_y,startYear,endYear_y,runtimeMinutes_y,genres,primaryName,birthYear,deathYear,primaryProfession,knownForTitles,age
tt0018867,4.0,nm0520467,movie,Escape from Hong Kong,0.0,\N,60,movie,Escape from Hong Kong,Escape from Hong Kong,0,1942,\N,60,"Adventure,Mystery,War",Marjorie Lord,1918,2015,"actress,soundtrack,archive_footage","tt0045410,tt0028998,tt0035611,tt0042323",24
tt0024121,1.0,nm0427034,movie,Houkutuslintu,0.0,\N,84,movie,Houkutuslintu,Houkutuslintu,0,1946,\N,84,Drama,Laila Jokimo,1921,1988,actress,"tt0024121,tt0037072,tt0138847,tt0033798",25
tt0027318,2.0,nm0029781,movie,August järjestää kaiken,0.0,\N,95,movie,August järjestää kaiken,August järjestää kaiken,0,1942,\N,95,Comedy,Siiri Angerkoski,1902,1971,"actress,soundtrack,archive_footage","tt0133371,tt0030514,tt0417416,tt0046172",40
tt0028038,2.0,nm0432041,movie,Non mi sposo più,0.0,\N,82,movie,Non mi sposo più,Non mi sposo più,0,1942,\N,82,Comedy,Jenny Jugo,1904,2001,"actress,archive_footage","tt0032835,tt0141753,tt0019110,tt0022923",38
tt0028039,1.0,nm0581024,movie,Non ti conosco più,0.0,\N,65,movie,Quando Donna Vuole,Non ti conosco più,0,1940,\N,65,Comedy,Elsa Merlini,1903,1983,"actress,archive_footage","tt0034090,tt0027671,tt0172043,tt0299354",37
tt0028058,3.0,nm0669084,movie,Olympic Honeymoon,0.0,\N,63,movie,Olympic Honeymoon,Olympic Honeymoon,0,1940,\N,63,Comedy,Princess Pearl,1913,2002,"actress,soundtrack","tt0027589,tt0029458,tt0028058",27
tt0029105,2.0,nm0139731,movie,The Lady from Lisbon,0.0,\N,75,movie,Lady from Lisbon,The Lady from Lisbon,0,1942,\N,75,"Comedy,Thriller,War",Jane Carr,1909,1957,"actress,soundtrack,archive_footage","tt0024659,tt0027136,tt0250616,tt0029228",33
tt0029284,1.0,nm0002050,movie,My Favorite Wife,0.0,\N,88,movie,My Favorite Wife,My Favorite Wife,0,1940,\N,88,"Comedy,Romance",Irene Dunne,1898,1990,"actress,soundtrack,archive_footage","tt0028597,tt0031593,tt0040458,tt0029284",42
tt0029704,2.0,nm0219166,movie,L'ultima nemica,0.0,\N,88,movie,The Last Enemy,L'ultima nemica,0,1940,\N,88,Drama,Maria Denis,1916,2004,actress,"tt0035515,tt0034194,tt0025496,tt0038437",24
tt0029859,2.0,nm0173978,movie,Altes Herz geht auf die Reise,0.0,\N,87,movie,Altes Herz geht auf die Reise,Altes Herz geht auf die Reise,0,1947,\N,87,Drama,Vera Complojer,1896,1969,actress,"tt0407891,tt0061866,tt0033275,tt0164600",51
tt0029876,3.0,nm0356420,movie,El fanfarrón: ¡Aquí llegó el valentón!,0.0,\N,83,movie,El fanfarrón: ¡Aquí llegó el valentón!,El fanfarrón: ¡Aquí llegó el valentón!,0,1940,\N,83,"Adventure,Drama,Western",Magda Haller,1915,1981,"actress,archive_footage","tt0025062,tt0031741,tt0027950,tt0223060",25
tt0030495,3.0,nm0738331,movie,Narcisse,0.0,\N,95,movie,Narcisse,Narcisse,0,1940,\N,95,Drama,Monique Rolland,1913,1999,actress,"tt0023563,tt0170002,tt0193748,tt0202532",27
tt0030827,2.0,nm0814914,movie,Szüts Mara házassága,0.0,\N,91,movie,Szüts Mara házassága,Szüts Mara házassága,0,1941,\N,91,Romance,Éva Szörényi,1917,2009,"actress,archive_footage","tt0130820,tt0030511,tt0891574,tt0033126",24
