tconst,ordering_M,nconst_M,primaryName_M,knownForTitles_M,age_M,ordering_F,nconst_F,titleType_x,originalTitle_x,isAdult_x,endYear_x,runtimeMinutes_x,titleType_y,primaryTitle,originalTitle_y,isAdult_y,startYear,endYear_y,runtimeMinutes_y,genres,primaryName_F,birthYear,deathYear,primaryProfession,knownForTitles_F,age_F,age_gap
tt0031612,1.0,nm0001452,Charles Laughton,"tt0051201,tt0026752,tt0054331,tt0026955",44,2.0,nm0001931,movie,The Man from Down Under,0.0,\N,103.0,movie,The Man from Down Under,The Man from Down Under,0,1943,\N,103,"Action,Comedy,Drama",Binnie Barnes,1903,1998,"actress,producer,soundtrack","tt0039037,tt0038108,tt0024473,tt0028373",40,4
tt0032199,1.0,nm0178313,Ralph Cooper,"tt0030089,tt0028917,tt0028118,tt0135426",32,2.0,nm0507783,movie,Am I Guilty?,0.0,\N,70.0,movie,Am I Guilty?,Am I Guilty?,0,1940,\N,70,"Action,Crime,Drama",Sybil Lewis,1919,1988,actress,"tt0032833,tt0135169,tt0032199,tt0040593",21,11
tt0032246,1.0,nm0634313,Lloyd Nolan,"tt0091167,tt0062575,tt0065377,tt0071455",38,2.0,nm0202589,movie,Behind the News,0.0,\N,75.0,movie,Behind the News,Behind the News,0,1940,\N,75,"Action,Comedy,Crime",Doris Davenport,1917,1980,"actress,soundtrack,archive_footage","tt0032246,tt0033253,tt0025347,tt0031955",23,15
tt0032279,2.0,nm0636071,Ted North,"tt0039941,tt0032321,tt0035405,tt0032279",24,1.0,nm0731376,movie,The Bride Wore Crutches,0.0,\N,55.0,movie,The Bride Wore Crutches,The Bride Wore Crutches,0,1940,\N,55,"Action,Adventure,Comedy",Lynne Roberts,1922,1978,"actress,soundtrack,archive_footage","tt0040539,tt0032279,tt0039707,tt0040561",18,6
tt0032304,1.0,nm0001514,Victor Mature,"tt0046247,tt0039536,tt0038762,tt0035103",27,2.0,nm0686883,movie,Captain Caution,0.0,\N,86.0,movie,Captain Caution,Captain Caution,0,1940,\N,86,"Action,Adventure,Romance",Louise Platt,1915,2003,"actress,soundtrack,archive_footage","tt0031971,tt0032304,tt0032010,tt0032485",25,2
tt0032358,5.0,nm0001229,Glenn Ford,"tt0038559,tt0078346,tt0055312,tt0045555",24,1.0,nm0399955,movie,Convicted Woman,0.0,\N,65.0,movie,Convicted Woman,Convicted Woman,0,1940,\N,65,"Action,Crime,Drama",Rochelle Hudson,1916,1972,"actress,soundtrack,archive_footage","tt0025301,tt0033971,tt0028651,tt0048545",24,0
tt0032395,5.0,nm0147203,John Cawas,"tt0390654,tt0032395,tt0451805,tt0242832",30,1.0,nm0269884,movie,Diamond Queen,0.0,\N,155.0,movie,Diamond Queen,Diamond Queen,0,1940,\N,155,"Action,Adventure",Fearless Nadia,1908,1996,"actress,stunts,writer","tt0268376,tt0032395,tt0271640,tt0273271",32,-2
tt0032420,1.0,nm0104770,Henry Brandon,"tt0049730,tt0074156,tt0049833,tt0024852",28,4.0,nm0291432,movie,Drums of Fu Manchu,0.0,\N,269.0,movie,Drums of Fu Manchu,Drums of Fu Manchu,0,1940,\N,269,"Action,Adventure,Crime",Gloria Franklin,1923,1984,"actress,music_department,soundtrack","tt0032420,tt0031549,tt0030974,tt0032774",17,11
tt0032424,1.0,nm0599910,Robert Montgomery,"tt0029310,tt0039545,tt0033712,tt0033922",36,7.0,nm0889540,movie,The Earl of Chicago,0.0,\N,87.0,movie,The Earl of Chicago,The Earl of Chicago,0,1940,\N,87,"Action,Comedy,Crime",Norma Varden,1898,1989,"actress,soundtrack,archive_footage","tt0045810,tt0044079,tt0051201,tt0059742",42,-6
tt0032475,1.0,nm0185568,Buster Crabbe,"tt0032290,tt0037115,tt0025755,tt0027623",32,2.0,nm0400490,movie,Flash Gordon Conquers the Universe,0.0,\N,195.0,movie,Flash Gordon Conquers the Universe,Flash Gordon Conquers the Universe,0,1940,\N,195,"Action,Adventure,Family",Carol Hughes,1910,1995,"actress,soundtrack,archive_footage","tt0032274,tt0032475,tt0030193,tt0029475",30,2
