tconst,ordering,nconst,titleType_x,originalTitle_x,isAdult_x,endYear_x,runtimeMinutes_x,titleType_y,primaryTitle,originalTitle_y,isAdult_y,startYear,endYear_y,runtimeMinutes_y,genres,primaryName,birthYear,deathYear,primaryProfession,knownForTitles,age
tt0031612,2.0,nm0001931,movie,The Man from Down Under,0.0,\N,103.0,movie,The Man from Down Under,The Man from Down Under,0,1943,\N,103,"Action,Comedy,Drama",Binnie Barnes,1903,1998,"actress,producer,soundtrack","tt0039037,tt0038108,tt0024473,tt0028373",40
tt0032199,2.0,nm0507783,movie,Am I Guilty?,0.0,\N,70.0,movie,Am I Guilty?,Am I Guilty?,0,1940,\N,70,"Action,Crime,Drama",Sybil Lewis,1919,1988,actress,"tt0032833,tt0135169,tt0032199,tt0040593",21
tt0032246,2.0,nm0202589,movie,Behind the News,0.0,\N,75.0,movie,Behind the News,Behind the News,0,1940,\N,75,"Action,Comedy,Crime",Doris Davenport,1917,1980,"actress,soundtrack,archive_footage","tt0032246,tt0033253,tt0025347,tt0031955",23
tt0032279,1.0,nm0731376,movie,The Bride Wore Crutches,0.0,\N,55.0,movie,The Bride Wore Crutches,The Bride Wore Crutches,0,1940,\N,55,"Action,Adventure,Comedy",Lynne Roberts,1922,1978,"actress,soundtrack,archive_footage","tt0040539,tt0032279,tt0039707,tt0040561",18
tt0032304,2.0,nm0686883,movie,Captain Caution,0.0,\N,86.0,movie,Captain Caution,Captain Caution,0,1940,\N,86,"Action,Adventure,Romance",Louise Platt,1915,2003,"actress,soundtrack,archive_footage","tt0031971,tt0032304,tt0032010,tt0032485",25
tt0032358,1.0,nm0399955,movie,Convicted Woman,0.0,\N,65.0,movie,Convicted Woman,Convicted Woman,0,1940,\N,65,"Action,Crime,Drama",Rochelle Hudson,1916,1972,"actress,soundtrack,archive_footage","tt0025301,tt0033971,tt0028651,tt0048545",24
tt0032395,1.0,nm0269884,movie,Diamond Queen,0.0,\N,155.0,movie,Diamond Queen,Diamond Queen,0,1940,\N,155,"Action,Adventure",Fearless Nadia,1908,1996,"actress,stunts,writer","tt0268376,tt0032395,tt0271640,tt0273271",32
tt0032420,4.0,nm0291432,movie,Drums of Fu Manchu,0.0,\N,269.0,movie,Drums of Fu Manchu,Drums of Fu Manchu,0,1940,\N,269,"Action,Adventure,Crime",Gloria Franklin,1923,1984,"actress,music_department,soundtrack","tt0032420,tt0031549,tt0030974,tt0032774",17
tt0032424,7.0,nm0889540,movie,The Earl of Chicago,0.0,\N,87.0,movie,The Earl of Chicago,The Earl of Chicago,0,1940,\N,87,"Action,Comedy,Crime",Norma Varden,1898,1989,"actress,soundtrack,archive_footage","tt0045810,tt0044079,tt0051201,tt0059742",42
tt0032475,2.0,nm0400490,movie,Flash Gordon Conquers the Universe,0.0,\N,195.0,movie,Flash Gordon Conquers the Universe,Flash Gordon Conquers the Universe,0,1940,\N,195,"Action,Adventure,Family",Carol Hughes,1910,1995,"actress,soundtrack,archive_footage","tt0032274,tt0032475,tt0030193,tt0029475",30
