tconst,ordering,nconst,titleType,originalTitle,isAdult,endYear,runtimeMinutes,primaryTitle,startYear,genres,primaryName,birthYear,deathYear,primaryProfession,knownForTitles,age
tt0032674,3.0,nm0662335,movie,Knights of the Range,0.0,\N,70.0,Knights of the Range,1940,"Action,Music,Romance",Jean Parker,1915,2005,"actress,soundtrack,archive_footage","tt0024264,tt0042531,tt0035453,tt0036653",25
tt0032890,2.0,nm0197713,movie,Parole Fixer,0.0,\N,68.0,Parole Fixer,1940,"Action,Crime,Drama",Virginia Dale,1917,1994,"actress,soundtrack,archive_footage","tt0034862,tt0031221,tt0031031,tt0040296",23
tt0034510,1.0,nm0483787,movie,Beyond the Blue Horizon,0.0,\N,76.0,Beyond the Blue Horizon,1942,"Action,Adventure,Comedy",Dorothy Lamour,1914,1996,"actress,soundtrack,archive_footage","tt0092796,tt0032993,tt0057007,tt0039645",28
tt0035244,3.0,nm0002104,movie,Reap the Wild Wind,0.0,\N,123.0,Reap the Wild Wind,1942,"Action,Adventure,Drama",Paulette Goddard,1910,1990,"actress,producer,soundtrack","tt0032520,tt0027977,tt0033722,tt0037849",32
tt0035458,2.0,nm0662335,movie,Torpedo Boat,0.0,\N,70.0,Torpedo Boat,1942,"Action,Drama,Romance",Jean Parker,1915,2005,"actress,soundtrack,archive_footage","tt0024264,tt0042531,tt0035453,tt0036653",27
tt0036161,2.0,nm0662335,movie,Minesweeper,0.0,\N,67.0,Minesweeper,1943,"Action,Adventure,Comedy",Jean Parker,1915,2005,"actress,soundtrack,archive_footage","tt0024264,tt0042531,tt0035453,tt0036653",28
tt0036845,2.0,nm0446715,movie,Gambler's Choice,0.0,\N,66.0,Gambler's Choice,1944,"Action,Crime,Drama",Nancy Kelly,1921,1995,"actress,soundtrack,archive_footage","tt0048977,tt0031507,tt0035795,tt0032873",23
tt0037316,2.0,nm0206478,movie,The Story of Dr. Wassell,0.0,\N,140.0,The Story of Dr. Wassell,1944,"Action,Adventure,Drama",Laraine Day,1920,2007,"actress,soundtrack,archive_footage","tt0032484,tt0038700,tt0038164,tt0042049",24
tt0037379,2.0,nm0110159,movie,Till We Meet Again,0.0,\N,88.0,Till We Meet Again,1944,"Action,Adventure,Drama",Barbara Britton,1919,1980,"actress,archive_footage","tt0038513,tt0042325,tt0040616,tt0040543",25
tt0037777,2.0,nm0112198,movie,High Powered,0.0,\N,62,High Powered,1945,"Action,Adventure,Drama",Phyllis Brooks,1915,1995,"actress,soundtrack","tt0028765,tt0030657,tt0031149,tt0030371",30
tt0038915,2.0,nm0796662,movie,The Searching Wind,0.0,\N,108,The Searching Wind,1946,"Action,Drama,War",Sylvia Sidney,1910,1999,"actress,archive_footage","tt0094721,tt0116996,tt0070748,tt0028212",36
tt0039001,2.0,nm0340706,movie,Swamp Fire,0.0,\N,69,Swamp Fire,1946,"Action,Adventure,Drama",Virginia Grey,1917,2004,"actress,soundtrack,archive_footage","tt0065377,tt0040920,tt0032143,tt0031047",29
tt0039056,6.0,nm0273488,movie,Two Years Before the Mast,0.0,\N,98,Two Years Before the Mast,1946,"Action,Adventure,Drama",Esther Fernández,1918,1999,"actress,writer,soundtrack","tt0218257,tt0202564,tt0027338,tt0218075",28
tt0039133,2.0,nm0281766,movie,Adventure Island,0.0,\N,66,Adventure Island,1947,"Action,Adventure,Comedy",Rhonda Fleming,1923,2020,"actress,soundtrack,archive_footage","tt0039689,tt0038109,tt0081249,tt0041259",24
tt0039196,1.0,nm0000879,movie,Blaze of Noon,0.0,\N,90,Blaze of Noon,1947,"Action,Drama",Anne Baxter,1923,1985,"actress,soundtrack,archive_footage","tt0042192,tt0049833,tt0035015,tt0038873",24
tt0039235,2.0,nm0751149,movie,Calcutta,0.0,\N,83,Calcutta,1946,"Action,Crime,Drama",Gail Russell,1924,1961,"actress,soundtrack,archive_footage","tt0037415,tt0039152,tt0039235,tt0040643",22
tt0040196,2.0,nm0752846,movie,Caged Fury,0.0,\N,60.0,Caged Fury,1948,"Action,Crime,Drama",Sheila Ryan,1921,1975,"actress,soundtrack,archive_footage","tt0038459,tt0039580,tt0036379,tt0033676",27
