tconst,primaryTitle,startYear,genres
tt0032890,Parole Fixer,1940,"Action,Crime,Drama"
tt0032674,Knights of the Range,1940,"Action,Music,Romance"
tt0035458,Torpedo Boat,1942,"Action,Drama,Romance"
tt0035244,Reap the Wild Wind,1942,"Action,Adventure,Drama"
tt0034510,Beyond the Blue Horizon,1942,"Action,Adventure,Comedy"
tt0035530,Wake Island,1942,"Action,Drama,War"
tt0036161,Minesweeper,1943,"Action,Adventure,Comedy"
tt0036845,Gambler's Choice,1944,"Action,Crime,Drama"
tt0037316,The Story of Dr. Wassell,1944,"Action,Adventure,Drama"
tt0037379,Till We Meet Again,1944,"Action,Adventure,Drama"
tt0037777,High Powered,1945,"Action,Adventure,Drama"
tt0038915,The Searching Wind,1946,"Action,Drama,War"
tt0039001,Swamp Fire,1946,"Action,Adventure,Drama"
tt0039056,Two Years Before the Mast,1946,"Action,Adventure,Drama"
tt0039235,Calcutta,1946,"Action,Crime,Drama"
tt0039196,Blaze of Noon,1947,"Action,Drama"
tt0039133,Adventure Island,1947,"Action,Adventure,Comedy"
tt0040196,Caged Fury,1948,"Action,Crime,Drama"
