tconst,ordering_M,nconst_M,primaryName_M,knownForTitles_M,age_M,ordering_F,nconst_F,primaryTitle,startYear,genres,primaryName_F,birthYear,deathYear,primaryProfession,knownForTitles_F,age_F,age_gap
tt0032622,1.0,nm0852710,Kent Taylor,"tt0032622,tt0040414,tt0033113,tt0031335",34,2.0,nm0371123,I'm Still Alive,1940,"Action,Adventure,Drama",Linda Hayes,1918,1995,"actress,soundtrack,archive_footage","tt0031370,tt0032622,tt0031641,tt2381111",22,12
tt0032642,1.0,nm0307326,William Gargan,"tt0024617,tt0023369,tt0040112,tt0024097",35,3.0,nm0485806,Isle of Destiny,1940,"Action,Adventure,Drama",June Lang,1917,2005,"actress,soundtrack,archive_footage","tt0022753,tt0030430,tt0034087,tt0031328",23,12
tt0032761,1.0,nm0228715,Richard Dix,"tt0021746,tt0015117,tt0016439,tt0016345",47,3.0,nm0000840,The Marines Fly High,1940,"Action,Adventure,Drama",Lucille Ball,1911,1989,"producer,actress,production_manager","tt0043208,tt0055686,tt0062570,tt0047191",29,18
tt0032781,1.0,nm0228715,Richard Dix,"tt0021746,tt0015117,tt0016439,tt0016345",47,4.0,nm0057412,Men Against the Sky,1940,"Action,Adventure,Drama",Wendy Barrie,1912,1978,"actress,soundtrack,archive_footage","tt0033650,tt0031890,tt0033517,tt0033013",28,19
tt0033014,1.0,nm0001695,George Sanders,"tt0042192,tt0032976,tt0037988,tt0033873",34,3.0,nm0721748,The Saint's Double Trouble,1940,"Action,Crime,Drama",Helene Reynolds,1914,1990,actress,"tt0035979,tt0031455,tt0035272,tt0035027",26,8
tt0033265,2.0,nm0485704,Charles Lang,"tt0033945,tt0045604,tt0040645,tt0048331",25,1.0,nm0942039,Wildcat Bus,1940,"Action,Crime,Drama",Fay Wray,1907,2004,"actress,writer,camera_department","tt0024216,tt0023238,tt0022827,tt0024368",33,-8
tt0035308,1.0,nm0185883,James Craig,"tt0033532,tt0035980,tt0039301,tt0035308",30,2.0,nm0335748,Seven Miles from Alcatraz,1942,"Action,Drama,Thriller",Bonita Granville,1923,1988,"producer,actress,director","tt0035140,tt0030442,tt0030491,tt0028356",19,11
tt0035480,1.0,nm0490713,Chester Lauck,"tt0035480,tt0033379,tt0049454,tt0032417",41,4.0,nm0510989,Two Weeks to Live,1943,"Action,Comedy",Kay Linaker,1913,2008,"actress,writer,soundtrack","tt0094761,tt0051418,tt0035532,tt0031371",30,11
tt0036414,1.0,nm0919321,Johnny Weissmuller,"tt0023551,tt0035419,tt0042311,tt0036414",39,2.0,nm0317519,Tarzan Triumphs,1943,"Action,Adventure,War",Frances Gifford,1920,1994,"actress,archive_footage","tt0036414,tt0034798,tt0032602,tt0033776",23,16
tt0036636,1.0,nm0000068,Randolph Scott,"tt0026942,tt0056412,tt0046375,tt0051047",46,2.0,nm0497346,Belle of the Yukon,1944,"Action,Musical,Romance",Gypsy Rose Lee,1911,1970,"actress,writer,soundtrack","tt0036636,tt0028566,tt0036384,tt0029902",33,13
tt0036798,1.0,nm0692439,Eric Portman,"tt0036695,tt0039306,tt0061180,tt0049067",42,2.0,nm0245304,Escape to Danger,1943,"Action,Romance,Thriller",Ann Dvorak,1911,1979,"actress,miscellaneous,soundtrack","tt0023427,tt0028695,tt0026393,tt0023590",32,10
