tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres
tt0031612,movie,The Man from Down Under,The Man from Down Under,0,1943,\N,103,"Action,Comedy,Drama"
tt0032199,movie,Am I Guilty?,Am I Guilty?,0,1940,\N,70,"Action,Crime,Drama"
tt0032246,movie,Behind the News,Behind the News,0,1940,\N,75,"Action,Comedy,Crime"
tt0032279,movie,The Bride Wore Crutches,The Bride Wore Crutches,0,1940,\N,55,"Action,Adventure,Comedy"
tt0032304,movie,Captain Caution,Captain Caution,0,1940,\N,86,"Action,Adventure,Romance"
tt0032358,movie,Convicted Woman,Convicted Woman,0,1940,\N,65,"Action,Crime,Drama"
tt0032395,movie,Diamond Queen,Diamond Queen,0,1940,\N,155,"Action,Adventure"
tt0032420,movie,Drums of Fu Manchu,Drums of Fu Manchu,0,1940,\N,269,"Action,Adventure,Crime"
tt0032424,movie,The Earl of Chicago,The Earl of Chicago,0,1940,\N,87,"Action,Comedy,Crime"
tt0032467,movie,The Fighting 69th,The Fighting 69th,0,1940,\N,90,"Action,Adventure,Biography"
tt0032475,movie,Flash Gordon Conquers the Universe,Flash Gordon Conquers the Universe,0,1940,\N,195,"Action,Adventure,Family"
tt0032484,movie,Foreign Correspondent,Foreign Correspondent,0,1940,\N,120,"Action,Romance,Thriller"
tt0032530,movie,Girls of the Road,Girls of the Road,0,1940,\N,61,"Action,Adventure,Crime"
tt0032557,movie,The Green Archer,The Green Archer,0,1940,\N,285,"Action,Adventure,Crime"
tt0032559,movie,The Green Hornet Strikes Again!,The Green Hornet Strikes Again!,0,1940,\N,293,"Action,Adventure,Crime"
tt0032584,movie,Heroes of the Saddle,Heroes of the Saddle,0,1940,\N,56,"Action,Crime,Drama"
tt0032591,movie,Hidden Enemy,Hidden Enemy,0,1940,\N,63,"Action,Adventure,Drama"
tt0032595,movie,High School,High School,0,1940,\N,74,"Action,Comedy,Music"
tt0032622,movie,I'm Still Alive,I'm Still Alive,0,1940,\N,72,"Action,Adventure,Drama"
tt0032642,movie,Isle of Destiny,Isle of Destiny,0,1940,\N,95,"Action,Adventure,Drama"
tt0032656,movie,Junior G-Men,Junior G-Men,0,1940,\N,240,"Action,Adventure,Crime"
tt0032668,movie,King of the Lumberjacks,King of the Lumberjacks,0,1940,\N,58,"Action,Drama,Romance"
tt0032674,movie,Knights of the Range,Knights of the Range,0,1940,\N,70,"Action,Music,Romance"
tt0032690,movie,The Last Alarm,The Last Alarm,0,1940,\N,61,"Action,Adventure,Crime"
tt0032761,movie,The Marines Fly High,The Marines Fly High,0,1940,\N,68,"Action,Adventure,Drama"
tt0032762,movie,The Mark of Zorro,The Mark of Zorro,0,1940,\N,94,"Action,Adventure,Family"
tt0032763,movie,Marked Men,Marked Men,0,1940,\N,66,"Action,Crime,Mystery"
tt0032781,movie,Men Against the Sky,Men Against the Sky,0,1940,\N,75,"Action,Adventure,Drama"
tt0032782,movie,Men with Steel Faces,Men with Steel Faces,0,1940,\N,70,"Action,Music,Sci-Fi"
tt0032783,movie,Men Without Souls,Men Without Souls,0,1940,\N,62,"Action,Crime,Drama"
tt0032790,movie,Midnight Limited,Midnight Limited,0,1940,\N,61,"Action,Adventure,Crime"
tt0032803,movie,Bokuseki,Bokuseki,0,1940,\N,124,"Action,Crime"
tt0032832,movie,Mysterious Doctor Satan,Mysterious Doctor Satan,0,1940,\N,267,"Action,Adventure,Crime"
tt0032833,movie,Mystery in Swing,Mystery in Swing,0,1940,\N,68,"Action,Adventure,Music"
tt0032838,movie,Neutral Port,Neutral Port,0,1940,\N,89,"Action,Comedy,Drama"
tt0032879,movie,Orphans of the North,Orphans of the North,0,1940,\N,56,"Action,Adventure,Comedy"
tt0032890,movie,Parole Fixer,Parole Fixer,0,1940,\N,68,"Action,Crime,Drama"
tt0032893,movie,Passport to Alcatraz,Passport to Alcatraz,0,1940,\N,60,"Action,Adventure"
tt0032911,movie,Pinto Canyon,Pinto Canyon,0,1940,\N,55,"Action,Romance,Western"
tt0033010,movie,The Sagebrush Family Trails West,The Sagebrush Family Trails West,0,1940,\N,59,"Action,Comedy,Western"
tt0033014,movie,The Saint's Double Trouble,The Saint's Double Trouble,0,1940,\N,67,"Action,Crime,Drama"
tt0033028,movie,The Sea Hawk,The Sea Hawk,0,1940,\N,127,"Action,Adventure,History"
