tconst,ordering,nconst,category,job,characters,titleType,originalTitle,isAdult,endYear,runtimeMinutes
tt0031612,1,nm0001452,actor,\N,"[""Jocko Wilson""]",movie,The Man from Down Under,0,\N,103
tt0031612,2,nm0001931,actress,\N,"[""Aggie Dawlins""]",movie,The Man from Down Under,0,\N,103
tt0031612,3,nm0137999,actor,\N,"[""'Nipper' Wilson""]",movie,The Man from Down Under,0,\N,103
tt0031612,4,nm0001656,actress,\N,"[""Mary Wilson""]",movie,The Man from Down Under,0,\N,103
tt0031612,5,nm0786350,actor,\N,"[""'Nipper' as a Child""]",movie,The Man from Down Under,0,\N,103
tt0031612,6,nm0176971,actor,\N,"[""Ginger Gaffney""]",movie,The Man from Down Under,0,\N,103
tt0031612,7,nm0573640,actor,\N,"[""'Dusty' Rhodes""]",movie,The Man from Down Under,0,\N,103
tt0031612,8,nm0793168,actor,\N,"[""Father Polycarp""]",movie,The Man from Down Under,0,\N,103
tt0031612,9,nm0266220,actress,\N,"[""Mary as a Child""]",movie,The Man from Down Under,0,\N,103
tt0031612,10,nm0146928,actor,\N,"[""Boots""]",movie,The Man from Down Under,0,\N,103
tt0031612,11,nm0502752,director,\N,\N,movie,The Man from Down Under,0,\N,103
tt0031612,12,nm0736752,writer,story,\N,movie,The Man from Down Under,0,\N,103
tt0031612,13,nm0446651,writer,story,\N,movie,The Man from Down Under,0,\N,103
tt0031612,14,nm0740537,writer,screenplay,\N,movie,The Man from Down Under,0,\N,103
tt0031612,15,nm0783328,writer,screenplay,\N,movie,The Man from Down Under,0,\N,103
tt0031612,16,nm0241338,producer,producer,\N,movie,The Man from Down Under,0,\N,103
tt0031612,17,nm0502752,producer,producer,\N,movie,The Man from Down Under,0,\N,103
tt0031612,18,nm0791130,composer,\N,\N,movie,The Man from Down Under,0,\N,103
tt0031612,19,nm0906109,cinematographer,director of photography,\N,movie,The Man from Down Under,0,\N,103
tt0031612,20,nm0924825,editor,\N,\N,movie,The Man from Down Under,0,\N,103
tt0032199,1,nm0178313,actor,\N,"[""Doctor James Dunbar""]",movie,Am I Guilty?,0,\N,70
tt0032199,2,nm0507783,actress,\N,"[""Joan Freeman""]",movie,Am I Guilty?,0,\N,70
tt0032199,3,nm0567434,actor,\N,"[""John D. Jones""]",movie,Am I Guilty?,0,\N,70
tt0032199,4,nm0187876,actor,\N,"[""Trigger Bennett""]",movie,Am I Guilty?,0,\N,70
tt0032199,5,nm0603664,actress,\N,"[""Marcella""]",movie,Am I Guilty?,0,\N,70
tt0032199,6,nm0712745,actor,\N,"[""Doctor Freeman""]",movie,Am I Guilty?,0,\N,70
tt0032199,7,nm0271740,actor,\N,"[""Slick""]",movie,Am I Guilty?,0,\N,70
tt0032199,8,nm0370334,actor,\N,"[""Tracy""]",movie,Am I Guilty?,0,\N,70
tt0032199,9,nm0111919,actor,\N,"[""Police Lt. Harris""]",movie,Am I Guilty?,0,\N,70
tt0032199,10,nm0112057,actor,\N,"[""Doctor Fairchild""]",movie,Am I Guilty?,0,\N,70
tt0032199,11,nm0627864,director,\N,\N,movie,Am I Guilty?,0,\N,70
tt0032199,12,nm0523046,writer,"story ""Racket Doctor"" by",\N,movie,Am I Guilty?,0,\N,70
tt0032199,13,nm0811033,writer,adaptation,\N,movie,Am I Guilty?,0,\N,70
tt0032199,14,nm0768536,writer,adaptation,\N,movie,Am I Guilty?,0,\N,70
tt0032199,15,nm0352394,producer,producer,\N,movie,Am I Guilty?,0,\N,70
tt0032199,16,nm0166876,cinematographer,\N,\N,movie,Am I Guilty?,0,\N,70
tt0032199,17,nm0523994,editor,\N,\N,movie,Am I Guilty?,0,\N,70
tt0032246,1,nm0634313,actor,\N,"[""Stuart Woodrow""]",movie,Behind the News,0,\N,75
tt0032246,2,nm0202589,actress,\N,"[""Barbara Shaw""]",movie,Behind the News,0,\N,75
tt0032246,3,nm0007214,actor,\N,"[""Jeff Flavin""]",movie,Behind the News,0,\N,75
tt0032246,4,nm0035877,actor,\N,"[""Vic Archer""]",movie,Behind the News,0,\N,75
tt0032246,5,nm0367670,actor,\N,"[""Dist. Atty. Hardin S. Kelly""]",movie,Behind the News,0,\N,75
tt0032246,6,nm0357111,actor,\N,"[""Neil Saunders""]",movie,Behind the News,0,\N,75
tt0032246,7,nm0175641,actor,\N,"[""Enrico""]",movie,Behind the News,0,\N,75
tt0032246,8,nm0878826,actor,\N,"[""Monroe""]",movie,Behind the News,0,\N,75
tt0032246,9,nm0254424,actor,\N,"[""Foster""]",movie,Behind the News,0,\N,75
tt0032246,10,nm0878613,actor,\N,"[""Reporter""]",movie,Behind the News,0,\N,75
tt0032246,11,nm0763798,director,\N,\N,movie,Behind the News,0,\N,75
tt0032246,12,nm0206010,writer,\N,\N,movie,Behind the News,0,\N,75
tt0032246,13,nm0214668,writer,\N,\N,movie,Behind the News,0,\N,75
tt0032246,14,nm0729694,writer,story,\N,movie,Behind the News,0,\N,75
tt0032246,15,nm0770196,writer,story,\N,movie,Behind the News,0,\N,75
tt0032246,16,nm0005785,cinematographer,\N,\N,movie,Behind the News,0,\N,75
tt0032246,17,nm0632393,editor,\N,\N,movie,Behind the News,0,\N,75
tt0032279,1,nm0731376,actress,\N,"[""Midge Lambert""]",movie,The Bride Wore Crutches,0,\N,55
