tconst,ordering,nconst,titleType_x,originalTitle_x,isAdult_x,endYear_x,runtimeMinutes_x,titleType_y,primaryTitle,originalTitle_y,isAdult_y,startYear,endYear_y,runtimeMinutes_y,genres,primaryName,birthYear,deathYear,primaryProfession,knownForTitles,age
tt0027318,2.0,nm0029781,movie,August järjestää kaiken,0.0,\N,95,movie,August järjestää kaiken,August järjestää kaiken,0,1942,\N,95,Comedy,Siiri Angerkoski,1902,1971,"actress,soundtrack,archive_footage","tt0133371,tt0030514,tt0417416,tt0046172",40
tt0028038,2.0,nm0432041,movie,Non mi sposo più,0.0,\N,82,movie,Non mi sposo più,Non mi sposo più,0,1942,\N,82,Comedy,Jenny Jugo,1904,2001,"actress,archive_footage","tt0032835,tt0141753,tt0019110,tt0022923",38
tt0028039,1.0,nm0581024,movie,Non ti conosco più,0.0,\N,65,movie,Quando Donna Vuole,Non ti conosco più,0,1940,\N,65,Comedy,Elsa Merlini,1903,1983,"actress,archive_footage","tt0034090,tt0027671,tt0172043,tt0299354",37
tt0028058,3.0,nm0669084,movie,Olympic Honeymoon,0.0,\N,63,movie,Olympic Honeymoon,Olympic Honeymoon,0,1940,\N,63,Comedy,Princess Pearl,1913,2002,"actress,soundtrack","tt0027589,tt0029458,tt0028058",27
tt0029105,2.0,nm0139731,movie,The Lady from Lisbon,0.0,\N,75,movie,Lady from Lisbon,The Lady from Lisbon,0,1942,\N,75,"Comedy,Thriller,War",Jane Carr,1909,1957,"actress,soundtrack,archive_footage","tt0024659,tt0027136,tt0250616,tt0029228",33
tt0029284,1.0,nm0002050,movie,My Favorite Wife,0.0,\N,88,movie,My Favorite Wife,My Favorite Wife,0,1940,\N,88,"Comedy,Romance",Irene Dunne,1898,1990,"actress,soundtrack,archive_footage","tt0028597,tt0031593,tt0040458,tt0029284",42
tt0031077,4.0,nm0456815,movie,Band Waggon,0.0,\N,85,movie,Band Waggon,Band Waggon,0,1940,\N,85,"Comedy,Musical",Pat Kirkwood,1921,2007,"actress,soundtrack,archive_footage","tt0045481,tt0385454,tt0049795,tt0989125",19
tt0031084,1.0,nm0201638,movie,Battement de coeur,0.0,\N,97,movie,Beating Heart,Battement de coeur,0,1940,\N,97,"Comedy,Drama",Danielle Darrieux,1917,2017,"actress,music_department,soundtrack","tt0283832,tt0044314,tt0027951,tt0062873",23
tt0031146,1.0,nm0635371,movie,Centomila dollari,0.0,\N,83,movie,Centomila dollari,Centomila dollari,0,1940,\N,83,Comedy,Assia Noris,1912,1998,"actress,writer","tt0027922,tt0029562,tt0033475,tt0036495",28
tt0031174,2.0,nm0062746,movie,Confidential Lady,0.0,\N,74,movie,Confidential Lady,Confidential Lady,0,1940,\N,74,"Comedy,Drama,Romance",Jane Baxter,1909,1996,actress,"tt0026294,tt0024900,tt0024998,tt0989125",31
tt0031192,3.0,nm0350486,movie,Crook's Tour,0.0,\N,80,movie,Crook's Tour,Crook's Tour,0,1940,\N,80,"Comedy,Mystery",Greta Gynt,1916,2000,"actress,soundtrack,archive_footage","tt0039883,tt0031208,tt0045092,tt0040199",24
tt0031271,2.0,nm0848520,movie,En tiempos de Don Porfirio,0.0,\N,160,movie,In the Times of Don Porfirio,En tiempos de Don Porfirio,0,1940,\N,160,"Comedy,Drama,Musical",Marina Tamayo,1912,2005,"actress,archive_footage","tt0033053,tt0162147,tt0222514,tt0031271",28
tt0031292,2.0,nm0935388,movie,Familjen Björck,0.0,\N,98,movie,Familjen Björck,Familjen Björck,0,1940,\N,98,Comedy,Frida Winnerstrand,1881,1943,"actress,soundtrack","tt0031292,tt0287540,tt0028536,tt0289429",59
tt0031341,2.0,nm0237655,movie,French Without Tears,0.0,\N,86,movie,French Without Tears,French Without Tears,0,1940,\N,86,Comedy,Ellen Drew,1914,2003,"actress,soundtrack,archive_footage","tt0032338,tt0037820,tt0033916,tt0042229",26
tt0031368,1.0,nm0019922,movie,The Girl Who Forgot,0.0,\N,\N,movie,The Girl Who Forgot,The Girl Who Forgot,0,1940,\N,\N,Comedy,Elizabeth Allan,1910,1990,"actress,soundtrack,archive_footage","tt0026266,tt0027075,tt0025546,tt0023145",30
tt0031372,2.0,nm0799197,movie,Giù il sipario,0.0,\N,74,movie,Giù il sipario,Giù il sipario,0,1940,\N,74,Comedy,Lilia Silvi,1921,2013,"actress,soundtrack,archive_footage","tt0034153,tt0404223,tt0032407,tt0033377",19
tt0031384,3.0,nm0317059,movie,The Good Old Days,0.0,\N,79,movie,The Good Old Days,The Good Old Days,0,1940,\N,79,Comedy,Kathleen Gibson,1915,1974,actress,"tt0159381,tt0146979,tt0028991,tt0028652",25
tt0031444,2.0,nm0221442,movie,Hoots Mon,0.0,\N,77,movie,Hoots Mon,Hoots Mon,0,1940,\N,77,Comedy,Florence Desmond,1905,1993,"actress,soundtrack,archive_footage","tt0065009,tt0043041,tt0027661,tt0022336",35
tt0031504,5.0,nm0166546,movie,Jail Birds,0.0,\N,73,movie,Jail Birds,Jail Birds,0,1940,\N,73,"Comedy,Crime",Lorraine Clewes,1917,1996,actress,"tt0038442,tt0103206,tt0056350,tt0071292",23
tt0031522,4.0,nm0893036,movie,Just William,0.0,\N,72,movie,Just William,Just William,0,1940,\N,72,Comedy,Amy Veness,1876,1960,actress,"tt0037367,tt0026649,tt0040662,tt0031522",64
tt0031545,1.0,nm0180663,movie,Il ladro sono io,0.0,\N,75,movie,Il ladro sono io,Il ladro sono io,0,1940,\N,75,Comedy,Nelly Corradi,1914,1968,"actress,music_department,soundtrack","tt0038508,tt0038707,tt0143881,tt0040533",26
tt0031568,2.0,nm0294393,movie,Leyenda rota,0.0,\N,80,movie,Leyenda rota,Leyenda rota,0,1940,\N,80,Comedy,Maruchi Fresno,1916,2003,actress,"tt0043388,tt0039760,tt0053290,tt0038861",24
tt0031584,2.0,nm0174282,movie,La locura de Don Juan,0.0,\N,\N,movie,La locura de Don Juan,La locura de Don Juan,0,1940,\N,\N,Comedy,Carmen Conde,1916,\N,actress,"tt0028552,tt0235005,tt0228908,tt0233608",24
tt0031612,2.0,nm0001931,movie,The Man from Down Under,0.0,\N,103,movie,The Man from Down Under,The Man from Down Under,0,1943,\N,103,"Action,Comedy,Drama",Binnie Barnes,1903,1998,"actress,producer,soundtrack","tt0039037,tt0038108,tt0024473,tt0028373",40
tt0031623,2.0,nm0857922,movie,Ein Mann auf Abwegen,0.0,\N,88,movie,Ein Mann auf Abwegen,Ein Mann auf Abwegen,0,1940,\N,88,"Adventure,Comedy",Charlotte Thiele,1918,2004,actress,"tt0036443,tt0032133,tt0031623,tt0033750",22
tt0031644,2.0,nm0350486,movie,The Middle Watch,0.0,\N,87,movie,The Middle Watch,The Middle Watch,0,1940,\N,87,Comedy,Greta Gynt,1916,2000,"actress,soundtrack,archive_footage","tt0039883,tt0031208,tt0045092,tt0040199",24
tt0031789,2.0,nm0219166,movie,Pazza di gioia,0.0,\N,78,movie,Two on a Vacation,Pazza di gioia,0,1940,\N,78,Comedy,Maria Denis,1916,2004,actress,"tt0035515,tt0034194,tt0025496,tt0038437",24
tt0031854,8.0,nm0735018,movie,El rey que rabió,0.0,\N,\N,movie,El rey que rabió,El rey que rabió,0,1940,\N,\N,Comedy,Raquel Rodrigo,1915,2004,actress,"tt0029897,tt0028166,tt0025942,tt0025067",25
tt0031878,2.0,nm0756679,movie,Rose scarlatte,0.0,\N,65,movie,Red Roses,Rose scarlatte,0,1940,\N,65,Comedy,Renée Saint-Cyr,1904,2004,"actress,producer,archive_footage","tt0042492,tt0194824,tt0031878,tt0922386",36
tt0031920,3.0,nm0936727,movie,She Couldn't Say No,0.0,\N,72,movie,She Couldn't Say No,She Couldn't Say No,0,1940,\N,72,Comedy,Googie Withers,1917,2011,"actress,archive_footage","tt0035153,tt0030341,tt0042788,tt0117631",23
tt0031966,3.0,nm0071210,movie,Sportowiec mimo woli,0.0,\N,64,movie,Sportowiec mimo woli,Sportowiec mimo woli,0,1940,\N,64,Comedy,Ina Benita,1912,1984,"actress,soundtrack,archive_footage","tt0170177,tt0025476,tt0863138,tt1042290",28
tt0031967,3.0,nm0115054,movie,Spy for a Day,0.0,\N,71,movie,Spy for a Day,Spy for a Day,0,1940,\N,71,"Comedy,Thriller",Paddy Browne,1908,1993,"actress,soundtrack","tt0032356,tt0022706,tt0021771,tt0023031",32
tt0031994,4.0,nm0077620,movie,Les surprises de la radio,0.0,\N,80,movie,Radio Surprises,Les surprises de la radio,0,1940,\N,80,Comedy,Mady Berry,1887,1965,actress,"tt0204285,tt0027825,tt0406716,tt0031800",53
tt0032090,1.0,nm0812726,movie,Validità giorni dieci,0.0,\N,76,movie,Validità giorni dieci,Validità giorni dieci,0,1940,\N,76,Comedy,Laura Solari,1913,1984,actress,"tt0046250,tt0057460,tt0040937,tt0035000",27
tt0032119,1.0,nm0775596,movie,Weißer Flieder,0.0,\N,92,movie,Weißer Flieder,Weißer Flieder,0,1940,\N,92,"Comedy,Romance",Hannelore Schroth,1922,1987,"actress,archive_footage","tt0049293,tt0067047,tt0311214,tt0070463",18
tt0032168,4.0,nm0738139,movie,¡Que viene mi marido!,0.0,\N,91,movie,¡Que viene mi marido!,¡Que viene mi marido!,0,1940,\N,91,Comedy,Emma Roldán,1890,1978,"actress,costume_designer,costume_department","tt0073520,tt0162477,tt0243744,tt0037232",50
tt0032177,2.0,nm0854996,movie,...som en tjuv om natten,0.0,\N,98,movie,...som en tjuv om natten,...som en tjuv om natten,0,1940,\N,98,Comedy,Birgit Tengroth,1915,1983,"actress,writer,soundtrack","tt0042466,tt0026305,tt0036380,tt0041998",25
tt0032182,1.0,nm0219166,movie,"Addio, giovinezza!",0.0,\N,94,movie,"Addio, giovinezza!","Addio, giovinezza!",0,1940,\N,94,Comedy,Maria Denis,1916,2004,actress,"tt0035515,tt0034194,tt0025496,tt0038437",24
tt0032186,3.0,nm0306497,movie,Ahí está el detalle,0.0,\N,112,movie,You're Missing the Point,Ahí está el detalle,0,1940,\N,112,Comedy,Sara García,1892,1980,"actress,archive_footage","tt0048708,tt0039047,tt0031780,tt0180336",48
tt0032191,3.0,nm0602955,movie,Alias the Deacon,0.0,\N,74,movie,Alias the Deacon,Alias the Deacon,0,1940,\N,74,"Adventure,Comedy",Peggy Moran,1918,2002,"actress,soundtrack,archive_footage","tt0032818,tt0033728,tt0035309,tt0032873",22
tt0032195,1.0,nm0851408,movie,Alle man på post,0.0,\N,75,movie,Everybody at His Station,Alle man på post,0,1940,\N,75,Comedy,Aino Taube,1912,1990,"actress,soundtrack,archive_footage","tt0028155,tt0031270,tt0044811,tt0027164",28
tt0032197,2.0,nm0273488,movie,Allá en el Trópico,0.0,\N,110,movie,Allá en el Trópico,Allá en el Trópico,0,1940,\N,110,"Comedy,Drama,Musical",Esther Fernández,1918,1999,"actress,writer,soundtrack","tt0218257,tt0202564,tt0027338,tt0218075",22
tt0032198,1.0,nm0485537,movie,Always a Bride,0.0,\N,58,movie,Always a Bride,Always a Bride,0,1940,\N,58,"Comedy,Romance",Rosemary Lane,1913,1974,"actress,soundtrack","tt0032198,tt0035625,tt0035972,tt0030149",27
tt0032206,3.0,nm0662118,movie,Andy Hardy Meets Debutante,0.0,\N,88,movie,Andy Hardy Meets Debutante,Andy Hardy Meets Debutante,0,1940,\N,88,"Comedy,Family,Romance",Cecilia Parker,1914,1993,"actress,archive_footage","tt0026046,tt0034618,tt0034458,tt0025420",26
tt0032207,2.0,nm0485537,movie,An Angel from Texas,0.0,\N,69,movie,An Angel from Texas,An Angel from Texas,0,1940,\N,69,"Comedy,Romance",Rosemary Lane,1913,1974,"actress,soundtrack","tt0032198,tt0035625,tt0035972,tt0030149",27
tt0032209,2.0,nm0000028,movie,Angels Over Broadway,0.0,\N,79,movie,Angels Over Broadway,Angels Over Broadway,0,1940,\N,79,"Adventure,Comedy,Crime",Rita Hayworth,1918,1987,"actress,producer,soundtrack","tt0038559,tt0040525,tt0035103,tt0036723",22
tt0032220,1.0,nm0001055,movie,"Arise, My Love",0.0,\N,110,movie,"Arise, My Love","Arise, My Love",0,1940,\N,110,"Comedy,Drama,Romance",Claudette Colbert,1903,1996,"actress,soundtrack,archive_footage","tt0025316,tt0036367,tt0029929,tt0037280",37
tt0032233,1.0,nm0921411,movie,Bal paré,0.0,\N,100,movie,Bal paré,Bal paré,0,1940,\N,100,"Comedy,Music,Romance",Ilse Werner,1921,2005,"actress,soundtrack,archive_footage","tt0457400,tt0164600,tt0101994,tt0036191",19
tt0032234,2.0,nm0936755,movie,The Bank Dick,0.0,\N,72,movie,The Bank Dick,The Bank Dick,0,1940,\N,72,Comedy,Cora Witherspoon,1890,1957,"actress,archive_footage","tt0028102,tt0032234,tt0028616,tt0025499",50
tt0032239,1.0,nm0497847,movie,Barnyard Follies,0.0,\N,67,movie,Barnyard Follies,Barnyard Follies,0,1940,\N,67,"Comedy,Drama,Music",Mary Lee,1924,1996,"actress,soundtrack,archive_footage","tt0036725,tt0034106,tt0033343,tt0032311",16
tt0032246,2.0,nm0202589,movie,Behind the News,0.0,\N,75,movie,Behind the News,Behind the News,0,1940,\N,75,"Action,Comedy,Crime",Doris Davenport,1917,1980,"actress,soundtrack,archive_footage","tt0032246,tt0033253,tt0025347,tt0031955",23
tt0032261,1.0,nm0802325,movie,Blondie Has Servant Trouble,0.0,\N,70,movie,Blondie Has Servant Trouble,Blondie Has Servant Trouble,0,1940,\N,70,"Comedy,Family",Penny Singleton,1908,2003,"actress,soundtrack,archive_footage","tt0027260,tt0033667,tt0033404,tt0032262",32
tt0032262,1.0,nm0802325,movie,Blondie Plays Cupid,0.0,\N,68,movie,Blondie Plays Cupid,Blondie Plays Cupid,0,1940,\N,68,"Adventure,Comedy,Family",Penny Singleton,1908,2003,"actress,soundtrack,archive_footage","tt0027260,tt0033667,tt0033404,tt0032262",32
tt0032263,1.0,nm0802325,movie,Blondie on a Budget,0.0,\N,72.0,movie,Blondie on a Budget,Blondie on a Budget,0,1940,\N,72,"Comedy,Family",Penny Singleton,1908,2003,"actress,soundtrack,archive_footage","tt0027260,tt0033667,tt0033404,tt0032262",32
tt0032265,2.0,nm0252446,movie,Blyge Anton,0.0,\N,108.0,movie,Blyge Anton,Blyge Anton,0,1940,\N,108,Comedy,Ingrid Luterkort,1910,2011,actress,"tt0028621,tt0030452,tt0032265,tt0031931",30
