tconst,ordering_M,nconst_M,primaryName_M,knownForTitles_M,age_M,ordering_F,nconst_F,titleType,originalTitle,isAdult,endYear,runtimeMinutes,primaryTitle,startYear,genres,primaryName_F,birthYear,deathYear,primaryProfession,knownForTitles_F,age_F,age_gap
tt0031341,1.0,nm0001537,Ray Milland,"tt0037884,tt0046912,tt0066011,tt0037415",33,2.0,nm0237655,movie,French Without Tears,0.0,\N,86.0,French Without Tears,1940,Comedy,Ellen Drew,1914,2003,"actress,soundtrack,archive_footage","tt0032338,tt0037820,tt0033916,tt0042229",26,7
tt0032220,2.0,nm0001537,Ray Milland,"tt0037884,tt0046912,tt0066011,tt0037415",33,1.0,nm0001055,movie,"Arise, My Love",0.0,\N,110.0,"Arise, My Love",1940,"Comedy,Drama,Romance",Claudette Colbert,1903,1996,"actress,soundtrack,archive_footage","tt0025316,tt0036367,tt0029929,tt0037280",37,-4
tt0032289,1.0,nm0000912,Jack Benny,"tt0042116,tt0035446,tt0033457,tt0034780",46,2.0,nm0237655,movie,Buck Benny Rides Again,0.0,\N,84.0,Buck Benny Rides Again,1940,"Adventure,Comedy,Music",Ellen Drew,1914,2003,"actress,soundtrack,archive_footage","tt0032338,tt0037820,tt0033916,tt0042229",26,20
tt0032338,1.0,nm0694090,Dick Powell,"tt0037101,tt0037615,tt0044391,tt0040695",36,2.0,nm0237655,movie,Christmas in July,0.0,\N,67.0,Christmas in July,1940,"Comedy,Drama,Romance",Ellen Drew,1914,2003,"actress,soundtrack,archive_footage","tt0032338,tt0037820,tt0033916,tt0042229",26,10
tt0032347,1.0,nm0122589,Bob Burns,"tt0030651,tt0029742,tt1572174,tt0036636",50,2.0,nm0580916,movie,Comin' Round the Mountain,0.0,\N,63.0,Comin' Round the Mountain,1940,"Comedy,Music,Romance",Una Merkel,1903,1986,"actress,miscellaneous,soundtrack","tt0055277,tt0024034,tt0055489,tt0022111",37,13
tt0032377,2.0,nm0656745,Robert Paige,"tt0036376,tt0030234,tt0031324,tt0029223",30,1.0,nm0531738,movie,Dancing on a Dime,0.0,\N,74.0,Dancing on a Dime,1940,"Comedy,Drama,Music",Grace McDonald,1918,1999,"actress,soundtrack","tt0035548,tt0034500,tt0037100,tt0034797",22,8
tt0032456,2.0,nm0749476,Charles Ruggles,"tt0055277,tt0024359,tt0039502,tt0026955",54,1.0,nm0713106,movie,The Farmer's Daughter,0.0,\N,60.0,The Farmer's Daughter,1940,"Comedy,Music,Romance",Martha Raye,1916,1994,"actress,writer,soundtrack","tt0055797,tt0088693,tt0066685,tt0028806",24,30
tt0032520,1.0,nm0001362,Bob Hope,"tt0032520,tt0031143,tt0039645,tt0045094",37,2.0,nm0002104,movie,The Ghost Breakers,0.0,\N,85.0,The Ghost Breakers,1940,Comedy,Paulette Goddard,1910,1990,"actress,producer,soundtrack","tt0032520,tt0027977,tt0033722,tt0037849",30,7
tt0032554,1.0,nm0002046,Brian Donlevy,"tt0031088,tt0041503,tt0034798,tt0050873",39,2.0,nm0029746,movie,The Great McGinty,0.0,\N,82.0,The Great McGinty,1940,Comedy,Muriel Angelus,1909,2004,actress,"tt0031572,tt0022811,tt0021961,tt0019326",31,8
tt0032619,2.0,nm0694090,Dick Powell,"tt0037101,tt0037615,tt0044391,tt0040695",36,1.0,nm0000951,movie,I Want a Divorce,0.0,\N,93.0,I Want a Divorce,1940,"Comedy,Drama",Joan Blondell,1906,1979,"actress,soundtrack,archive_footage","tt0077631,tt0059037,tt0050307,tt0079672",34,2
