tconst,ordering,nconst,titleType,originalTitle,isAdult,endYear,runtimeMinutes,primaryTitle,startYear,genres,primaryName,birthYear,deathYear,primaryProfession,knownForTitles,age
tt0031341,2.0,nm0237655,movie,French Without Tears,0.0,\N,86,French Without Tears,1940,Comedy,Ellen Drew,1914,2003,"actress,soundtrack,archive_footage","tt0032338,tt0037820,tt0033916,tt0042229",26
tt0032220,1.0,nm0001055,movie,"Arise, My Love",0.0,\N,110,"Arise, My Love",1940,"Comedy,Drama,Romance",Claudette Colbert,1903,1996,"actress,soundtrack,archive_footage","tt0025316,tt0036367,tt0029929,tt0037280",37
tt0032289,2.0,nm0237655,movie,Buck Benny Rides Again,0.0,\N,84.0,Buck Benny Rides Again,1940,"Adventure,Comedy,Music",Ellen Drew,1914,2003,"actress,soundtrack,archive_footage","tt0032338,tt0037820,tt0033916,tt0042229",26
tt0032338,2.0,nm0237655,movie,Christmas in July,0.0,\N,67.0,Christmas in July,1940,"Comedy,Drama,Romance",Ellen Drew,1914,2003,"actress,soundtrack,archive_footage","tt0032338,tt0037820,tt0033916,tt0042229",26
tt0032347,2.0,nm0580916,movie,Comin' Round the Mountain,0.0,\N,63.0,Comin' Round the Mountain,1940,"Comedy,Music,Romance",Una Merkel,1903,1986,"actress,miscellaneous,soundtrack","tt0055277,tt0024034,tt0055489,tt0022111",37
tt0032377,1.0,nm0531738,movie,Dancing on a Dime,0.0,\N,74.0,Dancing on a Dime,1940,"Comedy,Drama,Music",Grace McDonald,1918,1999,"actress,soundtrack","tt0035548,tt0034500,tt0037100,tt0034797",22
tt0032456,1.0,nm0713106,movie,The Farmer's Daughter,0.0,\N,60.0,The Farmer's Daughter,1940,"Comedy,Music,Romance",Martha Raye,1916,1994,"actress,writer,soundtrack","tt0055797,tt0088693,tt0066685,tt0028806",24
tt0032520,2.0,nm0002104,movie,The Ghost Breakers,0.0,\N,85.0,The Ghost Breakers,1940,Comedy,Paulette Goddard,1910,1990,"actress,producer,soundtrack","tt0032520,tt0027977,tt0033722,tt0037849",30
tt0032554,2.0,nm0029746,movie,The Great McGinty,0.0,\N,82.0,The Great McGinty,1940,Comedy,Muriel Angelus,1909,2004,actress,"tt0031572,tt0022811,tt0021961,tt0019326",31
tt0032619,1.0,nm0000951,movie,I Want a Divorce,0.0,\N,93.0,I Want a Divorce,1940,"Comedy,Drama",Joan Blondell,1906,1979,"actress,soundtrack,archive_footage","tt0077631,tt0059037,tt0050307,tt0079672",34
tt0032730,3.0,nm0552756,movie,Love Thy Neighbor,0.0,\N,82,Love Thy Neighbor,1940,"Comedy,Musical",Mary Martin,1913,1990,"actress,miscellaneous,producer","tt0054176,tt0046637,tt0036461,tt0033396",27
tt0032843,2.0,nm0387556,movie,A Night at Earl Carroll's,0.0,\N,62,A Night at Earl Carroll's,1940,"Comedy,Crime,Musical",Rose Hobart,1906,2000,"actress,soundtrack,archive_footage","tt0022835,tt0037611,tt0021074,tt0033747",34
tt0032876,2.0,nm0517578,movie,Opened by Mistake,0.0,\N,67,Opened by Mistake,1940,"Comedy,Crime,Mystery",Janice Logan,1915,1965,actress,"tt0032412,tt0032876,tt0221249,tt0032077",25
tt0032957,3.0,nm0197713,movie,The Quarterback,0.0,\N,74,The Quarterback,1940,Comedy,Virginia Dale,1917,1994,"actress,soundtrack,archive_footage","tt0034862,tt0031221,tt0031031,tt0040296",23
