tconst,ordering_M,nconst_M,primaryName_M,knownForTitles_M,age_M,ordering_F,nconst_F,primaryTitle,startYear,genres,primaryName_F,birthYear,deathYear,primaryProfession,knownForTitles_F,age_F,age_gap
tt0029284,2.0,nm0000026,Cary Grant,"tt0053125,tt0056923,tt0034248,tt0053143",36,1.0,nm0002050,My Favorite Wife,1940,"Comedy,Romance",Irene Dunne,1898,1990,"actress,soundtrack,archive_footage","tt0028597,tt0031593,tt0040458,tt0029284",42,-6
tt0032369,1.0,nm0713270,Gene Raymond,"tt0028270,tt0033922,tt0040590,tt0027913",32,2.0,nm0057412,Cross-Country Romance,1940,"Comedy,Romance",Wendy Barrie,1912,1978,"actress,soundtrack,archive_footage","tt0033650,tt0031890,tt0033517,tt0033013",28,4
tt0032373,2.0,nm0610253,Alan Mowbray,"tt0038762,tt0033740,tt0028010,tt0049408",44,1.0,nm0713799,Curtain Call,1940,"Comedy,Romance",Barbara Read,1917,1963,actress,"tt0029192,tt0028373,tt0031961,tt0039422",23,21
tt0032376,2.0,nm0371775,Louis Hayward,"tt0037515,tt0042579,tt0031619,tt0039761",31,1.0,nm0000058,"Dance, Girl, Dance",1940,"Comedy,Drama,Music",Maureen O'Hara,1920,2015,"actress,soundtrack,archive_footage","tt0045061,tt0039628,tt0055277,tt0033729",20,11
tt0032417,1.0,nm0490713,Chester Lauck,"tt0035480,tt0033379,tt0049454,tt0032417",38,3.0,nm0486387,Dreaming Out Loud,1940,Comedy,Frances Langford,1913,2005,"actress,music_department,writer","tt0029003,tt0028079,tt0026325,tt0033323",27,11
tt0032456,2.0,nm0749476,Charles Ruggles,"tt0055277,tt0024359,tt0039502,tt0026955",54,1.0,nm0713106,The Farmer's Daughter,1940,"Comedy,Music,Romance",Martha Raye,1916,1994,"actress,writer,soundtrack","tt0055797,tt0088693,tt0066685,tt0028806",24,30
tt0032638,2.0,nm0001537,Ray Milland,"tt0037884,tt0046912,tt0066011,tt0037415",33,1.0,nm0623554,Irene,1940,"Comedy,Musical,Mystery",Anna Neagle,1904,1986,"actress,producer,soundtrack","tt0039281,tt0043871,tt0029734,tt0032847",36,-3
tt0032703,1.0,nm0948714,Jeff York,"tt0038854,tt0050567,tt0052441,tt0039372",28,2.0,nm0640930,Li'l Abner,1940,"Comedy,Romance",Martha O'Driscoll,1922,1998,"actress,soundtrack,archive_footage","tt0037793,tt0038203,tt0038364,tt0038490",18,10
tt0032717,2.0,nm0642988,Jack Oakie,"tt0032553,tt0023225,tt0023302,tt0029845",37,1.0,nm0290215,Little Men,1940,"Comedy,Drama",Kay Francis,1905,1968,"actress,producer,writer","tt0025461,tt0023622,tt0028579,tt0021281",35,2
tt0032720,1.0,nm0790788,Johnny Sheffield,"tt0035419,tt0039887,tt0038151,tt0036414",9,3.0,nm0871676,Little Orvie,1940,"Comedy,Drama",Dorothy Tree,1906,1992,"actress,archive_footage","tt0042208,tt0036699,tt0025443,tt0032181",34,-25
tt0032733,1.0,nm0172903,Ronald Colman,"tt0039335,tt0035238,tt0019735,tt0029162",49,2.0,nm0001677,Lucky Partners,1940,"Comedy,Drama,Romance",Ginger Rogers,1911,1995,"actress,soundtrack,archive_footage","tt0032671,tt0035019,tt0044916,tt0032946",29,20
tt0032786,2.0,nm0259816,Leon Errol,"tt0031641,tt0031370,tt0035061,tt0036959",59,1.0,nm0892473,Mexican Spitfire Out West,1940,Comedy,Lupe Velez,1908,1944,"actress,soundtrack,archive_footage","tt0031370,tt0031641,tt0020074,tt0034867",32,27
tt0032795,1.0,nm0672101,Joe Penner,"tt0024993,tt0029303,tt0029145,tt0030188",36,2.0,nm0371123,Millionaire Playboy,1940,"Comedy,Romance",Linda Hayes,1918,1995,"actress,soundtrack,archive_footage","tt0031370,tt0032622,tt0031641,tt2381111",22,14
tt0032847,2.0,nm0137999,Richard Carlson,"tt0046876,tt0045920,tt0033836,tt0032520",28,1.0,nm0623554,"No, No, Nanette",1940,"Comedy,Drama,Musical",Anna Neagle,1904,1986,"actress,producer,soundtrack","tt0039281,tt0043871,tt0029734,tt0032847",36,-8
tt0032910,1.0,nm0427934,Dickie Jones,"tt2395427,tt0026163,tt0026636,tt0027200",13,15.0,nm0201428,Pinocchio,1940,"Adventure,Animation,Comedy",Marion Darlington,1910,1991,"actress,soundtrack","tt0042332,tt0021665,tt0024451,tt0024440",30,-17
tt0032916,2.0,nm0255199,James Ellison,"tt0036027,tt0035489,tt0028377,tt0027725",31,1.0,nm0290215,Play Girl,1941,"Comedy,Romance",Kay Francis,1905,1968,"actress,producer,writer","tt0025461,tt0023622,tt0028579,tt0021281",36,-5
tt0032925,1.0,nm0259816,Leon Errol,"tt0031641,tt0031370,tt0035061,tt0036959",59,3.0,nm0086680,Pop Always Pays,1940,Comedy,Pamela Blake,1915,2009,"actress,soundtrack,archive_footage","tt0035432,tt0039782,tt0042532,tt0031371",25,34
tt0032980,1.0,nm0380965,Jean Hersholt,"tt0015881,tt0018451,tt0028988,tt0023194",54,2.0,nm0522662,Remedy for Riches,1940,"Comedy,Romance",Dorothy Lovett,1915,1998,"actress,soundtrack","tt0032980,tt0034279,tt0032411,tt0031635",25,29
tt0033173,2.0,nm0137999,Richard Carlson,"tt0046876,tt0045920,tt0033836,tt0032520",28,1.0,nm0000840,Too Many Girls,1940,"Comedy,Music,Sport",Lucille Ball,1911,1989,"producer,actress,production_manager","tt0043208,tt0055686,tt0062570,tt0047191",29,-1
tt0033224,1.0,nm0001890,Hugh Herbert,"tt0033397,tt0020953,tt0030202,tt0029541",56,2.0,nm0521937,The Villain Still Pursued Her,1940,Comedy,Anita Louise,1915,1970,"actress,soundtrack,archive_footage","tt0031580,tt0037698,tt0021465,tt0034021",25,31
tt0033279,3.0,nm0255199,James Ellison,"tt0036027,tt0035489,tt0028377,tt0027725",30,1.0,nm0000840,You Can't Fool Your Wife,1940,"Comedy,Romance",Lucille Ball,1911,1989,"producer,actress,production_manager","tt0043208,tt0055686,tt0062570,tt0047191",29,1
tt0033283,1.0,nm0477517,Kay Kyser,"tt0033283,tt0032015,tt0034033,tt0119558",35,5.0,nm0663540,You'll Find Out,1940,"Comedy,Crime,Horror",Helen Parrish,1923,1959,"actress,soundtrack,archive_footage","tt0032030,tt0036189,tt0035428,tt0035738",17,18
tt0033373,1.0,nm0000011,Gary Cooper,"tt0044706,tt0034167,tt0035896,tt0027996",40,2.0,nm0001766,Ball of Fire,1941,"Comedy,Romance",Barbara Stanwyck,1907,1990,"actress,soundtrack,archive_footage","tt0036775,tt0033373,tt0040823,tt0032080",34,6
tt0033379,1.0,nm0490713,Chester Lauck,"tt0035480,tt0033379,tt0049454,tt0032417",40,3.0,nm0686032,The Bashful Bachelor,1942,Comedy,Zasu Pitts,1894,1963,"actress,soundtrack,archive_footage","tt0015881,tt0057193,tt0026955,tt0032847",48,-8
tt0033401,1.0,nm0452128,Guy Kibbee,"tt0031679,tt0027421,tt0026174,tt0023369",59,2.0,nm0242562,Scattergood Meets Broadway,1941,"Comedy,Drama",Emma Dunn,1874,1966,"actress,soundtrack,archive_footage","tt0031951,tt0026978,tt0032553,tt0040974",67,-8
tt0033533,2.0,nm0191950,Robert Cummings,"tt0046912,tt0035279,tt0047752,tt0039583",31,1.0,nm0000795,The Devil and Miss Jones,1941,"Comedy,Romance",Jean Arthur,1900,1991,"actress,soundtrack,archive_footage","tt0030993,tt0031679,tt0046303,tt0036172",41,-10
tt0033592,1.0,nm0579663,Adolphe Menjou,"tt0050825,tt0021890,tt0029606,tt0016935",51,2.0,nm0841797,Father Takes a Wife,1941,"Comedy,Romance",Gloria Swanson,1899,1983,"actress,producer,costume_designer","tt0043014,tt0019344,tt0014636,tt0020514",42,9
tt0033615,1.0,nm0610253,Alan Mowbray,"tt0038762,tt0033740,tt0028010,tt0049408",45,3.0,nm0728230,Footlight Fever,1941,"Comedy,Romance",Elisabeth Risdon,1888,1958,"actress,soundtrack,archive_footage","tt0032181,tt0033717,tt0031641,tt0045125",53,-8
tt0033733,1.0,nm0259816,Leon Errol,"tt0031641,tt0031370,tt0035061,tt0036959",60,2.0,nm0171328,"Hurry, Charlie, Hurry",1941,Comedy,Mildred Coles,1920,1995,actress,"tt0041187,tt0040574,tt0040286,tt0163265",21,39
tt0033805,1.0,nm0641454,Dennis O'Keefe,"tt0037557,tt0039881,tt0036104,tt0034303",33,2.0,nm0000752,Lady Scarface,1941,"Comedy,Crime,Drama",Judith Anderson,1897,1992,"actress,soundtrack,archive_footage","tt0032976,tt0088170,tt0037008,tt0051459",44,-11
tt0033850,1.0,nm0001944,Edgar Bergen,"tt0039404,tt0079588,tt0030359,tt0037297",38,4.0,nm0430090,Look Who's Laughing,1941,"Adventure,Comedy",Marian Jordan,1898,1961,"actress,soundtrack,archive_footage","tt0036902,tt0033850,tt0029663,tt0034847",43,-5
tt0033907,2.0,nm0259816,Leon Errol,"tt0031641,tt0031370,tt0035061,tt0036959",60,1.0,nm0892473,The Mexican Spitfire's Baby,1941,Comedy,Lupe Velez,1908,1944,"actress,soundtrack,archive_footage","tt0031370,tt0031641,tt0020074,tt0034867",33,27
tt0033922,2.0,nm0599910,Robert Montgomery,"tt0029310,tt0039545,tt0033712,tt0033922",37,1.0,nm0001479,Mr. & Mrs. Smith,1941,"Comedy,Romance",Carole Lombard,1908,1942,"actress,soundtrack,archive_footage","tt0028010,tt0035446,tt0029322,tt0026452",33,4
tt0033932,1.0,nm0172903,Ronald Colman,"tt0039335,tt0035238,tt0019735,tt0029162",50,2.0,nm0496819,My Life with Caroline,1941,"Comedy,Romance",Anna Lee,1913,2004,"actress,soundtrack,archive_footage","tt0059742,tt0056687,tt0056758,tt0033729",28,22
tt0033968,2.0,nm0639529,Edmond O'Brien,"tt0056217,tt0046754,tt0058576,tt0042369",27,1.0,nm0140863,Obliging Young Lady,1942,"Comedy,Romance",Joan Carroll,1931,2016,"actress,archive_footage","tt0037059,tt0033968,tt0032946,tt0037536",11,16
tt0034033,1.0,nm0477517,Kay Kyser,"tt0033283,tt0032015,tt0034033,tt0119558",36,3.0,nm0892473,Playmates,1941,"Comedy,Music",Lupe Velez,1908,1944,"actress,soundtrack,archive_footage","tt0031370,tt0031641,tt0020074,tt0034867",33,3
tt0034091,1.0,nm0070361,Robert Benchley,"tt0032484,tt0034881,tt0038652,tt0035885",52,2.0,nm0317519,The Reluctant Dragon,1941,"Animation,Comedy,Family",Frances Gifford,1920,1994,"actress,archive_footage","tt0036414,tt0034798,tt0032602,tt0033776",21,31
tt0034146,1.0,nm0801630,Hugh Sinclair,"tt0034146,tt0036324,tt0033031,tt0042791",38,2.0,nm0336931,The Saint's Vacation,1941,"Comedy,Crime,Drama",Sally Gray,1915,2006,"actress,soundtrack","tt0034146,tt0031891,tt0032688,tt0038577",26,12
tt0034154,1.0,nm0452128,Guy Kibbee,"tt0031679,tt0027421,tt0026174,tt0023369",59,2.0,nm0400490,Scattergood Baines,1941,"Comedy,Drama",Carol Hughes,1910,1995,"actress,soundtrack,archive_footage","tt0032274,tt0032475,tt0030193,tt0029475",31,28
tt0034155,1.0,nm0452128,Guy Kibbee,"tt0031679,tt0027421,tt0026174,tt0023369",59,3.0,nm0676688,Scattergood Pulls the Strings,1941,Comedy,Susan Peters,1921,1952,"actress,soundtrack,archive_footage","tt0035238,tt0040785,tt0034680,tt0036552",20,39
tt0034280,2.0,nm0255199,James Ellison,"tt0036027,tt0035489,tt0028377,tt0027725",31,1.0,nm0000058,They Met in Argentina,1941,"Comedy,Musical,Romance",Maureen O'Hara,1920,2015,"actress,soundtrack,archive_footage","tt0045061,tt0039628,tt0055277,tt0033729",21,10
tt0034299,2.0,nm0614278,George Murphy,"tt0036430,tt0036673,tt0032284,tt0041198",39,1.0,nm0001677,"Tom, Dick and Harry",1941,Comedy,Ginger Rogers,1911,1995,"actress,soundtrack,archive_footage","tt0032671,tt0035019,tt0044916,tt0032946",30,9
tt0034339,2.0,nm0185883,James Craig,"tt0033532,tt0035980,tt0039301,tt0035308",29,1.0,nm0794297,Unexpected Uncle,1941,"Comedy,Drama",Anne Shirley,1918,1993,"actress,soundtrack,archive_footage","tt0037101,tt0033532,tt0029608,tt0021074",23,6
tt0034567,1.0,nm0572142,Victor McLaglen,"tt0045061,tt0026529,tt0040369,tt0024141",56,3.0,nm0001931,Call Out the Marines,1942,"Comedy,Music,War",Binnie Barnes,1903,1998,"actress,producer,soundtrack","tt0039037,tt0038108,tt0024473,tt0028373",39,17
tt0034716,1.0,nm0001695,George Sanders,"tt0042192,tt0032976,tt0037988,tt0033873",36,2.0,nm0054609,The Falcon Takes Over,1942,"Comedy,Crime,Mystery",Lynn Bari,1919,1989,"actress,soundtrack,archive_footage","tt0036672,tt0034716,tt0029899,tt0038782",23,13
tt0034751,1.0,nm0001961,Ray Bolger,"tt0032138,tt0054649,tt0045325,tt0044370",38,2.0,nm0794297,Four Jacks and a Jill,1942,"Comedy,Music,Romance",Anne Shirley,1918,1993,"actress,soundtrack,archive_footage","tt0037101,tt0033532,tt0029608,tt0021074",24,14
tt0034810,1.0,nm0669433,Harold Peary,"tt0036864,tt0035940,tt0035941,tt0035307",34,2.0,nm0002034,The Great Gildersleeve,1942,"Adventure,Comedy,Romance",Jane Darwell,1879,1967,"actress,archive_footage","tt0032551,tt0036244,tt0031381,tt0038762",63,-29
tt0034847,1.0,nm0430015,Jim Jordan,"tt0076618,tt0033850,tt0036902,tt0029663",46,2.0,nm0430090,Here We Go Again,1942,Comedy,Marian Jordan,1898,1961,"actress,soundtrack,archive_footage","tt0036902,tt0033850,tt0029663,tt0034847",44,2
tt0034853,1.0,nm0137999,Richard Carlson,"tt0046876,tt0045920,tt0033836,tt0032520",30,2.0,nm0709905,Highways by Night,1942,"Adventure,Comedy,Crime",Jane Randolph,1914,2009,"actress,miscellaneous,archive_footage","tt0034587,tt0040068,tt0034717,tt0035854",28,2
tt0035059,2.0,nm0259816,Leon Errol,"tt0031641,tt0031370,tt0035061,tt0036959",61,1.0,nm0892473,Mexican Spitfire Sees a Ghost,1942,Comedy,Lupe Velez,1908,1944,"actress,soundtrack,archive_footage","tt0031370,tt0031641,tt0020074,tt0034867",34,27
tt0035060,2.0,nm0259816,Leon Errol,"tt0031641,tt0031370,tt0035061,tt0036959",61,1.0,nm0892473,Mexican Spitfire at Sea,1942,Comedy,Lupe Velez,1908,1944,"actress,soundtrack,archive_footage","tt0031370,tt0031641,tt0020074,tt0034867",34,27
