tconst,primaryTitle,startYear,genres
tt0032910,Pinocchio,1940,"Adventure,Animation,Comedy"
tt0032720,Little Orvie,1940,"Comedy,Drama"
tt0032795,Millionaire Playboy,1940,"Comedy,Romance"
tt0032373,Curtain Call,1940,"Comedy,Romance"
tt0032638,Irene,1940,"Comedy,Musical,Mystery"
tt0029284,My Favorite Wife,1940,"Comedy,Romance"
tt0033279,You Can't Fool Your Wife,1940,"Comedy,Romance"
tt0032925,Pop Always Pays,1940,Comedy
tt0032369,Cross-Country Romance,1940,"Comedy,Romance"
tt0032733,Lucky Partners,1940,"Comedy,Drama,Romance"
tt0032376,"Dance, Girl, Dance",1940,"Comedy,Drama,Music"
tt0032417,Dreaming Out Loud,1940,Comedy
tt0033173,Too Many Girls,1940,"Comedy,Music,Sport"
tt0033224,The Villain Still Pursued Her,1940,Comedy
tt0032703,Li'l Abner,1940,"Comedy,Romance"
tt0033283,You'll Find Out,1940,"Comedy,Crime,Horror"
tt0032980,Remedy for Riches,1940,"Comedy,Romance"
tt0032786,Mexican Spitfire Out West,1940,Comedy
tt0032717,Little Men,1940,"Comedy,Drama"
tt0032847,"No, No, Nanette",1940,"Comedy,Drama,Musical"
tt0033922,Mr. & Mrs. Smith,1941,"Comedy,Romance"
tt0034154,Scattergood Baines,1941,"Comedy,Drama"
tt0032916,Play Girl,1941,"Comedy,Romance"
tt0033615,Footlight Fever,1941,"Comedy,Romance"
tt0033533,The Devil and Miss Jones,1941,"Comedy,Romance"
tt0034280,They Met in Argentina,1941,"Comedy,Musical,Romance"
tt0034146,The Saint's Vacation,1941,"Comedy,Crime,Drama"
tt0034155,Scattergood Pulls the Strings,1941,Comedy
tt0034299,"Tom, Dick and Harry",1941,Comedy
tt0033733,"Hurry, Charlie, Hurry",1941,Comedy
tt0034091,The Reluctant Dragon,1941,"Animation,Comedy,Family"
tt0033932,My Life with Caroline,1941,"Comedy,Romance"
tt0033401,Scattergood Meets Broadway,1941,"Comedy,Drama"
tt0033805,Lady Scarface,1941,"Comedy,Crime,Drama"
tt0033592,Father Takes a Wife,1941,"Comedy,Romance"
tt0034339,Unexpected Uncle,1941,"Comedy,Drama"
tt0033850,Look Who's Laughing,1941,"Adventure,Comedy"
tt0033907,The Mexican Spitfire's Baby,1941,Comedy
tt0033373,Ball of Fire,1941,"Comedy,Romance"
tt0034033,Playmates,1941,"Comedy,Music"
tt0034751,Four Jacks and a Jill,1942,"Comedy,Music,Romance"
tt0033968,Obliging Young Lady,1942,"Comedy,Romance"
tt0034567,Call Out the Marines,1942,"Comedy,Music,War"
tt0035338,Sing Your Worries Away,1942,"Comedy,Musical,Mystery"
tt0035060,Mexican Spitfire at Sea,1942,Comedy
tt0033379,The Bashful Bachelor,1942,Comedy
tt0035477,The Tuttles of Tahiti,1942,"Adventure,Comedy,Romance"
tt0035292,Scattergood Rides High,1942,"Comedy,Drama"
tt0035405,Syncopation,1942,"Comedy,History,Music"
tt0034716,The Falcon Takes Over,1942,"Comedy,Crime,Mystery"
tt0035102,My Favorite Spy,1942,"Comedy,Musical"
tt0035205,Powder Town,1942,"Comedy,Drama"
tt0035059,Mexican Spitfire Sees a Ghost,1942,Comedy
tt0035061,Mexican Spitfire's Elephant,1942,"Comedy,Romance"
tt0034853,Highways by Night,1942,"Adventure,Comedy,Crime"
tt0034847,Here We Go Again,1942,Comedy
tt0035293,Scattergood Survives a Murder,1942,"Adventure,Comedy,Crime"
tt0035307,Seven Days' Leave,1942,"Comedy,Musical,Romance"
tt0035151,Once Upon a Honeymoon,1942,"Adventure,Comedy,Drama"
tt0034810,The Great Gildersleeve,1942,"Adventure,Comedy,Romance"
tt0035738,Cinderella Swings It,1943,"Comedy,Drama,Musical"
tt0036427,They Got Me Covered,1943,Comedy
tt0035480,Two Weeks to Live,1943,"Action,Comedy"
tt0036091,Ladies' Day,1943,"Comedy,Romance,Sport"
tt0036174,Mr. Lucky,1943,"Comedy,Crime,Romance"
tt0035941,Gildersleeve's Bad Day,1943,Comedy
tt0036155,Mexican Spitfire's Blessed Event,1943,Comedy
tt0036259,Petticoat Larceny,1943,"Comedy,Crime,Music"
tt0036583,The Adventures of a Rookie,1943,Comedy
tt0036363,The Sky's the Limit,1943,"Comedy,Musical,Romance"
tt0036092,A Lady Takes a Chance,1943,"Comedy,Romance,Western"
tt0035940,Gildersleeve on Broadway,1943,Comedy
tt0035648,Around the World,1943,"Comedy,Musical"
tt0036317,Rookies in Burma,1943,"Comedy,War"
tt0036919,Higher and Higher,1943,"Comedy,Musical,Romance"
tt0037420,Up in Arms,1944,"Comedy,Musical"
tt0037167,Passport to Destiny,1944,"Comedy,War"
tt0037261,Seven Days Ashore,1944,"Comedy,Musical,Romance"
tt0037274,Show Business,1944,"Comedy,Musical,Romance"
tt0037313,Step Lively,1944,"Comedy,Music,Romance"
tt0036699,Casanova Brown,1944,"Comedy,Drama,Romance"
tt0036864,Gildersleeve's Ghost,1944,"Adventure,Comedy,Fantasy"
tt0036671,Bride by Mistake,1944,"Comedy,Drama,Romance"
tt0036871,Goin' to Town,1944,Comedy
tt0036902,Heavenly Days,1944,"Comedy,Romance"
