tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres
tt0027318,movie,August järjestää kaiken,August järjestää kaiken,0,1942,\N,95,Comedy
tt0028038,movie,Non mi sposo più,Non mi sposo più,0,1942,\N,82,Comedy
tt0028039,movie,Quando Donna Vuole,Non ti conosco più,0,1940,\N,65,Comedy
tt0028058,movie,Olympic Honeymoon,Olympic Honeymoon,0,1940,\N,63,Comedy
tt0029105,movie,Lady from Lisbon,The Lady from Lisbon,0,1942,\N,75,"Comedy,Thriller,War"
tt0029284,movie,My Favorite Wife,My Favorite Wife,0,1940,\N,88,"Comedy,Romance"
tt0031042,movie,Amores de juventud,Amores de juventud,0,1941,\N,109,Comedy
tt0031077,movie,Band Waggon,Band Waggon,0,1940,\N,85,"Comedy,Musical"
tt0031084,movie,Beating Heart,Battement de coeur,0,1940,\N,97,"Comedy,Drama"
tt0031146,movie,Centomila dollari,Centomila dollari,0,1940,\N,83,Comedy
tt0031174,movie,Confidential Lady,Confidential Lady,0,1940,\N,74,"Comedy,Drama,Romance"
tt0031192,movie,Crook's Tour,Crook's Tour,0,1940,\N,80,"Comedy,Mystery"
tt0031271,movie,In the Times of Don Porfirio,En tiempos de Don Porfirio,0,1940,\N,160,"Comedy,Drama,Musical"
tt0031292,movie,Familjen Björck,Familjen Björck,0,1940,\N,98,Comedy
tt0031341,movie,French Without Tears,French Without Tears,0,1940,\N,86,Comedy
tt0031368,movie,The Girl Who Forgot,The Girl Who Forgot,0,1940,\N,\N,Comedy
tt0031372,movie,Giù il sipario,Giù il sipario,0,1940,\N,74,Comedy
tt0031384,movie,The Good Old Days,The Good Old Days,0,1940,\N,79,Comedy
tt0031444,movie,Hoots Mon,Hoots Mon,0,1940,\N,77,Comedy
tt0031504,movie,Jail Birds,Jail Birds,0,1940,\N,73,"Comedy,Crime"
tt0031522,movie,Just William,Just William,0,1940,\N,72,Comedy
tt0031545,movie,Il ladro sono io,Il ladro sono io,0,1940,\N,75,Comedy
tt0031568,movie,Leyenda rota,Leyenda rota,0,1940,\N,80,Comedy
tt0031584,movie,La locura de Don Juan,La locura de Don Juan,0,1940,\N,\N,Comedy
tt0031612,movie,The Man from Down Under,The Man from Down Under,0,1943,\N,103,"Action,Comedy,Drama"
tt0031623,movie,Ein Mann auf Abwegen,Ein Mann auf Abwegen,0,1940,\N,88,"Adventure,Comedy"
tt0031644,movie,The Middle Watch,The Middle Watch,0,1940,\N,87,Comedy
tt0031789,movie,Two on a Vacation,Pazza di gioia,0,1940,\N,78,Comedy
tt0031854,movie,El rey que rabió,El rey que rabió,0,1940,\N,\N,Comedy
tt0031878,movie,Red Roses,Rose scarlatte,0,1940,\N,65,Comedy
tt0031920,movie,She Couldn't Say No,She Couldn't Say No,0,1940,\N,72,Comedy
tt0031966,movie,Sportowiec mimo woli,Sportowiec mimo woli,0,1940,\N,64,Comedy
tt0031967,movie,Spy for a Day,Spy for a Day,0,1940,\N,71,"Comedy,Thriller"
tt0031994,movie,Radio Surprises,Les surprises de la radio,0,1940,\N,80,Comedy
tt0032090,movie,Validità giorni dieci,Validità giorni dieci,0,1940,\N,76,Comedy
tt0032119,movie,Weißer Flieder,Weißer Flieder,0,1940,\N,92,"Comedy,Romance"
tt0032168,movie,¡Que viene mi marido!,¡Que viene mi marido!,0,1940,\N,91,Comedy
tt0032177,movie,...som en tjuv om natten,...som en tjuv om natten,0,1940,\N,98,Comedy
tt0032182,movie,"Addio, giovinezza!","Addio, giovinezza!",0,1940,\N,94,Comedy
tt0032186,movie,You're Missing the Point,Ahí está el detalle,0,1940,\N,112,Comedy
tt0032188,movie,La alegría de la huerta,La alegría de la huerta,0,1940,\N,82,"Comedy,Musical"
tt0032191,movie,Alias the Deacon,Alias the Deacon,0,1940,\N,74,"Adventure,Comedy"
tt0032195,movie,Everybody at His Station,Alle man på post,0,1940,\N,75,Comedy
tt0032197,movie,Allá en el Trópico,Allá en el Trópico,0,1940,\N,110,"Comedy,Drama,Musical"
tt0032198,movie,Always a Bride,Always a Bride,0,1940,\N,58,"Comedy,Romance"
tt0032201,movie,Americaner Shadchen,Americaner Shadchen,0,1940,\N,87,"Comedy,Romance"
tt0032206,movie,Andy Hardy Meets Debutante,Andy Hardy Meets Debutante,0,1940,\N,88,"Comedy,Family,Romance"
tt0032207,movie,An Angel from Texas,An Angel from Texas,0,1940,\N,69,"Comedy,Romance"
tt0032209,movie,Angels Over Broadway,Angels Over Broadway,0,1940,\N,79,"Adventure,Comedy,Crime"
tt0032218,movie,Argentine Nights,Argentine Nights,0,1940,\N,75,"Comedy,Music"
tt0032220,movie,"Arise, My Love","Arise, My Love",0,1940,\N,110,"Comedy,Drama,Romance"
tt0032233,movie,Bal paré,Bal paré,0,1940,\N,100,"Comedy,Music,Romance"
tt0032234,movie,The Bank Dick,The Bank Dick,0,1940,\N,72,Comedy
tt0032239,movie,Barnyard Follies,Barnyard Follies,0,1940,\N,67,"Comedy,Drama,Music"
tt0032246,movie,Behind the News,Behind the News,0,1940,\N,75,"Action,Comedy,Crime"
tt0032250,movie,Un bigote para dos,Un bigote para dos,0,1940,\N,71,Comedy
tt0032261,movie,Blondie Has Servant Trouble,Blondie Has Servant Trouble,0,1940,\N,70,"Comedy,Family"
tt0032262,movie,Blondie Plays Cupid,Blondie Plays Cupid,0,1940,\N,68,"Adventure,Comedy,Family"
tt0032263,movie,Blondie on a Budget,Blondie on a Budget,0,1940,\N,72,"Comedy,Family"
tt0032265,movie,Blyge Anton,Blyge Anton,0,1940,\N,108,Comedy
tt0032266,movie,Boccaccio,Boccaccio,0,1940,\N,80,Comedy
tt0032276,movie,The Boys from Syracuse,The Boys from Syracuse,0,1940,\N,73,"Comedy,Musical"
tt0032277,movie,Boys of the City,Boys of the City,0,1940,\N,68,"Comedy,Mystery,Thriller"
tt0032279,movie,The Bride Wore Crutches,The Bride Wore Crutches,0,1940,\N,55,"Action,Adventure,Comedy"
tt0032285,movie,Brother Orchid,Brother Orchid,0,1940,\N,88,"Comedy,Crime,Drama"
tt0032286,movie,Brother Rat and a Baby,Brother Rat and a Baby,0,1940,\N,87,Comedy
tt0032289,movie,Buck Benny Rides Again,Buck Benny Rides Again,0,1940,\N,84,"Adventure,Comedy,Music"
tt0032297,movie,Calling All Husbands,Calling All Husbands,0,1940,\N,63,"Comedy,Romance"
tt0032300,movie,Song of My Heart,Cantate con me,0,1940,\N,83,Comedy
tt0032301,movie,La canzone rubata,La canzone rubata,0,1940,\N,85,Comedy
tt0032303,movie,Il capitano degli ussari,Il capitano degli ussari,0,1940,\N,68,Comedy
tt0032305,movie,The Captain Is a Lady,The Captain Is a Lady,0,1940,\N,65,Comedy
tt0032309,movie,Carnaval de antaño,Carnaval de antaño,0,1940,\N,86,"Comedy,Musical"
tt0032323,movie,Charley's (Big-Hearted) Aunt,Charley's (Big-Hearted) Aunt,0,1940,\N,75,Comedy
tt0032335,movie,Chingolo,Chingolo,0,1940,\N,79,Comedy
tt0032338,movie,Christmas in July,Christmas in July,0,1940,\N,67,"Comedy,Drama,Romance"
tt0032339,movie,A Chump at Oxford,A Chump at Oxford,0,1940,\N,62,"Comedy,Family"
tt0032343,movie,City of Chance,City of Chance,0,1940,\N,56,"Comedy,Crime,Drama"
tt0032347,movie,Comin' Round the Mountain,Comin' Round the Mountain,0,1940,\N,63,"Comedy,Music,Romance"
tt0032349,movie,Comrade X,Comrade X,0,1940,\N,104,"Comedy,Romance"
tt0032350,movie,La comédie du bonheur,La comédie du bonheur,0,1940,\N,108,Comedy
tt0032353,movie,Congo Maisie,Congo Maisie,0,1940,\N,71,"Comedy,Drama"
tt0032369,movie,Cross-Country Romance,Cross-Country Romance,0,1940,\N,68,"Comedy,Romance"
tt0032373,movie,Curtain Call,Curtain Call,0,1940,\N,63,"Comedy,Romance"
tt0032375,movie,"Dad Rudd, M.P.","Dad Rudd, M.P.",0,1940,\N,83,Comedy
tt0032376,movie,"Dance, Girl, Dance","Dance, Girl, Dance",0,1940,\N,90,"Comedy,Drama,Music"
tt0032377,movie,Dancing on a Dime,Dancing on a Dime,0,1940,\N,74,"Comedy,Drama,Music"
tt0032382,movie,La danza dei milioni,La danza dei milioni,0,1940,\N,70,Comedy
tt0032397,movie,The Doctor Takes a Wife,The Doctor Takes a Wife,0,1940,\N,88,"Comedy,Romance"
tt0032407,movie,Dopo divorzieremo,Dopo divorzieremo,0,1940,\N,85,Comedy
tt0032410,movie,Down Argentine Way,Down Argentine Way,0,1940,\N,89,"Comedy,Drama,Musical"
tt0032417,movie,Dreaming Out Loud,Dreaming Out Loud,0,1940,\N,81,Comedy
tt0032422,movie,Dulcy,Dulcy,0,1940,\N,73,"Adventure,Comedy,Romance"
tt0032424,movie,The Earl of Chicago,The Earl of Chicago,0,1940,\N,87,"Action,Comedy,Crime"
tt0032425,movie,Earl of Puddlestone,Earl of Puddlestone,0,1940,\N,67,"Comedy,Romance"
tt0032428,movie,East Side Kids,East Side Kids,0,1940,\N,62,"Comedy,Drama,Romance"
tt0032434,movie,Egy csók és más semmi,Egy csók és más semmi,0,1941,\N,77,"Comedy,Musical"
tt0032435,movie,Eladó birtok,Eladó birtok,0,1941,\N,86,"Comedy,Romance"
tt0032437,movie,L'elisir d'amore,L'elisir d'amore,0,1941,\N,85,Comedy
tt0032442,movie,"One, But a Lion!","En, men ett lejon!",0,1940,\N,94,Comedy
tt0032451,movie,Una famiglia impossibile,Una famiglia impossibile,0,1940,\N,75,Comedy
tt0032452,movie,Familien Olsen,Familien Olsen,0,1940,\N,91,"Comedy,Crime,Drama"
tt0032453,movie,El famoso Carballeira,El famoso Carballeira,0,1940,\N,89,"Comedy,Drama"
tt0032456,movie,The Farmer's Daughter,The Farmer's Daughter,0,1940,\N,60,"Comedy,Music,Romance"
tt0032458,movie,Father Is a Prince,Father Is a Prince,0,1940,\N,57,"Comedy,Drama"
tt0032459,movie,The French Way,Fausse alerte,0,1940,\N,90,"Comedy,Romance"
tt0032473,movie,Five Little Peppers in Trouble,Five Little Peppers in Trouble,0,1940,\N,64,"Comedy,Drama"
tt0032476,movie,Flight Angels,Flight Angels,0,1940,\N,74,"Comedy,Drama,Romance"
tt0032478,movie,Flora y Mariana,Flora y Mariana,0,1942,\N,103,Comedy
