tconst,ordering_M,nconst_M,primaryName_M,knownForTitles_M,age_M,ordering_F,nconst_F,titleType_x,originalTitle_x,isAdult_x,endYear_x,runtimeMinutes_x,titleType_y,primaryTitle,originalTitle_y,isAdult_y,startYear,endYear_y,runtimeMinutes_y,genres,primaryName_F,birthYear,deathYear,primaryProfession,knownForTitles_F,age_F,age_gap
tt0031191,1.0,nm0392442,Jack Holt,"tt0034587,tt0028216,tt0024895,tt0019831",52,6.0,nm0912115,movie,Outside the Three-Mile Limit,0.0,\N,64,movie,Outside the Three-Mile Limit,Outside the Three-Mile Limit,0,1940,\N,64,"Crime,Drama,Romance",Irene Ware,1910,1993,"actress,archive_footage","tt0022753,tt0026333,tt0027613,tt0025608",30,22
tt0031378,1.0,nm0219396,Richard Denning,"tt0050105,tt0050197,tt0046876,tt0047960",26,2.0,nm0128573,movie,Golden Gloves,0.0,\N,66,movie,Golden Gloves,Golden Gloves,0,1940,\N,66,"Crime,Drama,Sport",Jeanne Cagney,1919,1984,"actress,soundtrack,archive_footage","tt0042869,tt0035575,tt0040884,tt0044557",21,5
tt0031394,1.0,nm0428160,Gordon Jones,"tt0034742,tt0031394,tt0035105,tt0057298",29,5.0,nm0619254,movie,The Green Hornet,0.0,\N,258,movie,The Green Hornet,The Green Hornet,0,1940,\N,258,"Adventure,Crime,Family",Anne Nagel,1915,1966,"actress,soundtrack,archive_footage","tt0033879,tt0031394,tt0032559,tt0032258",25,4
tt0031504,1.0,nm0121002,Albert Burdon,"tt0168167,tt0023131,tt0125134,tt0145896",40,5.0,nm0166546,movie,Jail Birds,0.0,\N,73,movie,Jail Birds,Jail Birds,0,1940,\N,73,"Comedy,Crime",Lorraine Clewes,1917,1996,actress,"tt0038442,tt0103206,tt0056350,tt0071292",23,17
tt0031548,1.0,nm0714878,Michael Redgrave,"tt0030341,tt0043362,tt0039636,tt0055018",32,2.0,nm0336931,movie,A Window in London,0.0,\N,59,movie,Lady in Distress,A Window in London,0,1940,\N,59,"Crime,Drama,Thriller",Sally Gray,1915,2006,"actress,soundtrack","tt0034146,tt0031891,tt0032688,tt0038577",25,7
tt0031636,1.0,nm0517058,John Loder,"tt0033729,tt0035140,tt0028212,tt0029081",42,2.0,nm0532296,movie,Meet Maxwell Archer,0.0,\N,73,movie,"Maxwell Archer, Detective",Meet Maxwell Archer,0,1940,\N,73,"Adventure,Crime,Mystery",Leueen MacGrath,1914,1992,"actress,writer","tt0030637,tt0041329,tt0191690,tt0040049",26,16
tt0031682,2.0,nm0507968,Edward Lexy,"tt0030774,tt0030846,tt0395536,tt0989125",43,1.0,nm0163515,movie,Mrs. Pym of Scotland Yard,0.0,\N,65,movie,Mrs. Pym of Scotland Yard,Mrs. Pym of Scotland Yard,0,1940,\N,65,"Crime,Mystery",Mary Clare,1892,1970,"actress,archive_footage","tt0040662,tt0030341,tt0024989,tt0010997",48,-5
tt0031918,1.0,nm0842981,Basil Sydney,"tt0040416,tt0046269,tt0053882,tt0026939",46,2.0,nm0384962,movie,Shadowed Eyes,0.0,\N,68,movie,Shadowed Eyes,Shadowed Eyes,0,1940,\N,68,"Crime,Drama",Patricia Hilliard,1916,2001,actress,"tt0026406,tt0028358,tt4306014,tt0025681",24,22
tt0032176,2.0,nm0107575,George Brent,"tt0031210,tt0024034,tt0031835,tt0040556",36,1.0,nm0643353,movie,'Til We Meet Again,0.0,\N,99,movie,'Til We Meet Again,'Til We Meet Again,0,1940,\N,99,"Crime,Drama,Mystery",Merle Oberon,1911,1979,"actress,writer,producer","tt0032145,tt0037024,tt0034274,tt0025748",29,7
tt0032179,2.0,nm0052203,Leslie Banks,"tt0023238,tt0025452,tt0032571,tt0031505",50,1.0,nm0000046,movie,21 Days,0.0,\N,72,movie,21 Days Together,21 Days,0,1940,\N,72,"Crime,Drama,Romance",Vivien Leigh,1913,1967,"actress,writer,soundtrack","tt0044081,tt0031381,tt0033238,tt0034272",27,23
tt0032183,1.0,nm0107575,George Brent,"tt0031210,tt0024034,tt0031835,tt0040556",36,2.0,nm0592109,movie,Adventure in Diamonds,0.0,\N,76,movie,Adventure in Diamonds,Adventure in Diamonds,0,1940,\N,76,"Crime,Drama",Isa Miranda,1905,1982,"actress,soundtrack,archive_footage","tt0040137,tt0063599,tt0031445,tt0035021",35,1
tt0032199,1.0,nm0178313,Ralph Cooper,"tt0030089,tt0028917,tt0028118,tt0135426",32,2.0,nm0507783,movie,Am I Guilty?,0.0,\N,70,movie,Am I Guilty?,Am I Guilty?,0,1940,\N,70,"Action,Crime,Drama",Sybil Lewis,1919,1988,actress,"tt0032833,tt0135169,tt0032199,tt0040593",21,11
tt0032209,1.0,nm0001195,Douglas Fairbanks Jr.,"tt0021079,tt0024962,tt0041363,tt0029442",31,2.0,nm0000028,movie,Angels Over Broadway,0.0,\N,79,movie,Angels Over Broadway,Angels Over Broadway,0,1940,\N,79,"Adventure,Comedy,Crime",Rita Hayworth,1918,1987,"actress,producer,soundtrack","tt0038559,tt0040525,tt0035103,tt0036723",22,9
tt0032231,2.0,nm0001229,Glenn Ford,"tt0038559,tt0078346,tt0055312,tt0045555",24,1.0,nm0399955,movie,Babies for Sale,0.0,\N,65,movie,Babies for Sale,Babies for Sale,0,1940,\N,65,"Crime,Drama",Rochelle Hudson,1916,1972,"actress,soundtrack,archive_footage","tt0025301,tt0033971,tt0028651,tt0048545",24,0
tt0032245,1.0,nm0000472,Boris Karloff,"tt0026138,tt0023245,tt0024894,tt0023194",53,2.0,nm0450810,movie,Before I Hang,0.0,\N,62,movie,Before I Hang,Before I Hang,0,1940,\N,62,"Crime,Horror,Sci-Fi",Evelyn Keyes,1916,2008,"actress,soundtrack,archive_footage","tt0048605,tt0043938,tt0041663,tt0031381",24,29
tt0032246,1.0,nm0634313,Lloyd Nolan,"tt0091167,tt0062575,tt0065377,tt0071455",38,2.0,nm0202589,movie,Behind the News,0.0,\N,75,movie,Behind the News,Behind the News,0,1940,\N,75,"Action,Comedy,Crime",Doris Davenport,1917,1980,"actress,soundtrack,archive_footage","tt0032246,tt0033253,tt0025347,tt0031955",23,15
tt0032257,1.0,nm0035159,Richard Arlen,"tt0024188,tt0018578,tt0021070,tt0031661",41,3.0,nm0011116,movie,Black Diamonds,0.0,\N,60,movie,Black Diamonds,Black Diamonds,0,1940,\N,60,"Crime,Drama,Film-Noir",Kathryn Adams,1920,2016,actress,"tt0038366,tt0035279,tt0031302,tt0031455",20,21
tt0032258,1.0,nm0000472,Boris Karloff,"tt0026138,tt0023245,tt0024894,tt0023194",53,5.0,nm0619254,movie,Black Friday,0.0,\N,70,movie,Black Friday,Black Friday,0,1940,\N,70,"Crime,Drama,Film-Noir",Anne Nagel,1915,1966,"actress,soundtrack,archive_footage","tt0033879,tt0031394,tt0032559,tt0032258",25,28
tt0032280,1.0,nm0152361,Edward Chapman,"tt0021015,tt0021165,tt0057530,tt0053149",39,2.0,nm0062746,movie,The Briggs Family,0.0,\N,68,movie,The Briggs Family,The Briggs Family,0,1940,\N,68,"Crime,Drama",Jane Baxter,1909,1996,actress,"tt0026294,tt0024900,tt0024998,tt0989125",31,8
tt0032285,1.0,nm0000064,Edward G. Robinson,"tt0036775,tt0040506,tt0038991,tt0038057",47,3.0,nm0815433,movie,Brother Orchid,0.0,\N,88,movie,Brother Orchid,Brother Orchid,0,1940,\N,88,"Comedy,Crime,Drama",Ann Sothern,1909,2001,"actress,music_department,soundtrack","tt0033803,tt0094315,tt0041587,tt0045435",31,16
tt0032287,1.0,nm0054011,Carl Barcklind,"tt0013832,tt23779954,tt0029575,tt0027857",67,3.0,nm0252327,movie,Ett brott,0.0,\N,92,movie,Ett brott,Ett brott,0,1940,\N,92,"Crime,Drama",Karin Ekelund,1913,1976,"actress,soundtrack,archive_footage","tt0036372,tt0033859,tt0025853,tt0033376",27,40
tt0032296,1.0,nm0288003,Preston Foster,"tt0023629,tt0023042,tt0044789,tt0026605",40,2.0,nm0245304,movie,Cafe Hostess,0.0,\N,65,movie,Cafe Hostess,Cafe Hostess,0,1940,\N,65,"Crime,Drama,Thriller",Ann Dvorak,1911,1979,"actress,miscellaneous,soundtrack","tt0023427,tt0028695,tt0026393,tt0023590",29,11
tt0032299,1.0,nm0827263,James Stephenson,"tt0032701,tt0034184,tt0032299,tt0030968",51,2.0,nm0828997,movie,Calling Philo Vance,0.0,\N,62,movie,Calling Philo Vance,Calling Philo Vance,0,1940,\N,62,"Crime,Mystery,Thriller",Margot Stevenson,1912,2011,actress,"tt0032299,tt0032550,tt0032476,tt0031937",28,23
tt0032313,1.0,nm0330961,Marius Goring,"tt0040725,tt0038733,tt0046754,tt0046034",28,2.0,nm0240178,movie,The Case of the Frightened Lady,0.0,\N,75,movie,The Frightened Lady,The Case of the Frightened Lady,0,1940,\N,75,"Crime,Drama,Mystery",Penelope Dudley-Ward,1914,1982,actress,"tt0032313,tt0027989,tt0033868,tt0036793",26,2
tt0032315,1.0,nm0002092,John Garfield,"tt0030149,tt0039204,tt0038622,tt0038854",27,2.0,nm0792130,movie,Castle on the Hudson,0.0,\N,77,movie,Castle on the Hudson,Castle on the Hudson,0,1940,\N,77,"Crime,Drama",Ann Sheridan,1915,1967,"actress,producer,soundtrack","tt0034946,tt0033149,tt0039666,tt0037273",25,2
tt0032326,1.0,nm0866010,Sidney Toler,"tt0031147,tt0036706,tt0032325,tt0032819",66,2.0,nm0915913,movie,Charlie Chan's Murder Cruise,0.0,\N,76,movie,Charlie Chan's Murder Cruise,Charlie Chan's Murder Cruise,0,1940,\N,76,"Crime,Mystery",Marjorie Weaver,1913,1994,"actress,soundtrack,archive_footage","tt0035027,tt0036878,tt0034931,tt0032788",27,39
tt0032343,2.0,nm0807580,C. Aubrey Smith,"tt0032976,tt0037515,tt0029442,tt0023551",77,1.0,nm0054609,movie,City of Chance,0.0,\N,56,movie,City of Chance,City of Chance,0,1940,\N,56,"Comedy,Crime,Drama",Lynn Bari,1919,1989,"actress,soundtrack,archive_footage","tt0036672,tt0034716,tt0029899,tt0038782",21,56
