tconst,ordering,nconst,titleType_x,originalTitle_x,isAdult_x,endYear_x,runtimeMinutes_x,titleType_y,primaryTitle,originalTitle_y,isAdult_y,startYear,endYear_y,runtimeMinutes_y,genres,primaryName,birthYear,deathYear,primaryProfession,knownForTitles,age
tt0031191,6.0,nm0912115,movie,Outside the Three-Mile Limit,0.0,\N,64,movie,Outside the Three-Mile Limit,Outside the Three-Mile Limit,0,1940,\N,64,"Crime,Drama,Romance",Irene Ware,1910,1993,"actress,archive_footage","tt0022753,tt0026333,tt0027613,tt0025608",30
tt0031378,2.0,nm0128573,movie,Golden Gloves,0.0,\N,66,movie,Golden Gloves,Golden Gloves,0,1940,\N,66,"Crime,Drama,Sport",Jeanne Cagney,1919,1984,"actress,soundtrack,archive_footage","tt0042869,tt0035575,tt0040884,tt0044557",21
tt0031394,5.0,nm0619254,movie,The Green Hornet,0.0,\N,258,movie,The Green Hornet,The Green Hornet,0,1940,\N,258,"Adventure,Crime,Family",Anne Nagel,1915,1966,"actress,soundtrack,archive_footage","tt0033879,tt0031394,tt0032559,tt0032258",25
tt0031504,5.0,nm0166546,movie,Jail Birds,0.0,\N,73,movie,Jail Birds,Jail Birds,0,1940,\N,73,"Comedy,Crime",Lorraine Clewes,1917,1996,actress,"tt0038442,tt0103206,tt0056350,tt0071292",23
tt0031548,2.0,nm0336931,movie,A Window in London,0.0,\N,59,movie,Lady in Distress,A Window in London,0,1940,\N,59,"Crime,Drama,Thriller",Sally Gray,1915,2006,"actress,soundtrack","tt0034146,tt0031891,tt0032688,tt0038577",25
tt0031636,2.0,nm0532296,movie,Meet Maxwell Archer,0.0,\N,73,movie,"Maxwell Archer, Detective",Meet Maxwell Archer,0,1940,\N,73,"Adventure,Crime,Mystery",Leueen MacGrath,1914,1992,"actress,writer","tt0030637,tt0041329,tt0191690,tt0040049",26
tt0031682,1.0,nm0163515,movie,Mrs. Pym of Scotland Yard,0.0,\N,65,movie,Mrs. Pym of Scotland Yard,Mrs. Pym of Scotland Yard,0,1940,\N,65,"Crime,Mystery",Mary Clare,1892,1970,"actress,archive_footage","tt0040662,tt0030341,tt0024989,tt0010997",48
tt0031918,2.0,nm0384962,movie,Shadowed Eyes,0.0,\N,68,movie,Shadowed Eyes,Shadowed Eyes,0,1940,\N,68,"Crime,Drama",Patricia Hilliard,1916,2001,actress,"tt0026406,tt0028358,tt4306014,tt0025681",24
tt0032176,1.0,nm0643353,movie,'Til We Meet Again,0.0,\N,99,movie,'Til We Meet Again,'Til We Meet Again,0,1940,\N,99,"Crime,Drama,Mystery",Merle Oberon,1911,1979,"actress,writer,producer","tt0032145,tt0037024,tt0034274,tt0025748",29
tt0032179,1.0,nm0000046,movie,21 Days,0.0,\N,72,movie,21 Days Together,21 Days,0,1940,\N,72,"Crime,Drama,Romance",Vivien Leigh,1913,1967,"actress,writer,soundtrack","tt0044081,tt0031381,tt0033238,tt0034272",27
tt0032183,2.0,nm0592109,movie,Adventure in Diamonds,0.0,\N,76,movie,Adventure in Diamonds,Adventure in Diamonds,0,1940,\N,76,"Crime,Drama",Isa Miranda,1905,1982,"actress,soundtrack,archive_footage","tt0040137,tt0063599,tt0031445,tt0035021",35
tt0032199,2.0,nm0507783,movie,Am I Guilty?,0.0,\N,70,movie,Am I Guilty?,Am I Guilty?,0,1940,\N,70,"Action,Crime,Drama",Sybil Lewis,1919,1988,actress,"tt0032833,tt0135169,tt0032199,tt0040593",21
