tconst,ordering,nconst,titleType,originalTitle,isAdult,endYear,runtimeMinutes,primaryTitle,startYear,genres,primaryName,birthYear,deathYear,primaryProfession,knownForTitles,age
tt0031378,2.0,nm0128573,movie,Golden Gloves,0.0,\N,66,Golden Gloves,1940,"Crime,Drama,Sport",Jeanne Cagney,1919,1984,"actress,soundtrack,archive_footage","tt0042869,tt0035575,tt0040884,tt0044557",21
tt0032183,2.0,nm0592109,movie,Adventure in Diamonds,0.0,\N,76,Adventure in Diamonds,1940,"Crime,Drama",Isa Miranda,1905,1982,"actress,soundtrack,archive_footage","tt0040137,tt0063599,tt0031445,tt0035021",35
tt0032843,2.0,nm0387556,movie,A Night at Earl Carroll's,0.0,\N,62.0,A Night at Earl Carroll's,1940,"Comedy,Crime,Musical",Rose Hobart,1906,2000,"actress,soundtrack,archive_footage","tt0022835,tt0037611,tt0021074,tt0033747",34
tt0032876,2.0,nm0517578,movie,Opened by Mistake,0.0,\N,67.0,Opened by Mistake,1940,"Comedy,Crime,Mystery",Janice Logan,1915,1965,actress,"tt0032412,tt0032876,tt0221249,tt0032077",25
tt0032890,2.0,nm0197713,movie,Parole Fixer,0.0,\N,68.0,Parole Fixer,1940,"Action,Crime,Drama",Virginia Dale,1917,1994,"actress,soundtrack,archive_footage","tt0034862,tt0031221,tt0031031,tt0040296",23
tt0032958,2.0,nm0951063,movie,Queen of the Mob,0.0,\N,61.0,Queen of the Mob,1940,"Crime,Drama",Blanche Yurka,1887,1974,"actress,archive_footage","tt0027075,tt0036377,tt0036731,tt0036672",53
tt0033244,2.0,nm0313438,movie,The Way of All Flesh,0.0,\N,86.0,The Way of All Flesh,1940,"Crime,Drama,Romance",Gladys George,1900,1954,"actress,soundtrack,archive_footage","tt0031867,tt0033870,tt0036868,tt0043625",40
tt0033272,1.0,nm0237655,movie,Women Without Names,0.0,\N,62.0,Women Without Names,1940,"Crime,Drama,Romance",Ellen Drew,1914,2003,"actress,soundtrack,archive_footage","tt0032338,tt0037820,tt0033916,tt0042229",26
tt0033861,2.0,nm0237655,movie,The Mad Doctor,0.0,\N,90.0,The Mad Doctor,1940,"Crime,Film-Noir,Romance",Ellen Drew,1914,2003,"actress,soundtrack,archive_footage","tt0032338,tt0037820,tt0033916,tt0042229",26
tt0033916,1.0,nm0237655,movie,The Monster and the Girl,0.0,\N,65.0,The Monster and the Girl,1941,"Crime,Drama,Horror",Ellen Drew,1914,2003,"actress,soundtrack,archive_footage","tt0032338,tt0037820,tt0033916,tt0042229",27
tt0033954,2.0,nm0237655,movie,The Night of January 16th,0.0,\N,80.0,The Night of January 16th,1941,"Crime,Drama,Film-Noir",Ellen Drew,1914,2003,"actress,soundtrack,archive_footage","tt0032338,tt0037820,tt0033916,tt0042229",27
tt0033958,2.0,nm0662335,movie,No Hands on the Clock,0.0,\N,76.0,No Hands on the Clock,1941,"Crime,Mystery",Jean Parker,1915,2005,"actress,soundtrack,archive_footage","tt0024264,tt0042531,tt0035453,tt0036653",26
tt0034678,2.0,nm0680482,movie,Dr. Broadway,0.0,\N,68,Dr. Broadway,1942,"Crime,Drama,Mystery",Jean Phillips,1914,1970,actress,"tt0033954,tt0033337,tt0034678,tt0035442",28
tt0034798,2.0,nm0000043,movie,The Glass Key,0.0,\N,85,The Glass Key,1942,"Crime,Drama,Film-Noir",Veronica Lake,1922,1973,"actress,producer,soundtrack","tt0034240,tt0038369,tt0035432,tt0034881",20
tt0035126,2.0,nm0605685,movie,Night in New Orleans,0.0,\N,75,Night in New Orleans,1942,"Comedy,Crime,Drama",Patricia Morison,1915,2018,"actress,soundtrack,archive_footage","tt0036377,tt0038494,tt0035706,tt0036005",27
tt0035388,2.0,nm0872456,movie,Street of Chance,0.0,\N,74.0,Street of Chance,1942,"Crime,Drama,Film-Noir",Claire Trevor,1910,2000,"actress,soundtrack,archive_footage","tt0040506,tt0031971,tt0037101,tt0028773",32
tt0035432,2.0,nm0000043,movie,This Gun for Hire,0.0,\N,81.0,This Gun for Hire,1942,"Crime,Drama,Film-Noir",Veronica Lake,1922,1973,"actress,producer,soundtrack","tt0034240,tt0038369,tt0035432,tt0034881",20
tt0036743,2.0,nm0237655,movie,Dark Mountain,0.0,\N,56.0,Dark Mountain,1944,"Crime,Drama,Film-Noir",Ellen Drew,1914,2003,"actress,soundtrack,archive_footage","tt0032338,tt0037820,tt0033916,tt0042229",30
tt0036774,2.0,nm0446715,movie,Double Exposure,0.0,\N,63.0,Double Exposure,1944,"Comedy,Crime,Mystery",Nancy Kelly,1921,1995,"actress,soundtrack,archive_footage","tt0048977,tt0031507,tt0035795,tt0032873",23
tt0036775,2.0,nm0001766,movie,Double Indemnity,0.0,\N,107.0,Double Indemnity,1944,"Crime,Drama,Film-Noir",Barbara Stanwyck,1907,1990,"actress,soundtrack,archive_footage","tt0036775,tt0033373,tt0040823,tt0032080",37
tt0036845,2.0,nm0446715,movie,Gambler's Choice,0.0,\N,66.0,Gambler's Choice,1944,"Action,Crime,Drama",Nancy Kelly,1921,1995,"actress,soundtrack,archive_footage","tt0048977,tt0031507,tt0035795,tt0032873",23
tt0037075,2.0,nm0721851,movie,Ministry of Fear,0.0,\N,86,Ministry of Fear,1944,"Crime,Drama,Film-Noir",Marjorie Reynolds,1917,1997,"actress,soundtrack,archive_footage","tt0039037,tt0034862,tt0032404,tt0043643",27
tt0037712,2.0,nm0446715,movie,Follow That Woman,0.0,\N,69,Follow That Woman,1945,"Comedy,Crime,Drama",Nancy Kelly,1921,1995,"actress,soundtrack,archive_footage","tt0048977,tt0031507,tt0035795,tt0032873",24
tt0037816,1.0,nm0002149,movie,Incendiary Blonde,0.0,\N,113,Incendiary Blonde,1945,"Biography,Crime,Drama",Betty Hutton,1921,2007,"actress,writer,soundtrack","tt0042200,tt0044672,tt0037077,tt0038119",24
tt0037960,2.0,nm0767243,movie,Midnight Manhunt,0.0,\N,64,Midnight Manhunt,1945,"Comedy,Crime,Mystery",Ann Savage,1921,2008,"actress,soundtrack,archive_footage","tt0037638,tt1093842,tt0038877,tt0037409",24
tt0038047,2.0,nm0751149,movie,Salty O'Rourke,0.0,\N,100,Salty O'Rourke,1945,"Crime,Drama",Gail Russell,1924,1961,"actress,soundtrack,archive_footage","tt0037415,tt0039152,tt0039235,tt0040643",21
tt0038369,2.0,nm0000043,movie,The Blue Dahlia,0.0,\N,96,The Blue Dahlia,1946,"Crime,Film-Noir,Mystery",Veronica Lake,1922,1973,"actress,producer,soundtrack","tt0034240,tt0038369,tt0035432,tt0034881",24
tt0039023,2.0,nm0110159,movie,They Made Me a Killer,0.0,\N,64,They Made Me a Killer,1946,"Crime,Drama,Film-Noir",Barbara Britton,1919,1980,"actress,archive_footage","tt0038513,tt0042325,tt0040616,tt0040543",27
tt0039186,2.0,nm0111702,movie,Big Town,0.0,\N,60,Big Town,1946,"Crime,Drama",Hillary Brooke,1914,1999,"actress,archive_footage","tt0049470,tt0037671,tt0038990,tt0041191",32
tt0039187,2.0,nm0111702,movie,Big Town After Dark,0.0,\N,69,Big Town After Dark,1947,"Crime,Drama,Film-Noir",Hillary Brooke,1914,1999,"actress,archive_footage","tt0049470,tt0037671,tt0038990,tt0041191",33
tt0039235,2.0,nm0751149,movie,Calcutta,0.0,\N,83,Calcutta,1946,"Action,Crime,Drama",Gail Russell,1924,1961,"actress,soundtrack,archive_footage","tt0037415,tt0039152,tt0039235,tt0040643",22
tt0039311,2.0,nm0779507,movie,Desert Fury,0.0,\N,96,Desert Fury,1947,"Crime,Drama,Film-Noir",Lizabeth Scott,1922,2015,"actress,soundtrack,archive_footage","tt0041968,tt0038988,tt0040695,tt0039482",25
tt0039343,1.0,nm0854996,movie,Dynamit,0.0,\N,88,Dynamite,1947,"Crime,Drama",Birgit Tengroth,1915,1983,"actress,writer,soundtrack","tt0042466,tt0026305,tt0036380,tt0041998",32
tt0039372,3.0,nm0779422,movie,Fear in the Night,0.0,\N,72,Fear in the Night,1946,"Crime,Drama,Film-Noir",Kay Scott,1927,1971,"actress,soundtrack","tt0039372,tt0062309",19
tt0039482,2.0,nm0779507,movie,I Walk Alone,0.0,\N,97,I Walk Alone,1947,"Crime,Drama,Film-Noir",Lizabeth Scott,1922,2015,"actress,soundtrack,archive_footage","tt0041968,tt0038988,tt0040695,tt0039482",25
tt0039645,2.0,nm0483787,movie,My Favorite Brunette,0.0,\N,87,My Favorite Brunette,1947,"Comedy,Crime,Mystery",Dorothy Lamour,1914,1996,"actress,soundtrack,archive_footage","tt0092796,tt0032993,tt0057007,tt0039645",33
tt0040160,2.0,nm0001577,movie,The Big Clock,0.0,\N,95.0,The Big Clock,1948,"Crime,Drama,Film-Noir",Maureen O'Sullivan,1911,1998,"actress,soundtrack,archive_footage","tt0025878,tt0091167,tt0025862,tt0023551",37
tt0040162,2.0,nm0111702,movie,Big Town Scandal,0.0,\N,60.0,Big Town Scandal,1948,"Crime,Drama",Hillary Brooke,1914,1999,"actress,archive_footage","tt0049470,tt0037671,tt0038990,tt0041191",34
tt0040196,2.0,nm0752846,movie,Caged Fury,0.0,\N,60.0,Caged Fury,1948,"Action,Crime,Drama",Sheila Ryan,1921,1975,"actress,soundtrack,archive_footage","tt0038459,tt0039580,tt0036379,tt0033676",27
tt0040643,2.0,nm0751149,movie,Night Has a Thousand Eyes,0.0,\N,81.0,Night Has a Thousand Eyes,1948,"Crime,Drama,Fantasy",Gail Russell,1924,1961,"actress,soundtrack,archive_footage","tt0037415,tt0039152,tt0039235,tt0040643",24
tt0040753,2.0,nm0000043,movie,Saigon,0.0,\N,93.0,Saigon,1947,"Crime,Drama,Film-Noir",Veronica Lake,1922,1973,"actress,producer,soundtrack","tt0034240,tt0038369,tt0035432,tt0034881",25
tt0040809,2.0,nm0002897,movie,So Evil My Love,0.0,\N,112.0,So Evil My Love,1948,"Crime,Drama",Ann Todd,1907,1993,"actress,soundtrack,archive_footage","tt0039694,tt0041735,tt0044446,tt0038924",41
tt0040951,2.0,nm0400794,movie,Waterfront at Midnight,0.0,\N,63,Waterfront at Midnight,1948,"Crime,Drama,Film-Noir",Mary Beth Hughes,1919,1995,"actress,soundtrack","tt0037749,tt0037858,tt0040472,tt0042568",29
tt0041243,2.0,nm0001656,movie,Chicago Deadline,0.0,\N,86,Chicago Deadline,1949,"Crime,Drama,Film-Noir",Donna Reed,1921,1986,"actress,soundtrack,archive_footage","tt0038650,tt0045793,tt0051267,tt0049005",28
tt0041631,2.0,nm0483787,movie,Manhandled,0.0,\N,97,Manhandled,1949,"Crime,Drama,Film-Noir",Dorothy Lamour,1914,1996,"actress,soundtrack,archive_footage","tt0092796,tt0032993,tt0057007,tt0039645",35
tt0041795,1.0,nm0002149,movie,"Red, Hot and Blue",0.0,\N,84,"Red, Hot and Blue",1949,"Comedy,Crime,Musical",Betty Hutton,1921,2007,"actress,writer,soundtrack","tt0042200,tt0044672,tt0037077,tt0038119",28
tt0041910,3.0,nm0736990,movie,Special Agent,0.0,\N,71,Special Agent,1949,"Crime,Drama,History",Kasey Rogers,1925,2006,"actress,director,soundtrack","tt0044079,tt0044537,tt0057733,tt0041910",24
