tconst,primaryTitle,startYear,genres
tt0032890,Parole Fixer,1940,"Action,Crime,Drama"
tt0032183,Adventure in Diamonds,1940,"Crime,Drama"
tt0033272,Women Without Names,1940,"Crime,Drama,Romance"
tt0032876,Opened by Mistake,1940,"Comedy,Crime,Mystery"
tt0032958,Queen of the Mob,1940,"Crime,Drama"
tt0033244,The Way of All Flesh,1940,"Crime,Drama,Romance"
tt0031378,Golden Gloves,1940,"Crime,Drama,Sport"
tt0032843,A Night at Earl Carroll's,1940,"Comedy,Crime,Musical"
tt0033861,The Mad Doctor,1940,"Crime,Film-Noir,Romance"
tt0033916,The Monster and the Girl,1941,"Crime,Drama,Horror"
tt0033954,The Night of January 16th,1941,"Crime,Drama,Film-Noir"
tt0033958,No Hands on the Clock,1941,"Crime,Mystery"
tt0035432,This Gun for Hire,1942,"Crime,Drama,Film-Noir"
tt0034678,Dr. Broadway,1942,"Crime,Drama,Mystery"
tt0035126,Night in New Orleans,1942,"Comedy,Crime,Drama"
tt0035388,Street of Chance,1942,"Crime,Drama,Film-Noir"
tt0034798,The Glass Key,1942,"Crime,Drama,Film-Noir"
tt0036845,Gambler's Choice,1944,"Action,Crime,Drama"
tt0036775,Double Indemnity,1944,"Crime,Drama,Film-Noir"
tt0036743,Dark Mountain,1944,"Crime,Drama,Film-Noir"
tt0036774,Double Exposure,1944,"Comedy,Crime,Mystery"
tt0037075,Ministry of Fear,1944,"Crime,Drama,Film-Noir"
tt0038047,Salty O'Rourke,1945,"Crime,Drama"
tt0037960,Midnight Manhunt,1945,"Comedy,Crime,Mystery"
tt0037816,Incendiary Blonde,1945,"Biography,Crime,Drama"
tt0037712,Follow That Woman,1945,"Comedy,Crime,Drama"
tt0038369,The Blue Dahlia,1946,"Crime,Film-Noir,Mystery"
tt0039023,They Made Me a Killer,1946,"Crime,Drama,Film-Noir"
tt0039645,My Favorite Brunette,1947,"Comedy,Crime,Mystery"
tt0039372,Fear in the Night,1946,"Crime,Drama,Film-Noir"
tt0039235,Calcutta,1946,"Action,Crime,Drama"
tt0039186,Big Town,1946,"Crime,Drama"
tt0039311,Desert Fury,1947,"Crime,Drama,Film-Noir"
tt0039187,Big Town After Dark,1947,"Crime,Drama,Film-Noir"
tt0039482,I Walk Alone,1947,"Crime,Drama,Film-Noir"
tt0040196,Caged Fury,1948,"Action,Crime,Drama"
tt0040753,Saigon,1947,"Crime,Drama,Film-Noir"
tt0040160,The Big Clock,1948,"Crime,Drama,Film-Noir"
tt0040162,Big Town Scandal,1948,"Crime,Drama"
tt0040951,Waterfront at Midnight,1948,"Crime,Drama,Film-Noir"
tt0040809,So Evil My Love,1948,"Crime,Drama"
tt0040643,Night Has a Thousand Eyes,1948,"Crime,Drama,Fantasy"
tt0039343,Dynamite,1947,"Crime,Drama"
tt0041631,Manhandled,1949,"Crime,Drama,Film-Noir"
tt0041910,Special Agent,1949,"Crime,Drama,History"
tt0041795,"Red, Hot and Blue",1949,"Comedy,Crime,Musical"
tt0041243,Chicago Deadline,1949,"Crime,Drama,Film-Noir"
