tconst,primaryTitle,startYear,genres
tt0033014,The Saint's Double Trouble,1940,"Action,Crime,Drama"
tt0033013,The Saint Takes Over,1940,"Crime,Mystery"
tt0032796,Millionaires in Prison,1940,"Crime,Drama"
tt0033107,Stranger on the Third Floor,1940,"Crime,Drama,Film-Noir"
tt0033265,Wildcat Bus,1940,"Action,Crime,Drama"
tt0033283,You'll Find Out,1940,"Comedy,Crime,Horror"
tt0034145,The Saint in Palm Springs,1940,"Crime,Drama,Mystery"
tt0034146,The Saint's Vacation,1941,"Comedy,Crime,Drama"
tt0033805,Lady Scarface,1941,"Comedy,Crime,Drama"
tt0033650,The Gay Falcon,1941,"Crime,Film-Noir,Mystery"
tt0033517,A Date with the Falcon,1942,"Crime,Drama,Film-Noir"
tt0034716,The Falcon Takes Over,1942,"Comedy,Crime,Mystery"
tt0034853,Highways by Night,1942,"Adventure,Comedy,Crime"
tt0035293,Scattergood Survives a Murder,1942,"Adventure,Comedy,Crime"
tt0034717,The Falcon's Brother,1942,"Crime,Drama,Film-Noir"
tt0035854,The Falcon Strikes Back,1943,"Crime,Drama,Film-Noir"
tt0036174,Mr. Lucky,1943,"Comedy,Crime,Romance"
tt0035856,The Falcon in Danger,1943,"Crime,Film-Noir,Mystery"
tt0036259,Petticoat Larceny,1943,"Comedy,Crime,Music"
tt0036324,The Saint Meets the Tiger,1941,"Crime,Drama,Mystery"
tt0035855,The Falcon and the Co-eds,1943,"Crime,Drama,Film-Noir"
tt0036579,Action in Arabia,1944,"Crime,Drama,Romance"
tt0036809,The Falcon Out West,1944,"Crime,Drama,Film-Noir"
tt0037130,A Night of Adventure,1944,"Crime,Film-Noir,Mystery"
tt0037469,The Woman in the Window,1944,"Crime,Drama,Film-Noir"
tt0036811,The Falcon in Mexico,1944,"Crime,Film-Noir,Mystery"
tt0036810,The Falcon in Hollywood,1944,"Crime,Drama,Film-Noir"
tt0037101,"Murder, My Sweet",1944,"Crime,Drama,Film-Noir"
tt0038199,Two O'Clock Courage,1945,"Crime,Drama,Film-Noir"
tt0037559,The Brighton Strangler,1945,"Crime,Drama,Film-Noir"
tt0037690,The Falcon in San Francisco,1945,"Crime,Film-Noir,Mystery"
tt0037832,Johnny Angel,1945,"Crime,Drama,Film-Noir"
tt0037642,Dick Tracy,1945,"Action,Crime,Family"
tt0038458,Deadline at Dawn,1946,"Crime,Film-Noir,Mystery"
tt0038519,The Falcon's Alibi,1946,"Adventure,Crime,Drama"
tt0038991,The Stranger,1946,"Crime,Drama,Film-Noir"
tt0038982,Step by Step,1946,"Crime,Drama,Film-Noir"
tt0038429,Crack-Up,1946,"Crime,Drama,Film-Noir"
tt0037735,Genius at Work,1946,"Comedy,Crime"
tt0038782,Nocturne,1946,"Crime,Drama,Film-Noir"
tt0038434,Criminal Court,1946,"Crime,Drama"
tt0038478,Dick Tracy vs. Cueball,1946,"Action,Crime,Family"
tt0038905,San Quentin,1946,"Crime,Drama,Romance"
tt0038700,The Locket,1946,"Crime,Drama,Film-Noir"
tt0039317,The Devil Thumbs a Ride,1947,"Crime,Drama,Film-Noir"
tt0039211,Born to Kill,1947,"Crime,Drama,Film-Noir"
tt0039313,Desperate,1947,"Crime,Film-Noir,Thriller"
tt0040000,The Woman on the Beach,1947,"Crime,Drama,Film-Noir"
tt0039321,Dick Tracy's Dilemma,1947,"Action,Crime,Drama"
tt0039286,Crossfire,1947,"Crime,Drama,Film-Noir"
tt0039320,Dick Tracy Meets Gruesome,1947,"Action,Crime,Drama"
tt0039689,Out of the Past,1947,"Crime,Drama,Film-Noir"
tt0040155,Berlin Express,1948,"Crime,Drama,Film-Noir"
tt0040355,Fighting Father Dunne,1948,"Action,Biography,Crime"
tt0040719,Race Street,1948,"Crime,Drama,Film-Noir"
tt0040631,Mystery in Mexico,1948,"Crime,Mystery"
tt0040934,The Velvet Touch,1948,"Crime,Drama,Film-Noir"
tt0040178,Bodyguard,1948,"Crime,Drama,Film-Noir"
tt0041252,The Clay Pigeon,1949,"Crime,Drama,Film-Noir"
tt0041859,The Set-Up,1949,"Crime,Film-Noir,Sport"
tt0041178,The Big Steal,1949,"Crime,Film-Noir,Romance"
tt0041378,Follow Me Quietly,1949,"Crime,Drama,Film-Noir"
tt0041926,Strange Bargain,1949,"Crime,Drama,Film-Noir"
tt0041495,The Woman on Pier 13,1949,"Crime,Drama,Film-Noir"
tt0040872,They Live by Night,1948,"Crime,Film-Noir,Romance"
tt0041963,The Threat,1949,"Crime,Drama,Film-Noir"
tt0041278,A Dangerous Profession,1949,"Crime,Drama,Film-Noir"
