tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres
tt0031191,movie,Outside the Three-Mile Limit,Outside the Three-Mile Limit,0,1940,\N,64,"Crime,Drama,Romance"
tt0031378,movie,Golden Gloves,Golden Gloves,0,1940,\N,66,"Crime,Drama,Sport"
tt0031394,movie,The Green Hornet,The Green Hornet,0,1940,\N,258,"Adventure,Crime,Family"
tt0031504,movie,Jail Birds,Jail Birds,0,1940,\N,73,"Comedy,Crime"
tt0031548,movie,Lady in Distress,A Window in London,0,1940,\N,59,"Crime,Drama,Thriller"
tt0031636,movie,"Maxwell Archer, Detective",Meet Maxwell Archer,0,1940,\N,73,"Adventure,Crime,Mystery"
tt0031682,movie,Mrs. Pym of Scotland Yard,Mrs. Pym of Scotland Yard,0,1940,\N,65,"Crime,Mystery"
tt0031918,movie,Shadowed Eyes,Shadowed Eyes,0,1940,\N,68,"Crime,Drama"
tt0032176,movie,'Til We Meet Again,'Til We Meet Again,0,1940,\N,99,"Crime,Drama,Mystery"
tt0032179,movie,21 Days Together,21 Days,0,1940,\N,72,"Crime,Drama,Romance"
tt0032183,movie,Adventure in Diamonds,Adventure in Diamonds,0,1940,\N,76,"Crime,Drama"
tt0032199,movie,Am I Guilty?,Am I Guilty?,0,1940,\N,70,"Action,Crime,Drama"
tt0032209,movie,Angels Over Broadway,Angels Over Broadway,0,1940,\N,79,"Adventure,Comedy,Crime"
tt0032231,movie,Babies for Sale,Babies for Sale,0,1940,\N,65,"Crime,Drama"
tt0032245,movie,Before I Hang,Before I Hang,0,1940,\N,62,"Crime,Horror,Sci-Fi"
tt0032246,movie,Behind the News,Behind the News,0,1940,\N,75,"Action,Comedy,Crime"
tt0032257,movie,Black Diamonds,Black Diamonds,0,1940,\N,60,"Crime,Drama,Film-Noir"
tt0032258,movie,Black Friday,Black Friday,0,1940,\N,70,"Crime,Drama,Film-Noir"
tt0032280,movie,The Briggs Family,The Briggs Family,0,1940,\N,68,"Crime,Drama"
tt0032285,movie,Brother Orchid,Brother Orchid,0,1940,\N,88,"Comedy,Crime,Drama"
tt0032287,movie,Ett brott,Ett brott,0,1940,\N,92,"Crime,Drama"
tt0032296,movie,Cafe Hostess,Cafe Hostess,0,1940,\N,65,"Crime,Drama,Thriller"
tt0032299,movie,Calling Philo Vance,Calling Philo Vance,0,1940,\N,62,"Crime,Mystery,Thriller"
tt0032313,movie,The Frightened Lady,The Case of the Frightened Lady,0,1940,\N,75,"Crime,Drama,Mystery"
tt0032315,movie,Castle on the Hudson,Castle on the Hudson,0,1940,\N,77,"Crime,Drama"
