tconst,ordering_M,nconst_M,primaryName_M,knownForTitles_M,age_M,ordering_F,nconst_F,titleType_x,originalTitle_x,isAdult_x,endYear_x,runtimeMinutes_x,titleType_y,primaryTitle,originalTitle_y,isAdult_y,startYear,endYear_y,runtimeMinutes_y,genres,primaryName_F,birthYear,deathYear,primaryProfession,knownForTitles_F,age_F,age_gap
tt0032257,1.0,nm0035159,Richard Arlen,"tt0024188,tt0018578,tt0021070,tt0031661",41,3.0,nm0011116,movie,Black Diamonds,0.0,\N,60,movie,Black Diamonds,Black Diamonds,0,1940,\N,60,"Crime,Drama,Film-Noir",Kathryn Adams,1920,2016,actress,"tt0038366,tt0035279,tt0031302,tt0031455",20,21
tt0032258,1.0,nm0000472,Boris Karloff,"tt0026138,tt0023245,tt0024894,tt0023194",53,5.0,nm0619254,movie,Black Friday,0.0,\N,70,movie,Black Friday,Black Friday,0,1940,\N,70,"Crime,Drama,Film-Noir",Anne Nagel,1915,1966,"actress,soundtrack,archive_footage","tt0033879,tt0031394,tt0032559,tt0032258",25,28
tt0032505,1.0,nm0606998,Wayne Morris,"tt0050825,tt0034204,tt0041486,tt0029080",26,2.0,nm0943837,movie,Gambling on the High Seas,0.0,\N,55,movie,Gambling on the High Seas,Gambling on the High Seas,0,1940,\N,55,"Crime,Drama,Film-Noir",Jane Wyman,1917,2007,"actress,writer,producer","tt0081858,tt0043350,tt0047811,tt0037884",23,3
tt0032508,1.0,nm0178313,Ralph Cooper,"tt0030089,tt0028917,tt0028118,tt0135426",32,2.0,nm0811463,movie,Gang War,0.0,\N,63,movie,Gang War,Gang War,0,1940,\N,63,"Crime,Drama,Film-Noir",Gladys Snyder,1920,1998,"actress,soundtrack","tt0032508,tt0033255",20,12
tt0032607,1.0,nm0522926,Edmund Lowe,"tt0022753,tt0024141,tt0027923,tt0021807",50,2.0,nm0512267,movie,Honeymoon Deferred,0.0,\N,59,movie,Honeymoon Deferred,Honeymoon Deferred,0,1940,\N,59,"Comedy,Crime,Film-Noir",Margaret Lindsay,1910,1981,"actress,soundtrack,archive_footage","tt0038057,tt0030287,tt0035463,tt0026393",30,20
tt0032651,1.0,nm0000061,Tyrone Power,"tt0051201,tt0034405,tt0042256,tt0043959",26,2.0,nm0483787,movie,Johnny Apollo,0.0,\N,94,movie,Johnny Apollo,Johnny Apollo,0,1940,\N,94,"Crime,Drama,Film-Noir",Dorothy Lamour,1914,1996,"actress,soundtrack,archive_footage","tt0092796,tt0032993,tt0057007,tt0039645",26,0
tt0032701,2.0,nm0003339,Herbert Marshall,"tt0032484,tt0021165,tt0023622,tt0033836",50,1.0,nm0000012,movie,The Letter,0.0,\N,95,movie,The Letter,The Letter,0,1940,\N,95,"Crime,Drama,Film-Noir",Bette Davis,1908,1989,"actress,make_up_department,producer","tt0042192,tt0056687,tt0031210,tt0035140",32,18
tt0033107,1.0,nm0000048,Peter Lorre,"tt0022100,tt0036613,tt0034583,tt0033870",36,3.0,nm0848172,movie,Stranger on the Third Floor,0.0,\N,64,movie,Stranger on the Third Floor,Stranger on the Third Floor,0,1940,\N,64,"Crime,Drama,Film-Noir",Margaret Tallichet,1914,1991,"actress,archive_footage","tt0033107,tt0030052,tt0033766,tt0030184",26,10
tt0033149,1.0,nm0706368,George Raft,"tt0053291,tt0033149,tt0023427,tt0037832",39,3.0,nm0792130,movie,They Drive by Night,0.0,\N,95,movie,They Drive by Night,They Drive by Night,0,1940,\N,95,"Crime,Drama,Film-Noir",Ann Sheridan,1915,1967,"actress,producer,soundtrack","tt0034946,tt0033149,tt0039666,tt0037273",25,14
tt0033161,1.0,nm0789970,Sebastian Shaw,"tt0086190,tt0029603,tt0055024,tt0044830",35,3.0,nm0733540,movie,Three Silent Men,0.0,\N,72,movie,Three Silent Men,Three Silent Men,0,1940,\N,72,"Crime,Drama,Film-Noir",Patricia Roc,1915,2003,"actress,archive_footage","tt0038250,tt0040667,tt0043409,tt0041744",25,10
tt0033337,1.0,nm0215260,Albert Dekker,"tt0065214,tt0048261,tt0032412,tt0039416",36,3.0,nm0001333,movie,Among the Living,0.0,\N,67,movie,Among the Living,Among the Living,0,1941,\N,67,"Drama,Film-Noir,Mystery",Susan Hayward,1917,1975,"actress,soundtrack,archive_footage","tt0045333,tt0051758,tt0048191,tt0041672",24,12
tt0033517,1.0,nm0001695,George Sanders,"tt0042192,tt0032976,tt0037988,tt0033873",36,3.0,nm0057412,movie,A Date with the Falcon,0.0,\N,63,movie,A Date with the Falcon,A Date with the Falcon,0,1942,\N,63,"Crime,Drama,Film-Noir",Wendy Barrie,1912,1978,"actress,soundtrack,archive_footage","tt0033650,tt0031890,tt0033517,tt0033013",30,6
tt0033558,1.0,nm0634313,Lloyd Nolan,"tt0091167,tt0062575,tt0065377,tt0071455",39,2.0,nm0400794,movie,Dressed to Kill,0.0,\N,74,movie,Dressed to Kill,Dressed to Kill,0,1941,\N,74,"Crime,Film-Noir,Mystery",Mary Beth Hughes,1919,1995,"actress,soundtrack","tt0037749,tt0037858,tt0040472,tt0042568",22,17
tt0033582,1.0,nm0000048,Peter Lorre,"tt0022100,tt0036613,tt0034583,tt0033870",37,2.0,nm0450810,movie,The Face Behind the Mask,0.0,\N,69,movie,The Face Behind the Mask,The Face Behind the Mask,0,1941,\N,69,"Crime,Drama,Film-Noir",Evelyn Keyes,1916,2008,"actress,soundtrack,archive_footage","tt0048605,tt0043938,tt0041663,tt0031381",25,12
tt0033608,2.0,nm0593775,Thomas Mitchell,"tt0031971,tt0031381,tt0038650,tt0031679",49,1.0,nm0280242,movie,Flight from Destiny,0.0,\N,75,movie,Flight from Destiny,Flight from Destiny,0,1941,\N,75,"Drama,Film-Noir",Geraldine Fitzgerald,1913,2005,"actress,writer,producer","tt0031210,tt0032145,tt0082031,tt0059575",28,21
tt0033650,1.0,nm0001695,George Sanders,"tt0042192,tt0032976,tt0037988,tt0033873",35,2.0,nm0057412,movie,The Gay Falcon,0.0,\N,67,movie,The Gay Falcon,The Gay Falcon,0,1941,\N,67,"Crime,Film-Noir,Mystery",Wendy Barrie,1912,1978,"actress,soundtrack,archive_footage","tt0033650,tt0031890,tt0033517,tt0033013",29,6
