tconst,ordering_M,nconst_M,primaryName_M,knownForTitles_M,age_M,ordering_F,nconst_F,titleType,originalTitle,isAdult,endYear,runtimeMinutes,primaryTitle,startYear,genres,primaryName_F,birthYear,deathYear,primaryProfession,knownForTitles_F,age_F,age_gap
tt0033337,1.0,nm0215260,Albert Dekker,"tt0065214,tt0048261,tt0032412,tt0039416",36,3.0,nm0001333,movie,Among the Living,0.0,\N,67.0,Among the Living,1941,"Drama,Film-Noir,Mystery",Susan Hayward,1917,1975,"actress,soundtrack,archive_footage","tt0045333,tt0051758,tt0048191,tt0041672",24,12
tt0033861,1.0,nm0001651,Basil Rathbone,"tt0029843,tt0035317,tt0036348,tt0032762",48,2.0,nm0237655,movie,The Mad Doctor,0.0,\N,90.0,The Mad Doctor,1940,"Crime,Film-Noir,Romance",Ellen Drew,1914,2003,"actress,soundtrack,archive_footage","tt0032338,tt0037820,tt0033916,tt0042229",26,22
tt0033954,1.0,nm0696481,Robert Preston,"tt0056262,tt0084865,tt0087597,tt0083015",23,2.0,nm0237655,movie,The Night of January 16th,0.0,\N,80.0,The Night of January 16th,1941,"Crime,Drama,Film-Noir",Ellen Drew,1914,2003,"actress,soundtrack,archive_footage","tt0032338,tt0037820,tt0033916,tt0042229",27,-4
tt0034798,1.0,nm0000042,Alan Ladd,"tt0046303,tt0035432,tt0038369,tt0055718",29,2.0,nm0000043,movie,The Glass Key,0.0,\N,85.0,The Glass Key,1942,"Crime,Drama,Film-Noir",Veronica Lake,1922,1973,"actress,producer,soundtrack","tt0034240,tt0038369,tt0035432,tt0034881",20,9
tt0035388,1.0,nm0580565,Burgess Meredith,"tt0082186,tt0075148,tt0084602,tt0079817",35,2.0,nm0872456,movie,Street of Chance,0.0,\N,74.0,Street of Chance,1942,"Crime,Drama,Film-Noir",Claire Trevor,1910,2000,"actress,soundtrack,archive_footage","tt0040506,tt0031971,tt0037101,tt0028773",32,3
tt0035432,1.0,nm0000042,Alan Ladd,"tt0046303,tt0035432,tt0038369,tt0055718",29,2.0,nm0000043,movie,This Gun for Hire,0.0,\N,81.0,This Gun for Hire,1942,"Crime,Drama,Film-Noir",Veronica Lake,1922,1973,"actress,producer,soundtrack","tt0034240,tt0038369,tt0035432,tt0034881",20,9
tt0035562,1.0,nm0035159,Richard Arlen,"tt0024188,tt0018578,tt0021070,tt0031661",43,2.0,nm0431889,movie,Wildcat,0.0,\N,70.0,Wildcat,1942,"Adventure,Drama,Film-Noir",Arline Judge,1912,1974,"actress,soundtrack,archive_footage","tt0025762,tt0026225,tt0024024,tt0036720",30,13
tt0036741,1.0,nm0523225,Robert Lowery,"tt0038621,tt0041162,tt0037927,tt0037114",31,2.0,nm0112198,movie,Dangerous Passage,0.0,\N,60.0,Dangerous Passage,1944,"Drama,Film-Noir",Phyllis Brooks,1915,1995,"actress,soundtrack","tt0028765,tt0030657,tt0031149,tt0030371",29,2
tt0036743,1.0,nm0523225,Robert Lowery,"tt0038621,tt0041162,tt0037927,tt0037114",31,2.0,nm0237655,movie,Dark Mountain,0.0,\N,56.0,Dark Mountain,1944,"Crime,Drama,Film-Noir",Ellen Drew,1914,2003,"actress,soundtrack,archive_footage","tt0032338,tt0037820,tt0033916,tt0042229",30,1
tt0036775,1.0,nm0534045,Fred MacMurray,"tt0036775,tt0053604,tt0046816,tt0057518",36,2.0,nm0001766,movie,Double Indemnity,0.0,\N,107.0,Double Indemnity,1944,"Crime,Drama,Film-Noir",Barbara Stanwyck,1907,1990,"actress,soundtrack,archive_footage","tt0036775,tt0033373,tt0040823,tt0032080",37,-1
