tconst,primaryTitle,startYear,genres
tt0033861,The Mad Doctor,1940,"Crime,Film-Noir,Romance"
tt0033954,The Night of January 16th,1941,"Crime,Drama,Film-Noir"
tt0033337,Among the Living,1941,"Drama,Film-Noir,Mystery"
tt0035432,This Gun for Hire,1942,"Crime,Drama,Film-Noir"
tt0035562,Wildcat,1942,"Adventure,Drama,Film-Noir"
tt0035388,Street of Chance,1942,"Crime,Drama,Film-Noir"
tt0034798,The Glass Key,1942,"Crime,Drama,Film-Noir"
tt0036775,Double Indemnity,1944,"Crime,Drama,Film-Noir"
tt0036743,Dark Mountain,1944,"Crime,Drama,Film-Noir"
tt0036741,Dangerous Passage,1944,"Drama,Film-Noir"
tt0037075,Ministry of Fear,1944,"Crime,Drama,Film-Noir"
tt0037046,The Man in Half Moon Street,1944,"Drama,Film-Noir,Horror"
tt0038205,The Unseen,1945,"Drama,Film-Noir,Horror"
tt0037884,The Lost Weekend,1945,"Drama,Film-Noir"
tt0038369,The Blue Dahlia,1946,"Crime,Film-Noir,Mystery"
tt0039023,They Made Me a Killer,1946,"Crime,Drama,Film-Noir"
tt0039372,Fear in the Night,1946,"Crime,Drama,Film-Noir"
tt0039311,Desert Fury,1947,"Crime,Drama,Film-Noir"
tt0039187,Big Town After Dark,1947,"Crime,Drama,Film-Noir"
tt0039482,I Walk Alone,1947,"Crime,Drama,Film-Noir"
tt0040753,Saigon,1947,"Crime,Drama,Film-Noir"
tt0040160,The Big Clock,1948,"Crime,Drama,Film-Noir"
tt0040951,Waterfront at Midnight,1948,"Crime,Drama,Film-Noir"
tt0040071,The Accused,1949,"Drama,Film-Noir,Romance"
tt0041107,Alias Nick Beal,1949,"Drama,Fantasy,Film-Noir"
tt0041631,Manhandled,1949,"Crime,Drama,Film-Noir"
tt0041243,Chicago Deadline,1949,"Crime,Drama,Film-Noir"
