tconst,primaryTitle,startYear,genres
tt0033107,Stranger on the Third Floor,1940,"Crime,Drama,Film-Noir"
tt0033650,The Gay Falcon,1941,"Crime,Film-Noir,Mystery"
tt0034248,Suspicion,1941,"Film-Noir,Mystery,Thriller"
tt0033517,A Date with the Falcon,1942,"Crime,Drama,Film-Noir"
tt0034717,The Falcon's Brother,1942,"Crime,Drama,Film-Noir"
tt0035854,The Falcon Strikes Back,1943,"Crime,Drama,Film-Noir"
tt0036104,The Leopard Man,1943,"Film-Noir,Horror,Thriller"
tt0035856,The Falcon in Danger,1943,"Crime,Film-Noir,Mystery"
tt0035860,The Fallen Sparrow,1943,"Film-Noir,Mystery"
tt0035855,The Falcon and the Co-eds,1943,"Crime,Drama,Film-Noir"
tt0036809,The Falcon Out West,1944,"Crime,Drama,Film-Noir"
tt0037130,A Night of Adventure,1944,"Crime,Film-Noir,Mystery"
tt0037469,The Woman in the Window,1944,"Crime,Drama,Film-Noir"
tt0036811,The Falcon in Mexico,1944,"Crime,Film-Noir,Mystery"
tt0036810,The Falcon in Hollywood,1944,"Crime,Drama,Film-Noir"
tt0037101,"Murder, My Sweet",1944,"Crime,Drama,Film-Noir"
tt0036807,Experiment Perilous,1944,"Film-Noir,Romance,Thriller"
tt0038199,Two O'Clock Courage,1945,"Crime,Drama,Film-Noir"
tt0037559,The Brighton Strangler,1945,"Crime,Drama,Film-Noir"
tt0037690,The Falcon in San Francisco,1945,"Crime,Film-Noir,Mystery"
tt0037832,Johnny Angel,1945,"Crime,Drama,Film-Noir"
tt0037615,Cornered,1945,"Drama,Film-Noir,Thriller"
tt0038458,Deadline at Dawn,1946,"Crime,Film-Noir,Mystery"
tt0038991,The Stranger,1946,"Crime,Drama,Film-Noir"
tt0039050,The Truth About Murder,1946,"Comedy,Film-Noir,Mystery"
tt0038787,Notorious,1946,"Drama,Film-Noir,Romance"
tt0038982,Step by Step,1946,"Crime,Drama,Film-Noir"
tt0038429,Crack-Up,1946,"Crime,Drama,Film-Noir"
tt0038782,Nocturne,1946,"Crime,Drama,Film-Noir"
tt0038518,The Falcon's Adventure,1946,"Film-Noir,Mystery"
tt0038700,The Locket,1946,"Crime,Drama,Film-Noir"
tt0039317,The Devil Thumbs a Ride,1947,"Crime,Drama,Film-Noir"
tt0039211,Born to Kill,1947,"Crime,Drama,Film-Noir"
tt0039313,Desperate,1947,"Crime,Film-Noir,Thriller"
tt0040000,The Woman on the Beach,1947,"Crime,Drama,Film-Noir"
tt0039896,They Won't Believe Me,1947,"Drama,Film-Noir,Romance"
tt0039286,Crossfire,1947,"Crime,Drama,Film-Noir"
tt0039581,The Long Night,1947,"Drama,Film-Noir"
tt0039689,Out of the Past,1947,"Crime,Drama,Film-Noir"
tt0040155,Berlin Express,1948,"Crime,Drama,Film-Noir"
tt0040719,Race Street,1948,"Crime,Drama,Film-Noir"
tt0040934,The Velvet Touch,1948,"Crime,Drama,Film-Noir"
tt0040178,Bodyguard,1948,"Crime,Drama,Film-Noir"
tt0042053,A Woman's Secret,1949,"Drama,Film-Noir,Mystery"
tt0041252,The Clay Pigeon,1949,"Crime,Drama,Film-Noir"
tt0041859,The Set-Up,1949,"Crime,Film-Noir,Sport"
tt0042046,The Window,1949,"Drama,Film-Noir,Thriller"
tt0041178,The Big Steal,1949,"Crime,Film-Noir,Romance"
tt0041378,Follow Me Quietly,1949,"Crime,Drama,Film-Noir"
tt0041926,Strange Bargain,1949,"Crime,Drama,Film-Noir"
tt0041495,The Woman on Pier 13,1949,"Crime,Drama,Film-Noir"
tt0040872,They Live by Night,1948,"Crime,Film-Noir,Romance"
tt0041963,The Threat,1949,"Crime,Drama,Film-Noir"
tt0041278,A Dangerous Profession,1949,"Crime,Drama,Film-Noir"
