tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres
tt0041181,movie,Black Hand,Black Hand,0,1950,\N,92,"Crime,Film-Noir,Thriller"
tt0041694,movie,No Man of Her Own,No Man of Her Own,0,1950,\N,98,"Drama,Film-Noir,Romance"
tt0042039,movie,Whirlpool,Whirlpool,0,1950,\N,98,"Crime,Drama,Film-Noir"
tt0042052,movie,Woman in Hiding,Woman in Hiding,0,1950,\N,92,"Crime,Drama,Film-Noir"
tt0042208,movie,The Asphalt Jungle,The Asphalt Jungle,0,1950,\N,112,"Crime,Drama,Film-Noir"
tt0042219,movie,Backfire,Backfire,0,1950,\N,91,"Crime,Film-Noir,Mystery"
tt0042242,movie,Between Midnight and Dawn,Between Midnight and Dawn,0,1950,\N,89,"Crime,Drama,Film-Noir"
tt0042250,movie,Highway 301,Highway 301,0,1950,\N,83,"Crime,Drama,Film-Noir"
tt0042274,movie,Borderline,Borderline,0,1950,\N,88,"Crime,Drama,Film-Noir"
tt0042275,movie,Born to Be Bad,Born to Be Bad,0,1950,\N,94,"Crime,Drama,Film-Noir"
tt0042281,movie,The Breaking Point,The Breaking Point,0,1950,\N,97,"Crime,Drama,Film-Noir"
tt0042289,movie,Bunco Squad,Bunco Squad,0,1950,\N,67,"Crime,Drama,Film-Noir"
tt0042296,movie,Caged,Caged,0,1950,\N,97,"Crime,Drama,Film-Noir"
tt0042376,movie,The Damned Don't Cry,The Damned Don't Cry,0,1950,\N,103,"Crime,Drama,Film-Noir"
tt0042379,movie,Dark City,Dark City,0,1950,\N,98,"Crime,Drama,Film-Noir"
tt0042387,movie,Deported,Deported,0,1950,\N,89,"Crime,Drama,Film-Noir"
tt0042392,movie,Destination Big House,Destination Big House,0,1950,\N,60,"Crime,Drama,Film-Noir"
tt0042394,movie,Destination Murder,Destination Murder,0,1950,\N,72,"Crime,Drama,Film-Noir"
tt0042397,movie,Dial 1119,Dial 1119,0,1950,\N,75,"Film-Noir,Thriller"
tt0042412,movie,Double Deal,Double Deal,0,1950,\N,64,"Crime,Drama,Film-Noir"
tt0042428,movie,Edge of Doom,Edge of Doom,0,1950,\N,99,"Crime,Drama,Film-Noir"
tt0042496,movie,Gambling House,Gambling House,0,1950,\N,80,"Crime,Drama,Film-Noir"
tt0042529,movie,Guilty Bystander,Guilty Bystander,0,1950,\N,91,"Crime,Drama,Film-Noir"
tt0042530,movie,Gun Crazy,Gun Crazy,0,1950,\N,87,"Crime,Drama,Film-Noir"
tt0042551,movie,Hi-Jacked,Hi-Jacked,0,1950,\N,66,"Crime,Drama,Film-Noir"
tt0042579,movie,House by the River,House by the River,0,1950,\N,83,"Crime,Drama,Film-Noir"
tt0042582,movie,Hunt the Man Down,Hunt the Man Down,0,1950,\N,69,"Crime,Film-Noir,Mystery"
tt0042588,movie,I Was a Shoplifter,I Was a Shoplifter,0,1950,\N,74,"Crime,Drama,Film-Noir"
tt0042593,movie,In a Lonely Place,In a Lonely Place,0,1950,\N,94,"Drama,Film-Noir,Mystery"
tt0042618,movie,Johnny One-Eye,Johnny One-Eye,0,1950,\N,78,"Crime,Drama,Film-Noir"
tt0042640,movie,Kill or Be Killed,Kill or Be Killed,0,1950,\N,67,"Crime,Film-Noir,Mystery"
tt0042643,movie,The Killer That Stalked New York,The Killer That Stalked New York,0,1950,\N,79,"Drama,Film-Noir,Thriller"
tt0042648,movie,Kiss Tomorrow Goodbye,Kiss Tomorrow Goodbye,0,1950,\N,102,"Crime,Film-Noir,Thriller"
tt0042664,movie,A Lady Without Passport,A Lady Without Passport,0,1950,\N,74,"Crime,Drama,Film-Noir"
