tconst,ordering,nconst,category,job,characters,titleType,originalTitle,isAdult,endYear,runtimeMinutes
tt0032257,1,nm0035159,actor,\N,"[""Walter Norton""]",movie,Black Diamonds,0,\N,60
tt0032257,2,nm0222596,actor,\N,"[""Tolliver Higgenbotham""]",movie,Black Diamonds,0,\N,60
tt0032257,3,nm0011116,actress,\N,"[""Linda Connor""]",movie,Black Diamonds,0,\N,60
tt0032257,4,nm0280707,actor,\N,"[""Matthews""]",movie,Black Diamonds,0,\N,60
tt0032257,5,nm0871695,actress,\N,"[""Nina Norton""]",movie,Black Diamonds,0,\N,60
tt0032257,6,nm0163785,actor,\N,"[""Archie Connor""]",movie,Black Diamonds,0,\N,60
tt0032257,7,nm0280900,actor,\N,"[""Johnson""]",movie,Black Diamonds,0,\N,60
tt0032257,8,nm0020822,actress,\N,"[""Mom Norton""]",movie,Black Diamonds,0,\N,60
tt0032257,9,nm0608000,actor,\N,"[""Joseph Aloysius Stacey""]",movie,Black Diamonds,0,\N,60
tt0032257,10,nm0154184,actor,\N,"[""Dr. Lukas""]",movie,Black Diamonds,0,\N,60
tt0032257,11,nm0127511,director,\N,\N,movie,Black Diamonds,0,\N,60
tt0032257,12,nm0732325,writer,screenplay,\N,movie,Black Diamonds,0,\N,60
tt0032257,13,nm0949404,writer,\N,\N,movie,Black Diamonds,0,\N,60
tt0032257,14,nm0686089,producer,producer,\N,movie,Black Diamonds,0,\N,60
tt0032257,15,nm0005873,cinematographer,\N,\N,movie,Black Diamonds,0,\N,60
tt0032257,16,nm0448867,editor,\N,\N,movie,Black Diamonds,0,\N,60
tt0032258,1,nm0000472,actor,\N,"[""Dr. Ernest Sovac""]",movie,Black Friday,0,\N,70
tt0032258,2,nm0000509,actor,\N,"[""Eric Marnay""]",movie,Black Friday,0,\N,70
tt0032258,3,nm0725897,actor,\N,"[""Prof. George Kingsley""]",movie,Black Friday,0,\N,70
tt0032258,4,nm0725897,actor,\N,"[""Red Cannon""]",movie,Black Friday,0,\N,70
tt0032258,5,nm0619254,actress,\N,"[""Sunny Rogers""]",movie,Black Friday,0,\N,70
tt0032258,6,nm0350374,actress,\N,"[""Jean Sovac""]",movie,Black Friday,0,\N,70
tt0032258,7,nm0109877,actress,\N,"[""Mrs. Margaret Kingsley""]",movie,Black Friday,0,\N,70
tt0032258,8,nm0531705,actor,\N,"[""Frank Miller""]",movie,Black Friday,0,\N,70
tt0032258,9,nm0280707,actor,\N,"[""William Kane""]",movie,Black Friday,0,\N,70
tt0032258,10,nm0022367,actor,\N,"[""Bellhop""]",movie,Black Friday,0,\N,70
tt0032258,11,nm0611804,actor,\N,"[""Bartender""]",movie,Black Friday,0,\N,70
tt0032258,12,nm0523893,director,\N,\N,movie,Black Friday,0,\N,70
tt0032258,13,nm0802561,writer,screenplay,\N,movie,Black Friday,0,\N,70
tt0032258,14,nm0852338,writer,screenplay,\N,movie,Black Friday,0,\N,70
tt0032258,15,nm0106608,cinematographer,director of photography,\N,movie,Black Friday,0,\N,70
tt0032258,16,nm0128724,editor,\N,\N,movie,Black Friday,0,\N,70
tt0032505,1,nm0606998,actor,\N,"[""Jim Carter""]",movie,Gambling on the High Seas,0,\N,55
tt0032505,2,nm0943837,actress,\N,"[""Laurie Ogden""]",movie,Gambling on the High Seas,0,\N,55
tt0032505,3,nm0738042,actor,\N,"[""Greg Morella""]",movie,Gambling on the High Seas,0,\N,55
tt0032505,4,nm0514344,actor,\N,"[""U.S. District Attorney""]",movie,Gambling on the High Seas,0,\N,55
tt0032505,5,nm0699430,actor,\N,"[""Max Gates""]",movie,Gambling on the High Seas,0,\N,55
tt0032505,6,nm0928207,actor,\N,"[""Stone""]",movie,Gambling on the High Seas,0,\N,55
tt0032505,7,nm0833382,actor,\N,"[""Larry Brill""]",movie,Gambling on the High Seas,0,\N,55
tt0032505,8,nm0302664,actor,\N,"[""Steve Sterling""]",movie,Gambling on the High Seas,0,\N,55
tt0032505,9,nm0272432,actor,\N,"[""City District Attorney""]",movie,Gambling on the High Seas,0,\N,55
tt0032505,10,nm0788288,actor,\N,"[""Chief of Police""]",movie,Gambling on the High Seas,0,\N,55
tt0032505,11,nm0025497,director,\N,\N,movie,Gambling on the High Seas,0,\N,55
tt0032505,12,nm0448839,writer,screen play,\N,movie,Gambling on the High Seas,0,\N,55
tt0032505,13,nm0600755,writer,from an idea by,\N,movie,Gambling on the High Seas,0,\N,55
tt0032505,14,nm0640116,cinematographer,director of photography,\N,movie,Gambling on the High Seas,0,\N,55
tt0032505,15,nm0724094,editor,film editor,\N,movie,Gambling on the High Seas,0,\N,55
tt0032508,1,nm0178313,actor,\N,"[""Bob 'Killer' Meade""]",movie,Gang War,0,\N,63
tt0032508,2,nm0811463,actress,\N,"[""Maizie 'Sugar' Walford""]",movie,Gang War,0,\N,63
tt0032508,3,nm0271740,actor,\N,"[""Danny - Meade's Chief Henchman""]",movie,Gang War,0,\N,63
tt0032508,4,nm0187876,actor,\N,"[""Lew Baron""]",movie,Gang War,0,\N,63
tt0032508,5,nm0370334,actor,\N,"[""Bill - Baron's Henchman""]",movie,Gang War,0,\N,63
tt0032508,6,nm0112057,actor,\N,"[""Lt. Holmes""]",movie,Gang War,0,\N,63
