tconst,ordering_M,nconst_M,primaryName_M,knownForTitles_M,age_M,ordering_F,nconst_F,titleType,originalTitle,isAdult,endYear,runtimeMinutes,primaryTitle,startYear,genres,primaryName_F,birthYear,deathYear,primaryProfession,knownForTitles_F,age_F
tt0031341,1.0,nm0001537,Ray Milland,"tt0037884,tt0046912,tt0066011,tt0037415",33,2.0,nm0237655,movie,French Without Tears,0.0,\N,86,French Without Tears,1940,Comedy,Ellen Drew,1914,2003,"actress,soundtrack,archive_footage","tt0032338,tt0037820,tt0033916,tt0042229",26
tt0031378,1.0,nm0219396,Richard Denning,"tt0050105,tt0050197,tt0046876,tt0047960",26,2.0,nm0128573,movie,Golden Gloves,0.0,\N,66,Golden Gloves,1940,"Crime,Drama,Sport",Jeanne Cagney,1919,1984,"actress,soundtrack,archive_footage","tt0042869,tt0035575,tt0040884,tt0044557",21
tt0032183,1.0,nm0107575,George Brent,"tt0031210,tt0024034,tt0031835,tt0040556",36,2.0,nm0592109,movie,Adventure in Diamonds,0.0,\N,76,Adventure in Diamonds,1940,"Crime,Drama",Isa Miranda,1905,1982,"actress,soundtrack,archive_footage","tt0040137,tt0063599,tt0031445,tt0035021",35
tt0032220,2.0,nm0001537,Ray Milland,"tt0037884,tt0046912,tt0066011,tt0037415",33,1.0,nm0001055,movie,"Arise, My Love",0.0,\N,110,"Arise, My Love",1940,"Comedy,Drama,Romance",Claudette Colbert,1903,1996,"actress,soundtrack,archive_footage","tt0025316,tt0036367,tt0029929,tt0037280",37
tt0032254,1.0,nm0496889,Billy Lee,"tt0033722,tt0034089,tt0032254,tt0035532",11,5.0,nm0587725,movie,The Biscuit Eater,0.0,\N,81,The Biscuit Eater,1940,"Drama,Family",Helene Millard,1905,1974,actress,"tt0020492,tt0033963,tt0032254,tt0021092",35
tt0032289,1.0,nm0000912,Jack Benny,"tt0042116,tt0035446,tt0033457,tt0034780",46,2.0,nm0237655,movie,Buck Benny Rides Again,0.0,\N,84.0,Buck Benny Rides Again,1940,"Adventure,Comedy,Music",Ellen Drew,1914,2003,"actress,soundtrack,archive_footage","tt0032338,tt0037820,tt0033916,tt0042229",26
tt0032330,1.0,nm0228715,Richard Dix,"tt0021746,tt0015117,tt0016439,tt0016345",47,2.0,nm0723422,movie,Cherokee Strip,0.0,\N,86.0,Cherokee Strip,1940,Western,Florence Rice,1907,1974,"actress,soundtrack,archive_footage","tt0030120,tt0033402,tt0035378,tt0033426",33
tt0032338,1.0,nm0694090,Dick Powell,"tt0037101,tt0037615,tt0044391,tt0040695",36,2.0,nm0237655,movie,Christmas in July,0.0,\N,67,Christmas in July,1940,"Comedy,Drama,Romance",Ellen Drew,1914,2003,"actress,soundtrack,archive_footage","tt0032338,tt0037820,tt0033916,tt0042229",26
tt0032347,1.0,nm0122589,Bob Burns,"tt0030651,tt0029742,tt1572174,tt0036636",50,2.0,nm0580916,movie,Comin' Round the Mountain,0.0,\N,63,Comin' Round the Mountain,1940,"Comedy,Music,Romance",Una Merkel,1903,1986,"actress,miscellaneous,soundtrack","tt0055277,tt0024034,tt0055489,tt0022111",37
tt0032377,2.0,nm0656745,Robert Paige,"tt0036376,tt0030234,tt0031324,tt0029223",30,1.0,nm0531738,movie,Dancing on a Dime,0.0,\N,74,Dancing on a Dime,1940,"Comedy,Drama,Music",Grace McDonald,1918,1999,"actress,soundtrack","tt0035548,tt0034500,tt0037100,tt0034797",22
tt0032412,1.0,nm0215260,Albert Dekker,"tt0065214,tt0048261,tt0032412,tt0039416",35,3.0,nm0517578,movie,Dr. Cyclops,0.0,\N,77,Dr. Cyclops,1940,"Adventure,Drama,Horror",Janice Logan,1915,1965,actress,"tt0032412,tt0032876,tt0221249,tt0032077",25
tt0032440,1.0,nm0378026,William Henry,"tt0025878,tt0032009,tt0032890,tt0038644",26,2.0,nm0132682,movie,Emergency Squad,0.0,\N,58.0,Emergency Squad,1940,Drama,Louise Campbell,1911,1997,"actress,archive_footage","tt0029952,tt0033429,tt0028667,tt0028670",29
tt0032456,2.0,nm0749476,Charles Ruggles,"tt0055277,tt0024359,tt0039502,tt0026955",54,1.0,nm0713106,movie,The Farmer's Daughter,0.0,\N,60.0,The Farmer's Daughter,1940,"Comedy,Music,Romance",Martha Raye,1916,1994,"actress,writer,soundtrack","tt0055797,tt0088693,tt0066685,tt0028806",24
tt0032520,1.0,nm0001362,Bob Hope,"tt0032520,tt0031143,tt0039645,tt0045094",37,2.0,nm0002104,movie,The Ghost Breakers,0.0,\N,85,The Ghost Breakers,1940,Comedy,Paulette Goddard,1910,1990,"actress,producer,soundtrack","tt0032520,tt0027977,tt0033722,tt0037849",30
tt0032554,1.0,nm0002046,Brian Donlevy,"tt0031088,tt0041503,tt0034798,tt0050873",39,2.0,nm0029746,movie,The Great McGinty,0.0,\N,82,The Great McGinty,1940,Comedy,Muriel Angelus,1909,2004,actress,"tt0031572,tt0022811,tt0021961,tt0019326",31
tt0032592,1.0,nm0101955,William Boyd,"tt0024018,tt0027415,tt0040787,tt0022243",45,4.0,nm0737173,movie,Hidden Gold,0.0,\N,60.0,Hidden Gold,1940,Western,Ruth Rogers,1918,1953,actress,"tt0032706,tt0031925,tt0032843,tt0031722",22
