tconst,primaryTitle,startYear,genres
tt0032440,Emergency Squad,1940,Drama
tt0033020,Santa Fe Marshal,1940,Western
tt0032890,Parole Fixer,1940,"Action,Crime,Drama"
tt0032674,Knights of the Range,1940,"Action,Music,Romance"
tt0033039,Seventeen,1940,"Comedy,Drama"
tt0032183,Adventure in Diamonds,1940,"Crime,Drama"
tt0033047,The Showdown,1940,"Drama,Western"
tt0033272,Women Without Names,1940,"Crime,Drama,Romance"
tt0032993,Road to Singapore,1940,"Comedy,Musical,Romance"
tt0032456,The Farmer's Daughter,1940,"Comedy,Music,Romance"
tt0032412,Dr. Cyclops,1940,"Adventure,Drama,Horror"
tt0032706,The Light of Western Stars,1940,"Drama,Western"
tt0031341,French Without Tears,1940,Comedy
tt0032876,Opened by Mistake,1940,"Comedy,Crime,Mystery"
tt0033196,Typhoon,1940,"Adventure,Romance"
tt0032254,The Biscuit Eater,1940,"Drama,Family"
tt0032289,Buck Benny Rides Again,1940,"Adventure,Comedy,Music"
tt0032592,Hidden Gold,1940,Western
tt0033009,Safari,1940,"Adventure,Drama,Romance"
tt0032520,The Ghost Breakers,1940,Comedy
tt0032958,Queen of the Mob,1940,"Crime,Drama"
tt0033244,The Way of All Flesh,1940,"Crime,Drama,Romance"
tt0033099,Stagecoach War,1940,"Drama,Western"
tt0033155,Those Were the Days!,1940,"Comedy,Romance"
tt0033208,Untamed,1940,"Adventure,Drama,Romance"
tt0031378,Golden Gloves,1940,"Crime,Drama,Sport"
tt0032834,Mystery Sea Raider,1940,"Drama,War"
tt0032347,Comin' Round the Mountain,1940,"Comedy,Music,Romance"
tt0032554,The Great McGinty,1940,Comedy
tt0032986,Rhythm on the River,1940,"Comedy,Musical"
tt0032619,I Want a Divorce,1940,"Comedy,Drama"
tt0032973,Rangers of Fortune,1940,Western
tt0032330,Cherokee Strip,1940,Western
tt0032957,The Quarterback,1940,Comedy
tt0032850,North West Mounted Police,1940,"Drama,Romance,Western"
tt0032338,Christmas in July,1940,"Comedy,Drama,Romance"
tt0032377,Dancing on a Dime,1940,"Comedy,Drama,Music"
tt0032220,"Arise, My Love",1940,"Comedy,Drama,Romance"
tt0033160,Three Men from Texas,1940,Western
tt0033029,Second Chorus,1940,"Comedy,Musical,Romance"
tt0032843,A Night at Earl Carroll's,1940,"Comedy,Crime,Musical"
tt0032809,Moon Over Burma,1940,"Adventure,Romance"
tt0033140,Texas Rangers Ride Again,1940,"Drama,Western"
tt0033220,Victory,1940,"Adventure,Drama"
tt0032730,Love Thy Neighbor,1940,"Comedy,Musical"
tt0033546,Doomed Caravan,1941,"Drama,Western"
tt0033834,Life with Henry,1940,"Comedy,Family,Romance"
tt0034364,Virginia,1941,"Drama,Romance"
tt0787239,Virginia,1949,\N
tt0033861,The Mad Doctor,1940,"Crime,Film-Noir,Romance"
tt0034412,You're the One,1941,"Comedy,Music,Romance"
tt0033916,The Monster and the Girl,1941,"Crime,Drama,Horror"
tt0033753,In Old Colorado,1941,"Drama,Western"
tt0033804,The Lady Eve,1941,"Comedy,Romance"
tt0033741,I Wanted Wings,1941,"Drama,War"
tt0033814,Las Vegas Nights,1941,Comedy
tt0034133,The Round Up,1941,Western
tt0034116,Road to Zanzibar,1941,"Adventure,Comedy,Musical"
tt0033425,Border Vigilantes,1941,Western
tt0034086,Reaching for the Sun,1941,"Drama,Romance"
tt0034030,Pirates on Horseback,1941,Western
tt0034056,Power Dive,1941,"Adventure,Drama"
tt0034275,The Hard-Boiled Canary,1941,"Comedy,Music,Romance"
tt0033981,One Night in Lisbon,1941,Comedy
tt0034381,West Point Widow,1941,"Comedy,Romance"
tt0033455,Caught in the Draft,1941,Comedy
tt0033620,Forced Landing,1941,Adventure
tt0034182,The Shepherd of the Hills,1941,"Adventure,Drama,Romance"
tt0034004,The Parson of Panamint,1941,"Adventure,Romance,Western"
tt0033791,Kiss the Boys Goodbye,1941,Comedy
tt0034391,Wide Open Town,1941,Western
tt0034402,World Premiere,1941,Comedy
