Date,Title
"January 5, 1940",Emergency Squad
"January 19, 1940",Remember the Night
"January 26, 1940",Santa Fe Marshal
"February 2, 1940",Parole Fixer
"February 23, 1940",Knights of the Range
"March 1, 1940",Seventeen
"March 8, 1940",Adventure in Diamonds
"March 8, 1940",The Showdown
"March 15, 1940",Women Without Names
"March 22, 1940",Road to Singapore
"March 29, 1940",The Farmer's Daughter
"April 12, 1940",Dr. Cyclops
"April 17, 1940",The Light of Western Stars
"April 28, 1940",French Without Tears
"May 10, 1940",Opened by Mistake
"May 17, 1940",Typhoon
"May 24, 1940",The Biscuit Eater
"May 31, 1940",Buck Benny Rides Again
"June 7, 1940",Hidden Gold
"June 14, 1940",Safari
"June 21, 1940",The Ghost Breakers
"June 28, 1940",Queen of the Mob
"July 5, 1940",The Way of All Flesh
"July 12, 1940",Stagecoach War
"July 14, 1940",Those Were the Days!
"July 24, 1940",Untamed
"August 2, 1940",Golden Gloves
"August 9, 1940",Mystery Sea Raider
"August 16, 1940",Comin' Round the Mountain
"August 23, 1940",The Great McGinty
"September 6, 1940",Rhythm on the River
"September 20, 1940",I Want a Divorce
"September 27, 1940",Rangers of Fortune
"October 11, 1940",Cherokee Strip
"October 16, 1940",The Quarterback
"October 22, 1940",North West Mounted Police
"October 25, 1940",Christmas in July
"November 1, 1940",Dancing on a Dime
"November 8, 1940","Arise, My Love"
"November 15, 1940",Three Men from Texas
"December 3, 1940",Second Chorus
"December 6, 1940",A Night at Earl Carroll's
"December 11, 1940",Moon Over Burma
"December 13, 1940",Texas Rangers Ride Again
"December 21, 1940",Victory
"December 27, 1940",Love Thy Neighbor
"January 10, 1941",Doomed Caravan
"January 24, 1941",Life with Henry
"January 28, 1941",Virginia
"February 14, 1941",The Mad Doctor
"February 19, 1941",You're the One
"February 28, 1941",The Monster and the Girl
"March 14, 1941",In Old Colorado
"March 21, 1941",The Lady Eve
"March 26, 1941",I Wanted Wings
"March 28, 1941",Las Vegas Nights
"April 4, 1941",The Round Up
"April 11, 1941",Road to Zanzibar
"April 18, 1941",Border Vigilantes
"May 2, 1941",Reaching for the Sun
"May 23, 1941",Pirates on Horseback
"June 4, 1941",Power Dive
"June 8, 1941",The Hard-Boiled Canary
"June 13, 1941",One Night in Lisbon
"June 20, 1941",West Point Widow
"July 4, 1941",Caught in the Draft
"July 11, 1941",Forced Landing
"July 18, 1941",The Shepherd of the Hills
"July 25, 1941",The Parson of Panamint
"August 1, 1941",Kiss the Boys Goodbye
"August 8, 1941",Wide Open Town
"August 21, 1941",World Premiere
"August 27, 1941",Aloma of the South Seas
"August 29, 1941",Flying Blind
"September 17, 1941",Riders of the Timberline
"September 17, 1941",Stick to Your Guns
"September 26, 1941",Hold Back the Dawn
"September 29, 1941",Twilight on the Trail
"October 3, 1941",Buy Me That Town
"October 10, 1941",Nothing but the Truth
"October 24, 1941",Henry Aldrich for President
"October 31, 1941",New York Town
"November 1, 1941",Outlaws of the Desert
"November 7, 1941",Birth of the Blues
"November 15, 1941",Secret of the Wastelands
"November 21, 1941",Skylark
"November 28, 1941",The Night of January 16th
"December 1, 1941",No Hands on the Clock
"December 5, 1941",Glamour Boy
"December 5, 1941",Mr. Bug Goes to Town
"December 10, 1941",Bahama Passage
"December 19, 1941",Among the Living
"December 31, 1941",Louisiana Purchase
"December 31, 1941",Pacific Blackout
"January 19, 1942",Fly-by-Night
"January 24, 1942",The Fleet's In
"January 24, 1942",The Lady Has Plans
"January 24, 1942",Torpedo Boat
"February 6, 1942",Sullivan's Travels
"March 5, 1942",The Remarkable Andrew
"March 21, 1942",True to the Army
"March 26, 1942",Reap the Wild Wind
"April 2, 1942",My Favorite Blonde
"April 24, 1942",This Gun for Hire
"April 29, 1942",The Great Man's Lady
"May 6, 1942","Take a Letter, Darling"
