Date,Title
"January 5, 1940",Legion of the Lawless
"January 12, 1940",Mexican Spitfire
"January 19, 1940",Married and in Love
"January 26, 1940",The Saint's Double Trouble
"February 9, 1940",Vigil in the Night
"February 16, 1940",Swiss Family Robinson
"February 23, 1940",Pinocchio
"March 1, 1940",Little Orvie
"March 7, 1940",The Marines Fly High
"March 8, 1940",Isle of Destiny
"March 15, 1940",Millionaire Playboy
"March 22, 1940",Primrose Path
"April 5, 1940",The Courageous Dr. Christian
"April 12, 1940",Bullet Code
"April 19, 1940",Abe Lincoln in Illinois
"April 26, 1940",Curtain Call
"May 3, 1940",Irene
"May 10, 1940",Beyond Tomorrow
"May 17, 1940",My Favorite Wife
"May 21, 1940",You Can't Fool Your Wife
"May 31, 1940",A Bill of Divorcement
"June 7, 1940",The Saint Takes Over
"June 14, 1940",Prairie Law
"June 21, 1940",Pop Always Pays
"June 28, 1940",Anne of Windy Poplars
"July 5, 1940",Dr. Christian Meets the Women
"July 12, 1940",Cross-Country Romance
"July 12, 1940",Millionaires in Prison
"July 19, 1940",Tom Brown's School Days
"July 26, 1940",Stage to Chino
"August 2, 1940",Queen of Destiny
"August 2, 1940",Lucky Partners
"August 9, 1940",One Crowded Night
"August 16, 1940",Stranger on the Third Floor
"August 16, 1940",The Ramparts We Watch
"August 23, 1940",Wildcat Bus
"August 30, 1940","Dance, Girl, Dance"
"September 6, 1940",Men Against the Sky
"September 13, 1940",Dreaming Out Loud
"September 20, 1940",I'm Still Alive
"September 20, 1940",Triple Justice
"October 4, 1940",Wagon Train
"October 8, 1940",Too Many Girls
"October 11, 1940*",The Villain Still Pursued Her
"October 18, 1940",Laddie
"October 25, 1940",They Knew What They Wanted
"November 1, 1940",Li'l Abner
"November 13, 1940",Fantasia
"November 22, 1940",You'll Find Out
"November 29, 1940",Remedy for Riches
"November 29, 1940",Mexican Spitfire Out West
"December 6, 1940",The Fargo Kid
"December 7, 1940",Little Men
"December 13, 1940","No, No, Nanette"
"December 27, 1940",Kitty Foyle
"January 3, 1941*",Convoy
"January 17, 1941",Let's Make Music
"January 24, 1941",The Saint in Palm Springs
"January 31, 1941",Mr. & Mrs. Smith
"February 7, 1941",Along the Rio Grande
"February 21, 1941",Scattergood Baines
"February 22, 1941*",It Happened to One Man
"March 7, 1941*",Play Girl
"March 14, 1941","A Girl, a Guy and a Gob"
"March 21, 1941",Footlight Fever
"March 28, 1941",Melody for Three
"April 4, 1941",Repent at Leisure
"April 11, 1941",The Devil and Miss Jones
"April 18, 1941",Robbers of the Range
"April 25, 1941",They Met in Argentina
"May 1, 1941",Citizen Kane
"May 9, 1941",The Saint's Vacation
