tconst,ordering_M,nconst_M,primaryName_M,knownForTitles_M,age_M,ordering_F,nconst_F,primaryTitle,startYear,genres,primaryName_F,birthYear,deathYear,primaryProfession,knownForTitles_F,age_F
tt0029284,2.0,nm0000026,Cary Grant,"tt0053125,tt0056923,tt0034248,tt0053143",36,1.0,nm0002050,My Favorite Wife,1940,"Comedy,Romance",Irene Dunne,1898,1990,"actress,soundtrack,archive_footage","tt0028597,tt0031593,tt0040458,tt0029284",42
tt0032181,1.0,nm0557339,Raymond Massey,"tt0036613,tt0048028,tt0032181,tt0028358",44,3.0,nm0002106,Abe Lincoln in Illinois,1940,"Biography,Drama,History",Ruth Gordon,1896,1985,"actress,writer,soundtrack","tt0063522,tt0077523,tt0067185,tt0059314",44
tt0032211,2.0,nm0255199,James Ellison,"tt0036027,tt0035489,tt0028377,tt0027725",30,1.0,nm0794297,Anne of Windy Poplars,1940,"Drama,Romance",Anne Shirley,1918,1993,"actress,soundtrack,archive_footage","tt0037101,tt0033532,tt0029608,tt0021074",22
tt0032247,1.0,nm0002503,Harry Carey,"tt0031679,tt0040724,tt0022495,tt0032247",62,5.0,nm0653642,Beyond Tomorrow,1940,"Drama,Fantasy,Romance",Maria Ouspenskaya,1876,1949,"actress,soundtrack,archive_footage","tt0034398,tt0028739,tt0027532,tt0031593",64
tt0032252,2.0,nm0579663,Adolphe Menjou,"tt0050825,tt0021890,tt0029606,tt0016935",50,1.0,nm0000058,A Bill of Divorcement,1940,Drama,Maureen O'Hara,1920,2015,"actress,soundtrack,archive_footage","tt0045061,tt0039628,tt0055277,tt0033729",20
tt0032292,1.0,nm0639563,George O'Brien,"tt0018455,tt0040369,tt0031630,tt0027384",41,2.0,nm0883922,Bullet Code,1940,Western,Virginia Vale,1920,2006,"actress,soundtrack,archive_footage","tt0033399,tt0033185,tt0034550,tt0032292",20
tt0032359,1.0,nm0111612,Clive Brook,"tt0023876,tt0037149,tt0023460,tt0027904",53,4.0,nm0132607,Convoy,1940,"Drama,War",Judy Campbell,1916,2004,"actress,writer,archive_footage","tt0497612,tt0033108,tt0033016,tt0040005",24
tt0032361,1.0,nm0380965,Jean Hersholt,"tt0015881,tt0018451,tt0028988,tt0023194",54,2.0,nm0522662,The Courageous Dr. Christian,1940,Drama,Dorothy Lovett,1915,1998,"actress,soundtrack","tt0032980,tt0034279,tt0032411,tt0031635",25
tt0032369,1.0,nm0713270,Gene Raymond,"tt0028270,tt0033922,tt0040590,tt0027913",32,2.0,nm0057412,Cross-Country Romance,1940,"Comedy,Romance",Wendy Barrie,1912,1978,"actress,soundtrack,archive_footage","tt0033650,tt0031890,tt0033517,tt0033013",28
tt0032373,2.0,nm0610253,Alan Mowbray,"tt0038762,tt0033740,tt0028010,tt0049408",44,1.0,nm0713799,Curtain Call,1940,"Comedy,Romance",Barbara Read,1917,1963,actress,"tt0029192,tt0028373,tt0031961,tt0039422",23
