tconst,ordering,nconst,primaryTitle,startYear,genres,primaryName,birthYear,deathYear,primaryProfession,knownForTitles,age
tt0029284,1.0,nm0002050,My Favorite Wife,1940,"Comedy,Romance",Irene Dunne,1898,1990,"actress,soundtrack,archive_footage","tt0028597,tt0031593,tt0040458,tt0029284",42
tt0032181,3.0,nm0002106,Abe Lincoln in Illinois,1940,"Biography,Drama,History",Ruth Gordon,1896,1985,"actress,writer,soundtrack","tt0063522,tt0077523,tt0067185,tt0059314",44
tt0032211,1.0,nm0794297,Anne of Windy Poplars,1940,"Drama,Romance",Anne Shirley,1918,1993,"actress,soundtrack,archive_footage","tt0037101,tt0033532,tt0029608,tt0021074",22
tt0032247,5.0,nm0653642,Beyond Tomorrow,1940,"Drama,Fantasy,Romance",Maria Ouspenskaya,1876,1949,"actress,soundtrack,archive_footage","tt0034398,tt0028739,tt0027532,tt0031593",64
tt0032252,1.0,nm0000058,A Bill of Divorcement,1940,Drama,Maureen O'Hara,1920,2015,"actress,soundtrack,archive_footage","tt0045061,tt0039628,tt0055277,tt0033729",20
tt0032292,2.0,nm0883922,Bullet Code,1940,Western,Virginia Vale,1920,2006,"actress,soundtrack,archive_footage","tt0033399,tt0033185,tt0034550,tt0032292",20
tt0032359,4.0,nm0132607,Convoy,1940,"Drama,War",Judy Campbell,1916,2004,"actress,writer,archive_footage","tt0497612,tt0033108,tt0033016,tt0040005",24
tt0032361,2.0,nm0522662,The Courageous Dr. Christian,1940,Drama,Dorothy Lovett,1915,1998,"actress,soundtrack","tt0032980,tt0034279,tt0032411,tt0031635",25
tt0032369,2.0,nm0057412,Cross-Country Romance,1940,"Comedy,Romance",Wendy Barrie,1912,1978,"actress,soundtrack,archive_footage","tt0033650,tt0031890,tt0033517,tt0033013",28
tt0032373,1.0,nm0713799,Curtain Call,1940,"Comedy,Romance",Barbara Read,1917,1963,actress,"tt0029192,tt0028373,tt0031961,tt0039422",23
tt0032376,1.0,nm0000058,"Dance, Girl, Dance",1940,"Comedy,Drama,Music",Maureen O'Hara,1920,2015,"actress,soundtrack,archive_footage","tt0045061,tt0039628,tt0055277,tt0033729",20
tt0032411,2.0,nm0522662,Dr. Christian Meets the Women,1940,"Drama,Romance",Dorothy Lovett,1915,1998,"actress,soundtrack","tt0032980,tt0034279,tt0032411,tt0031635",25
