tconst,primaryTitle,startYear,genres
tt0032696,Legion of the Lawless,1940,Western
tt0032764,Married and in Love,1940,"Drama,Romance"
tt0033014,The Saint's Double Trouble,1940,"Action,Crime,Drama"
tt0033221,Vigil in the Night,1940,"Drama,Romance"
tt0033124,Swiss Family Robinson,1940,"Adventure,Family"
tt0032910,Pinocchio,1940,"Adventure,Animation,Comedy"
tt0032720,Little Orvie,1940,"Comedy,Drama"
tt0032761,The Marines Fly High,1940,"Action,Adventure,Drama"
tt0032642,Isle of Destiny,1940,"Action,Adventure,Drama"
tt0032795,Millionaire Playboy,1940,"Comedy,Romance"
tt0032946,Primrose Path,1940,"Drama,Mystery,Romance"
tt0032361,The Courageous Dr. Christian,1940,Drama
tt0032292,Bullet Code,1940,Western
tt0032181,Abe Lincoln in Illinois,1940,"Biography,Drama,History"
tt0032373,Curtain Call,1940,"Comedy,Romance"
tt0032638,Irene,1940,"Comedy,Musical,Mystery"
tt0032247,Beyond Tomorrow,1940,"Drama,Fantasy,Romance"
tt0029284,My Favorite Wife,1940,"Comedy,Romance"
tt0033279,You Can't Fool Your Wife,1940,"Comedy,Romance"
tt0032252,A Bill of Divorcement,1940,Drama
tt0033013,The Saint Takes Over,1940,"Crime,Mystery"
tt0032939,Prairie Law,1940,Western
tt0032925,Pop Always Pays,1940,Comedy
tt0032211,Anne of Windy Poplars,1940,"Drama,Romance"
tt0032411,Dr. Christian Meets the Women,1940,"Drama,Romance"
tt0032369,Cross-Country Romance,1940,"Comedy,Romance"
tt0032796,Millionaires in Prison,1940,"Crime,Drama"
tt0033169,Tom Brown's School Days,1940,Drama
tt0033098,Stage to Chino,1940,Western
tt0032733,Lucky Partners,1940,"Comedy,Drama,Romance"
tt0032869,One Crowded Night,1940,Drama
tt0033107,Stranger on the Third Floor,1940,"Crime,Drama,Film-Noir"
tt0032968,The Ramparts We Watch,1940,Drama
tt0033265,Wildcat Bus,1940,"Action,Crime,Drama"
tt0032376,"Dance, Girl, Dance",1940,"Comedy,Drama,Music"
tt0032781,Men Against the Sky,1940,"Action,Adventure,Drama"
tt0032417,Dreaming Out Loud,1940,Comedy
tt0032622,I'm Still Alive,1940,"Action,Adventure,Drama"
tt0033185,Triple Justice,1940,"Romance,Western"
tt0033234,Wagon Train,1940,"Drama,Western"
tt0033173,Too Many Girls,1940,"Comedy,Music,Sport"
tt0033224,The Villain Still Pursued Her,1940,Comedy
tt0032683,Laddie,1940,Drama
tt0033150,They Knew What They Wanted,1940,"Drama,Romance"
tt0032703,Li'l Abner,1940,"Comedy,Romance"
tt0032455,Fantasia,1940,"Animation,Family,Fantasy"
tt0033283,You'll Find Out,1940,"Comedy,Crime,Horror"
tt0032980,Remedy for Riches,1940,"Comedy,Romance"
tt0032786,Mexican Spitfire Out West,1940,Comedy
