tconst,ordering_M,nconst_M,primaryName_M,knownForTitles_M,age_M,ordering_F,nconst_F,titleType_x,originalTitle_x,isAdult_x,endYear_x,runtimeMinutes_x,titleType_y,primaryTitle,originalTitle_y,isAdult_y,startYear,endYear_y,runtimeMinutes_y,genres,primaryName_F,birthYear,deathYear,primaryProfession,knownForTitles_F,age_F,age_gap
tt0029284,2.0,nm0000026,Cary Grant,"tt0053125,tt0056923,tt0034248,tt0053143",36,1.0,nm0002050,movie,My Favorite Wife,0.0,\N,88,movie,My Favorite Wife,My Favorite Wife,0,1940,\N,88,"Comedy,Romance",Irene Dunne,1898,1990,"actress,soundtrack,archive_footage","tt0028597,tt0031593,tt0040458,tt0029284",42,-6
tt0030827,1.0,nm0701633,Antal Páger,"tt0057127,tt0057394,tt0029890,tt0035598",42,2.0,nm0814914,movie,Szüts Mara házassága,0.0,\N,91,movie,Szüts Mara házassága,Szüts Mara házassága,0,1941,\N,91,Romance,Éva Szörényi,1917,2009,"actress,archive_footage","tt0130820,tt0030511,tt0891574,tt0033126",24,18
tt0031174,1.0,nm0528908,Ben Lyon,"tt0020960,tt0016667,tt0024151,tt0025395",39,2.0,nm0062746,movie,Confidential Lady,0.0,\N,74,movie,Confidential Lady,Confidential Lady,0,1940,\N,74,"Comedy,Drama,Romance",Jane Baxter,1909,1996,actress,"tt0026294,tt0024900,tt0024998,tt0989125",31,8
tt0031191,1.0,nm0392442,Jack Holt,"tt0034587,tt0028216,tt0024895,tt0019831",52,6.0,nm0912115,movie,Outside the Three-Mile Limit,0.0,\N,64,movie,Outside the Three-Mile Limit,Outside the Three-Mile Limit,0,1940,\N,64,"Crime,Drama,Romance",Irene Ware,1910,1993,"actress,archive_footage","tt0022753,tt0026333,tt0027613,tt0025608",30,22
tt0031466,1.0,nm0000075,Spencer Tracy,"tt0055031,tt0061735,tt0053946,tt0047849",40,2.0,nm0001443,movie,I Take This Woman,0.0,\N,98,movie,I Take This Woman,I Take This Woman,0,1940,\N,98,"Drama,Mystery,Romance",Hedy Lamarr,1914,2000,"actress,producer,miscellaneous","tt0041838,tt0038990,tt0037769,tt0035460",26,14
tt0031741,1.0,nm0812937,Fernando Soler,"tt0219069,tt0031780,tt0041423,tt0225396",44,3.0,nm0356420,movie,Odio,0.0,\N,75,movie,Harvest of Hate,Odio,0,1940,\N,75,"Drama,Romance",Magda Haller,1915,1981,"actress,archive_footage","tt0025062,tt0031741,tt0027950,tt0223060",25,19
tt0031818,1.0,nm0699522,Albert Préjean,"tt0021409,tt0021818,tt0036736,tt0191230",46,2.0,nm0501532,movie,Pour le maillot jaune,0.0,\N,91,movie,Pour le maillot jaune,Pour le maillot jaune,0,1940,\N,91,"Romance,Sport",Meg Lemonnier,1905,1988,"actress,soundtrack,archive_footage","tt0151034,tt0132521,tt0159073,tt0185642",35,11
tt0031866,1.0,nm0106387,Rossano Brazzi,"tt0046754,tt0052225,tt0064505,tt0047580",24,2.0,nm0362863,movie,Ritorno,0.0,\N,70,movie,Musica di sogno,Ritorno,0,1940,\N,70,Romance,Marte Harell,1907,1996,"actress,soundtrack,archive_footage","tt0037705,tt0042438,tt0035900,tt0031763",33,-9
tt0032119,2.0,nm0392436,Hans Holt,"tt0035540,tt0040612,tt0049876,tt0386251",31,1.0,nm0775596,movie,Weißer Flieder,0.0,\N,92,movie,Weißer Flieder,Weißer Flieder,0,1940,\N,92,"Comedy,Romance",Hannelore Schroth,1922,1987,"actress,archive_footage","tt0049293,tt0067047,tt0311214,tt0070463",18,13
tt0032161,5.0,nm0910154,Wladyslaw Walter,"tt0794314,tt0949549,tt0907718,tt0975722",53,1.0,nm0944123,movie,Zlota maska,0.0,\N,77,movie,Zlota maska,Zlota maska,0,1940,\N,77,"Drama,Romance",Lidia Wysocka,1916,2006,"actress,soundtrack,archive_footage","tt0029088,tt0032161,tt0028085,tt0281879",24,29
tt0032163,3.0,nm0759750,Boguslaw Samborski,"tt0023972,tt0368074,tt0158245,tt0022601",44,1.0,nm0936651,movie,Zona i nie zona,0.0,\N,61,movie,The (Im)Perfect Wife,Zona i nie zona,0,1941,\N,61,"Drama,Romance",Tamara Wiszniewska,1919,1981,actress,"tt0285537,tt0032163,tt0031096,tt0028274",22,22
tt0032179,2.0,nm0052203,Leslie Banks,"tt0023238,tt0025452,tt0032571,tt0031505",50,1.0,nm0000046,movie,21 Days,0.0,\N,72,movie,21 Days Together,21 Days,0,1940,\N,72,"Crime,Drama,Romance",Vivien Leigh,1913,1967,"actress,writer,soundtrack","tt0044081,tt0031381,tt0033238,tt0034272",27,23
tt0032194,2.0,nm0000964,Charles Boyer,"tt0036855,tt0028739,tt0033722,tt0029855",41,1.0,nm0000012,movie,"All This, and Heaven Too",0.0,\N,141,movie,"All This, and Heaven Too","All This, and Heaven Too",0,1940,\N,141,"Drama,Romance",Bette Davis,1908,1989,"actress,make_up_department,producer","tt0042192,tt0056687,tt0031210,tt0035140",32,9
tt0032198,2.0,nm0001660,George Reeves,"tt0044231,tt0031381,tt0044091,tt0041096",26,1.0,nm0485537,movie,Always a Bride,0.0,\N,58,movie,Always a Bride,Always a Bride,0,1940,\N,58,"Comedy,Romance",Rosemary Lane,1913,1974,"actress,soundtrack","tt0032198,tt0035625,tt0035972,tt0030149",27,-1
tt0032200,2.0,nm0329746,Claudio Gora,"tt0045759,tt0053039,tt0056512,tt0049057",27,1.0,nm0147526,movie,"Amami, Alfredo!",0.0,\N,92,movie,"Amami, Alfredo!","Amami, Alfredo!",0,1940,\N,92,"Drama,Romance",Maria Cebotari,1910,1949,"actress,archive_footage","tt0031949,tt0032200,tt0035038,tt0026415",30,-3
tt0032205,1.0,nm0191950,Robert Cummings,"tt0046912,tt0035279,tt0047752,tt0039583",30,2.0,nm0206478,movie,And One Was Beautiful,0.0,\N,70,movie,And One Was Beautiful,And One Was Beautiful,0,1940,\N,70,"Drama,Romance",Laraine Day,1920,2007,"actress,soundtrack,archive_footage","tt0032484,tt0038700,tt0038164,tt0042049",20,10
tt0032206,1.0,nm0832011,Lewis Stone,"tt0023194,tt0022386,tt0022958,tt0034618",61,3.0,nm0662118,movie,Andy Hardy Meets Debutante,0.0,\N,88,movie,Andy Hardy Meets Debutante,Andy Hardy Meets Debutante,0,1940,\N,88,"Comedy,Family,Romance",Cecilia Parker,1914,1993,"actress,archive_footage","tt0026046,tt0034618,tt0034458,tt0025420",26,35
tt0032207,1.0,nm0000734,Eddie Albert,"tt0046250,tt0058808,tt0068687,tt0056197",32,2.0,nm0485537,movie,An Angel from Texas,0.0,\N,69,movie,An Angel from Texas,An Angel from Texas,0,1940,\N,69,"Comedy,Romance",Rosemary Lane,1913,1974,"actress,soundtrack","tt0032198,tt0035625,tt0035972,tt0030149",27,5
tt0032211,2.0,nm0255199,James Ellison,"tt0036027,tt0035489,tt0028377,tt0027725",30,1.0,nm0794297,movie,Anne of Windy Poplars,0.0,\N,86,movie,Anne of Windy Poplars,Anne of Windy Poplars,0,1940,\N,86,"Drama,Romance",Anne Shirley,1918,1993,"actress,soundtrack,archive_footage","tt0037101,tt0033532,tt0029608,tt0021074",22,8
tt0032219,2.0,nm0347271,Celso Guimarães,"tt0186831,tt0032219,tt0190389,tt0182297",33,1.0,nm0764009,movie,Argila,0.0,\N,103,movie,Argila,Argila,0,1940,\N,103,"Drama,Romance",Carmen Santos,1904,1952,"producer,actress,director","tt0122236,tt0187167,tt0122020,tt0122063",36,-3
tt0032220,2.0,nm0001537,Ray Milland,"tt0037884,tt0046912,tt0066011,tt0037415",33,1.0,nm0001055,movie,"Arise, My Love",0.0,\N,110,movie,"Arise, My Love","Arise, My Love",0,1940,\N,110,"Comedy,Drama,Romance",Claudette Colbert,1903,1996,"actress,soundtrack,archive_footage","tt0025316,tt0036367,tt0029929,tt0037280",37,-4
tt0032230,3.0,nm0872256,Karel Tresnák,"tt0343900,tt0032230,tt1445800,tt0151370",44,1.0,nm0117504,movie,Babichka,0.0,\N,90,movie,Babichka,Babichka,0,1940,\N,90,"Drama,Romance",Terezie Brzková,1875,1966,actress,"tt0032230,tt0168486,tt0171760,tt0170657",65,-21
tt0032233,2.0,nm0367111,Paul Hartmann,"tt0056197,tt0032255,tt0022869,tt0024703",51,1.0,nm0921411,movie,Bal paré,0.0,\N,100,movie,Bal paré,Bal paré,0,1940,\N,100,"Comedy,Music,Romance",Ilse Werner,1921,2005,"actress,soundtrack,archive_footage","tt0457400,tt0164600,tt0101994,tt0036191",19,32
tt0032247,1.0,nm0002503,Harry Carey,"tt0031679,tt0040724,tt0022495,tt0032247",62,5.0,nm0653642,movie,Beyond Tomorrow,0.0,\N,84,movie,Beyond Tomorrow,Beyond Tomorrow,0,1940,\N,84,"Drama,Fantasy,Romance",Maria Ouspenskaya,1876,1949,"actress,soundtrack,archive_footage","tt0034398,tt0028739,tt0027532,tt0031593",64,-2
tt0032256,2.0,nm0248904,Nelson Eddy,"tt0031565,tt0036261,tt0026768,tt0031074",39,1.0,nm0531776,movie,Bitter Sweet,0.0,\N,94,movie,Bitter Sweet,Bitter Sweet,0,1940,\N,94,"Drama,Musical,Romance",Jeanette MacDonald,1903,1965,"actress,soundtrack,archive_footage","tt0034565,tt0031121,tt0028216,tt0025493",37,2
tt0032273,1.0,nm0000022,Clark Gable,"tt0025316,tt0031381,tt0026752,tt0023382",39,3.0,nm0001055,movie,Boom Town,0.0,\N,119,movie,Boom Town,Boom Town,0,1940,\N,119,"Drama,Romance,Western",Claudette Colbert,1903,1996,"actress,soundtrack,archive_footage","tt0025316,tt0036367,tt0029929,tt0037280",37,2
tt0032297,1.0,nm0864869,George Tobias,"tt0034167,tt0036430,tt0050972,tt0037166",39,2.0,nm0265478,movie,Calling All Husbands,0.0,\N,63,movie,Calling All Husbands,Calling All Husbands,0,1940,\N,63,"Comedy,Romance",Lucile Fairbanks,1917,1999,"actress,soundtrack,archive_footage","tt0032499,tt0032297,tt0034236,tt0034948",23,16
tt0032304,1.0,nm0001514,Victor Mature,"tt0046247,tt0039536,tt0038762,tt0035103",27,2.0,nm0686883,movie,Captain Caution,0.0,\N,86,movie,Captain Caution,Captain Caution,0,1940,\N,86,"Action,Adventure,Romance",Louise Platt,1915,2003,"actress,soundtrack,archive_footage","tt0031971,tt0032304,tt0032010,tt0032485",25,2
