tconst,ordering,nconst,titleType_x,originalTitle_x,isAdult_x,endYear_x,runtimeMinutes_x,titleType_y,primaryTitle,originalTitle_y,isAdult_y,startYear,endYear_y,runtimeMinutes_y,genres,primaryName,birthYear,deathYear,primaryProfession,knownForTitles,age
tt0029284,1.0,nm0002050,movie,My Favorite Wife,0.0,\N,88,movie,My Favorite Wife,My Favorite Wife,0,1940,\N,88,"Comedy,Romance",Irene Dunne,1898,1990,"actress,soundtrack,archive_footage","tt0028597,tt0031593,tt0040458,tt0029284",42
tt0030827,2.0,nm0814914,movie,Szüts Mara házassága,0.0,\N,91,movie,Szüts Mara házassága,Szüts Mara házassága,0,1941,\N,91,Romance,Éva Szörényi,1917,2009,"actress,archive_footage","tt0130820,tt0030511,tt0891574,tt0033126",24
tt0031174,2.0,nm0062746,movie,Confidential Lady,0.0,\N,74,movie,Confidential Lady,Confidential Lady,0,1940,\N,74,"Comedy,Drama,Romance",Jane Baxter,1909,1996,actress,"tt0026294,tt0024900,tt0024998,tt0989125",31
tt0031191,6.0,nm0912115,movie,Outside the Three-Mile Limit,0.0,\N,64,movie,Outside the Three-Mile Limit,Outside the Three-Mile Limit,0,1940,\N,64,"Crime,Drama,Romance",Irene Ware,1910,1993,"actress,archive_footage","tt0022753,tt0026333,tt0027613,tt0025608",30
tt0031466,2.0,nm0001443,movie,I Take This Woman,0.0,\N,98,movie,I Take This Woman,I Take This Woman,0,1940,\N,98,"Drama,Mystery,Romance",Hedy Lamarr,1914,2000,"actress,producer,miscellaneous","tt0041838,tt0038990,tt0037769,tt0035460",26
tt0031741,3.0,nm0356420,movie,Odio,0.0,\N,75,movie,Harvest of Hate,Odio,0,1940,\N,75,"Drama,Romance",Magda Haller,1915,1981,"actress,archive_footage","tt0025062,tt0031741,tt0027950,tt0223060",25
tt0031818,2.0,nm0501532,movie,Pour le maillot jaune,0.0,\N,91,movie,Pour le maillot jaune,Pour le maillot jaune,0,1940,\N,91,"Romance,Sport",Meg Lemonnier,1905,1988,"actress,soundtrack,archive_footage","tt0151034,tt0132521,tt0159073,tt0185642",35
tt0031866,2.0,nm0362863,movie,Ritorno,0.0,\N,70,movie,Musica di sogno,Ritorno,0,1940,\N,70,Romance,Marte Harell,1907,1996,"actress,soundtrack,archive_footage","tt0037705,tt0042438,tt0035900,tt0031763",33
tt0032119,1.0,nm0775596,movie,Weißer Flieder,0.0,\N,92,movie,Weißer Flieder,Weißer Flieder,0,1940,\N,92,"Comedy,Romance",Hannelore Schroth,1922,1987,"actress,archive_footage","tt0049293,tt0067047,tt0311214,tt0070463",18
tt0032161,1.0,nm0944123,movie,Zlota maska,0.0,\N,77,movie,Zlota maska,Zlota maska,0,1940,\N,77,"Drama,Romance",Lidia Wysocka,1916,2006,"actress,soundtrack,archive_footage","tt0029088,tt0032161,tt0028085,tt0281879",24
tt0032163,1.0,nm0936651,movie,Zona i nie zona,0.0,\N,61,movie,The (Im)Perfect Wife,Zona i nie zona,0,1941,\N,61,"Drama,Romance",Tamara Wiszniewska,1919,1981,actress,"tt0285537,tt0032163,tt0031096,tt0028274",22
tt0032179,1.0,nm0000046,movie,21 Days,0.0,\N,72,movie,21 Days Together,21 Days,0,1940,\N,72,"Crime,Drama,Romance",Vivien Leigh,1913,1967,"actress,writer,soundtrack","tt0044081,tt0031381,tt0033238,tt0034272",27
tt0032194,1.0,nm0000012,movie,"All This, and Heaven Too",0.0,\N,141,movie,"All This, and Heaven Too","All This, and Heaven Too",0,1940,\N,141,"Drama,Romance",Bette Davis,1908,1989,"actress,make_up_department,producer","tt0042192,tt0056687,tt0031210,tt0035140",32
tt0032198,1.0,nm0485537,movie,Always a Bride,0.0,\N,58,movie,Always a Bride,Always a Bride,0,1940,\N,58,"Comedy,Romance",Rosemary Lane,1913,1974,"actress,soundtrack","tt0032198,tt0035625,tt0035972,tt0030149",27
