tconst,ordering_M,nconst_M,primaryName_M,knownForTitles_M,age_M,ordering_F,nconst_F,titleType,originalTitle,isAdult,endYear,runtimeMinutes,primaryTitle,startYear,genres,primaryName_F,birthYear,deathYear,primaryProfession,knownForTitles_F,age_F,age_gap
tt0032220,2.0,nm0001537,Ray Milland,"tt0037884,tt0046912,tt0066011,tt0037415",33,1.0,nm0001055,movie,"Arise, My Love",0.0,\N,110.0,"Arise, My Love",1940,"Comedy,Drama,Romance",Claudette Colbert,1903,1996,"actress,soundtrack,archive_footage","tt0025316,tt0036367,tt0029929,tt0037280",37,-4
tt0032338,1.0,nm0694090,Dick Powell,"tt0037101,tt0037615,tt0044391,tt0040695",36,2.0,nm0237655,movie,Christmas in July,0.0,\N,67.0,Christmas in July,1940,"Comedy,Drama,Romance",Ellen Drew,1914,2003,"actress,soundtrack,archive_footage","tt0032338,tt0037820,tt0033916,tt0042229",26,10
tt0032347,1.0,nm0122589,Bob Burns,"tt0030651,tt0029742,tt1572174,tt0036636",50,2.0,nm0580916,movie,Comin' Round the Mountain,0.0,\N,63.0,Comin' Round the Mountain,1940,"Comedy,Music,Romance",Una Merkel,1903,1986,"actress,miscellaneous,soundtrack","tt0055277,tt0024034,tt0055489,tt0022111",37,13
tt0032456,2.0,nm0749476,Charles Ruggles,"tt0055277,tt0024359,tt0039502,tt0026955",54,1.0,nm0713106,movie,The Farmer's Daughter,0.0,\N,60.0,The Farmer's Daughter,1940,"Comedy,Music,Romance",Martha Raye,1916,1994,"actress,writer,soundtrack","tt0055797,tt0088693,tt0066685,tt0028806",24,30
tt0032674,1.0,nm0370797,Russell Hayden,"tt0029505,tt0030812,tt0033160,tt0032674",28,3.0,nm0662335,movie,Knights of the Range,0.0,\N,70.0,Knights of the Range,1940,"Action,Music,Romance",Jean Parker,1915,2005,"actress,soundtrack,archive_footage","tt0024264,tt0042531,tt0035453,tt0036653",25,3
tt0032809,2.0,nm0696481,Robert Preston,"tt0056262,tt0084865,tt0087597,tt0083015",22,1.0,nm0483787,movie,Moon Over Burma,0.0,\N,76.0,Moon Over Burma,1940,"Adventure,Romance",Dorothy Lamour,1914,1996,"actress,soundtrack,archive_footage","tt0092796,tt0032993,tt0057007,tt0039645",26,-4
tt0032850,1.0,nm0000011,Gary Cooper,"tt0044706,tt0034167,tt0035896,tt0027996",39,2.0,nm0140914,movie,North West Mounted Police,0.0,\N,126.0,North West Mounted Police,1940,"Drama,Romance,Western",Madeleine Carroll,1906,1987,"actress,archive_footage","tt0026029,tt0035100,tt0029442,tt0029057",34,5
tt0032993,1.0,nm0001078,Bing Crosby,"tt0047673,tt0049314,tt0036872,tt0046874",37,3.0,nm0483787,movie,Road to Singapore,0.0,\N,85.0,Road to Singapore,1940,"Comedy,Musical,Romance",Dorothy Lamour,1914,1996,"actress,soundtrack,archive_footage","tt0092796,tt0032993,tt0057007,tt0039645",26,11
tt0033009,1.0,nm0001195,Douglas Fairbanks Jr.,"tt0021079,tt0024962,tt0041363,tt0029442",31,2.0,nm0140914,movie,Safari,0.0,\N,80.0,Safari,1940,"Adventure,Drama,Romance",Madeleine Carroll,1906,1987,"actress,archive_footage","tt0026029,tt0035100,tt0029442,tt0029057",34,-3
tt0033029,1.0,nm0000001,Fred Astaire,"tt0072308,tt0050419,tt0053137,tt0027125",41,2.0,nm0002104,movie,Second Chorus,0.0,\N,84.0,Second Chorus,1940,"Comedy,Musical,Romance",Paulette Goddard,1910,1990,"actress,producer,soundtrack","tt0032520,tt0027977,tt0033722,tt0037849",30,11
