tconst,ordering,nconst,titleType,originalTitle,isAdult,endYear,runtimeMinutes,primaryTitle,startYear,genres,primaryName,birthYear,deathYear,primaryProfession,knownForTitles,age
tt0032220,1.0,nm0001055,movie,"Arise, My Love",0.0,\N,110,"Arise, My Love",1940,"Comedy,Drama,Romance",Claudette Colbert,1903,1996,"actress,soundtrack,archive_footage","tt0025316,tt0036367,tt0029929,tt0037280",37
tt0032338,2.0,nm0237655,movie,Christmas in July,0.0,\N,67,Christmas in July,1940,"Comedy,Drama,Romance",Ellen Drew,1914,2003,"actress,soundtrack,archive_footage","tt0032338,tt0037820,tt0033916,tt0042229",26
tt0032347,2.0,nm0580916,movie,Comin' Round the Mountain,0.0,\N,63,Comin' Round the Mountain,1940,"Comedy,Music,Romance",Una Merkel,1903,1986,"actress,miscellaneous,soundtrack","tt0055277,tt0024034,tt0055489,tt0022111",37
tt0032456,1.0,nm0713106,movie,The Farmer's Daughter,0.0,\N,60,The Farmer's Daughter,1940,"Comedy,Music,Romance",Martha Raye,1916,1994,"actress,writer,soundtrack","tt0055797,tt0088693,tt0066685,tt0028806",24
tt0032674,3.0,nm0662335,movie,Knights of the Range,0.0,\N,70,Knights of the Range,1940,"Action,Music,Romance",Jean Parker,1915,2005,"actress,soundtrack,archive_footage","tt0024264,tt0042531,tt0035453,tt0036653",25
tt0032809,1.0,nm0483787,movie,Moon Over Burma,0.0,\N,76,Moon Over Burma,1940,"Adventure,Romance",Dorothy Lamour,1914,1996,"actress,soundtrack,archive_footage","tt0092796,tt0032993,tt0057007,tt0039645",26
tt0032850,2.0,nm0140914,movie,North West Mounted Police,0.0,\N,126,North West Mounted Police,1940,"Drama,Romance,Western",Madeleine Carroll,1906,1987,"actress,archive_footage","tt0026029,tt0035100,tt0029442,tt0029057",34
tt0032993,3.0,nm0483787,movie,Road to Singapore,0.0,\N,85,Road to Singapore,1940,"Comedy,Musical,Romance",Dorothy Lamour,1914,1996,"actress,soundtrack,archive_footage","tt0092796,tt0032993,tt0057007,tt0039645",26
tt0033009,2.0,nm0140914,movie,Safari,0.0,\N,80,Safari,1940,"Adventure,Drama,Romance",Madeleine Carroll,1906,1987,"actress,archive_footage","tt0026029,tt0035100,tt0029442,tt0029057",34
tt0033029,2.0,nm0002104,movie,Second Chorus,0.0,\N,84,Second Chorus,1940,"Comedy,Musical,Romance",Paulette Goddard,1910,1990,"actress,producer,soundtrack","tt0032520,tt0027977,tt0033722,tt0037849",30
tt0033155,2.0,nm0335748,movie,Those Were the Days!,0.0,\N,74,Those Were the Days!,1940,"Comedy,Romance",Bonita Granville,1923,1988,"producer,actress,director","tt0035140,tt0030442,tt0030491,tt0028356",17
tt0033196,1.0,nm0483787,movie,Typhoon,0.0,\N,70,Typhoon,1940,"Adventure,Romance",Dorothy Lamour,1914,1996,"actress,soundtrack,archive_footage","tt0092796,tt0032993,tt0057007,tt0039645",26
tt0033208,2.0,nm0605685,movie,Untamed,0.0,\N,83,Untamed,1940,"Adventure,Drama,Romance",Patricia Morison,1915,2018,"actress,soundtrack,archive_footage","tt0036377,tt0038494,tt0035706,tt0036005",25
tt0033244,2.0,nm0313438,movie,The Way of All Flesh,0.0,\N,86,The Way of All Flesh,1940,"Crime,Drama,Romance",Gladys George,1900,1954,"actress,soundtrack,archive_footage","tt0031867,tt0033870,tt0036868,tt0043625",40
tt0033272,1.0,nm0237655,movie,Women Without Names,0.0,\N,62,Women Without Names,1940,"Crime,Drama,Romance",Ellen Drew,1914,2003,"actress,soundtrack,archive_footage","tt0032338,tt0037820,tt0033916,tt0042229",26
tt0033372,1.0,nm0140914,movie,Bahama Passage,0.0,\N,82.0,Bahama Passage,1941,"Drama,Romance",Madeleine Carroll,1906,1987,"actress,archive_footage","tt0026029,tt0035100,tt0029442,tt0029057",35
tt0033396,2.0,nm0552756,movie,Birth of the Blues,0.0,\N,87.0,Birth of the Blues,1941,"History,Music,Romance",Mary Martin,1913,1990,"actress,miscellaneous,producer","tt0054176,tt0046637,tt0036461,tt0033396",28
tt0033722,2.0,nm0000014,movie,Hold Back the Dawn,0.0,\N,116.0,Hold Back the Dawn,1941,"Drama,Romance",Olivia de Havilland,1916,2020,"actress,soundtrack,archive_footage","tt0031381,tt0041452,tt0029843,tt0040806",25
tt0033804,1.0,nm0001766,movie,The Lady Eve,0.0,\N,94,The Lady Eve,1941,"Comedy,Romance",Barbara Stanwyck,1907,1990,"actress,soundtrack,archive_footage","tt0036775,tt0033373,tt0040823,tt0032080",34
tt0033834,2.0,nm0259717,movie,Life with Henry,0.0,\N,80,Life with Henry,1940,"Comedy,Family,Romance",Leila Ernst,1920,1970,actress,tt0033834,20
tt0033861,2.0,nm0237655,movie,The Mad Doctor,0.0,\N,90,The Mad Doctor,1940,"Crime,Film-Noir,Romance",Ellen Drew,1914,2003,"actress,soundtrack,archive_footage","tt0032338,tt0037820,tt0033916,tt0042229",26
tt0033947,2.0,nm0552756,movie,New York Town,0.0,\N,94,New York Town,1941,"Comedy,Romance",Mary Martin,1913,1990,"actress,miscellaneous,producer","tt0054176,tt0046637,tt0036461,tt0033396",28
tt0034004,2.0,nm0237655,movie,The Parson of Panamint,0.0,\N,84,The Parson of Panamint,1941,"Adventure,Romance,Western",Ellen Drew,1914,2003,"actress,soundtrack,archive_footage","tt0032338,tt0037820,tt0033916,tt0042229",27
tt0034086,2.0,nm0237655,movie,Reaching for the Sun,0.0,\N,90,Reaching for the Sun,1941,"Drama,Romance",Ellen Drew,1914,2003,"actress,soundtrack,archive_footage","tt0032338,tt0037820,tt0033916,tt0042229",27
tt0034182,2.0,nm0275897,movie,The Shepherd of the Hills,0.0,\N,98,The Shepherd of the Hills,1941,"Adventure,Drama,Romance",Betty Field,1916,1973,"actress,soundtrack,archive_footage","tt0031742,tt0033409,tt0048491,tt0050839",25
tt0034198,1.0,nm0001055,movie,Skylark,0.0,\N,92,Skylark,1941,"Comedy,Romance",Claudette Colbert,1903,1996,"actress,soundtrack,archive_footage","tt0025316,tt0036367,tt0029929,tt0037280",38
tt0034275,2.0,nm0288078,movie,The Hard-Boiled Canary,0.0,\N,80,The Hard-Boiled Canary,1941,"Comedy,Music,Romance",Susanna Foster,1924,2009,"actress,soundtrack,archive_footage","tt0036261,tt0033666,tt0036715,tt0037717",17
tt0034364,1.0,nm0140914,movie,Virginia,0.0,\N,110,Virginia,1941,"Drama,Romance",Madeleine Carroll,1906,1987,"actress,archive_footage","tt0026029,tt0035100,tt0029442,tt0029057",35
tt0034381,1.0,nm0794297,movie,West Point Widow,0.0,\N,63,West Point Widow,1941,"Comedy,Romance",Anne Shirley,1918,1993,"actress,soundtrack,archive_footage","tt0037101,tt0033532,tt0029608,tt0021074",23
