tconst,primaryTitle,startYear,genres
tt0032674,Knights of the Range,1940,"Action,Music,Romance"
tt0033272,Women Without Names,1940,"Crime,Drama,Romance"
tt0032993,Road to Singapore,1940,"Comedy,Musical,Romance"
tt0032456,The Farmer's Daughter,1940,"Comedy,Music,Romance"
tt0033196,Typhoon,1940,"Adventure,Romance"
tt0033009,Safari,1940,"Adventure,Drama,Romance"
tt0033244,The Way of All Flesh,1940,"Crime,Drama,Romance"
tt0033155,Those Were the Days!,1940,"Comedy,Romance"
tt0033208,Untamed,1940,"Adventure,Drama,Romance"
tt0032347,Comin' Round the Mountain,1940,"Comedy,Music,Romance"
tt0032850,North West Mounted Police,1940,"Drama,Romance,Western"
tt0032338,Christmas in July,1940,"Comedy,Drama,Romance"
tt0032220,"Arise, My Love",1940,"Comedy,Drama,Romance"
tt0033029,Second Chorus,1940,"Comedy,Musical,Romance"
tt0032809,Moon Over Burma,1940,"Adventure,Romance"
tt0033834,Life with Henry,1940,"Comedy,Family,Romance"
tt0034364,Virginia,1941,"Drama,Romance"
tt0033861,The Mad Doctor,1940,"Crime,Film-Noir,Romance"
tt0034412,You're the One,1941,"Comedy,Music,Romance"
tt0033804,The Lady Eve,1941,"Comedy,Romance"
tt0034086,Reaching for the Sun,1941,"Drama,Romance"
tt0034275,The Hard-Boiled Canary,1941,"Comedy,Music,Romance"
tt0034381,West Point Widow,1941,"Comedy,Romance"
tt0034182,The Shepherd of the Hills,1941,"Adventure,Drama,Romance"
tt0034004,The Parson of Panamint,1941,"Adventure,Romance,Western"
tt0033722,Hold Back the Dawn,1941,"Drama,Romance"
tt0033947,New York Town,1941,"Comedy,Romance"
tt0033396,Birth of the Blues,1941,"History,Music,Romance"
tt0034198,Skylark,1941,"Comedy,Romance"
tt0033372,Bahama Passage,1941,"Drama,Romance"
tt0034736,The Fleet's In,1942,"Musical,Romance"
tt0035458,Torpedo Boat,1942,"Action,Drama,Romance"
tt0034812,The Great Man's Lady,1941,"Drama,Romance,Western"
tt0035413,"Take a Letter, Darling",1942,"Comedy,Romance"
tt0034467,Are Husbands Necessary?,1942,"Comedy,Mystery,Romance"
tt0035216,Priorities on Parade,1942,"Comedy,Musical,Romance"
tt0035019,The Major and the Minor,1942,"Comedy,Romance"
tt0035094,Mrs. Wiggs of the Cabbage Patch,1942,"Comedy,Drama,Romance"
tt0035104,My Heart Belongs to Daddy,1942,"Comedy,Romance"
tt0035169,The Palm Beach Story,1942,"Comedy,Romance"
tt0035969,Happy Go Lucky,1943,"Comedy,Musical,Romance"
tt0036208,No Time for Love,1943,"Comedy,Romance"
tt0036105,Let's Face It,1943,"Musical,Romance"
tt0035948,The Good Fellows,1943,"Comedy,Romance"
tt0036367,So Proudly We Hail!,1943,"Drama,Romance,War"
tt0036461,True to Life,1943,"Comedy,Romance"
tt0037310,Standing Room Only,1944,"Comedy,Romance,War"
tt0037000,Lady in the Dark,1944,"Drama,Musical,Romance"
tt0037475,You Can't Ration Love,1944,"Comedy,Musical,Romance"
tt0037077,The Miracle of Morgan's Creek,1943,"Comedy,Romance,War"
tt0036600,And the Angels Sing,1944,"Comedy,Music,Romance"
tt0036930,The Hour Before the Dawn,1944,"Drama,Romance,War"
tt0037340,Take It Big,1944,"Comedy,Music,Romance"
tt0036908,Henry Aldrich's Little Secret,1944,"Comedy,Family,Romance"
tt0036938,I Love a Soldier,1944,"Drama,Romance,War"
tt0037208,Rainbow Island,1944,"Comedy,Musical,Romance"
tt0036840,Frenchman's Creek,1944,"Adventure,Drama,Romance"
tt0036599,And Now Tomorrow,1944,"Drama,Romance"
tt0036912,Here Come the Waves,1944,"Comedy,Musical,Romance"
tt0037190,Practically Yours,1944,"Comedy,Romance,War"
tt0038263,You Came Along,1945,"Drama,Romance"
tt0037498,The Affairs of Susan,1945,"Comedy,Drama,Romance"
tt0037964,Out of This World,1945,"Comedy,Music,Romance"
tt0037885,Love Letters,1945,"Drama,Mystery,Romance"
tt0037903,Masquerade in Mexico,1945,"Comedy,Romance"
tt0038119,The Stork Club,1945,"Comedy,Musical,Romance"
tt0037849,Kitty,1945,"Drama,History,Romance"
tt0039040,To Each His Own,1946,"Drama,Romance"
tt0039098,The Well Groomed Bride,1946,"Comedy,Romance"
tt0038383,The Bride Wore Boots,1946,"Adventure,Comedy,Romance"
tt0038815,Our Hearts Were Growing Up,1946,"Adventure,Comedy,Romance"
tt0038618,Hot Cargo,1946,"Adventure,Drama,Romance"
tt0038370,Blue Skies,1946,"Comedy,Musical,Romance"
tt0039487,The Imperfect Lady,1946,"Drama,Romance"
tt0039307,Dear Ruth,1947,"Comedy,Romance"
tt0039917,The Trouble with Women,1947,"Comedy,Romance"
tt0039698,The Perils of Pauline,1947,"Drama,Romance"
tt0040616,Mr. Reckless,1948,"Adventure,Drama,Romance"
tt0040827,Speed to Spare,1948,"Drama,Romance"
tt0040367,A Foreign Affair,1948,"Comedy,Drama,Romance"
tt0040317,The Emperor Waltz,1948,"Comedy,Musical,Romance"
tt0040302,Dream Girl,1948,"Comedy,Romance"
tt0040599,Miss Tatlock's Millions,1948,"Comedy,Romance"
tt0040071,The Accused,1949,"Drama,Film-Noir,Romance"
tt0040629,My Own True Love,1949,"Drama,Romance"
tt0041428,The Great Gatsby,1949,"Drama,Mystery,Romance"
tt0041969,Top o' the Morning,1949,"Comedy,Musical,Romance"
tt0041899,Song of Surrender,1949,"Drama,Musical,Romance"
tt0041429,The Great Lover,1949,"Comedy,Musical,Romance"
tt0041452,The Heiress,1949,"Drama,Romance"
