tconst,ordering_M,nconst_M,primaryName_M,knownForTitles_M,age_M,ordering_F,nconst_F,titleType,originalTitle,isAdult,endYear,runtimeMinutes,primaryTitle,startYear,genres,primaryName_F,birthYear,deathYear,primaryProfession,knownForTitles_F,age_F,age_gap
tt0029284,2.0,nm0000026,Cary Grant,"tt0053125,tt0056923,tt0034248,tt0053143",36,1.0,nm0002050,movie,My Favorite Wife,0.0,\N,88,My Favorite Wife,1940,"Comedy,Romance",Irene Dunne,1898,1990,"actress,soundtrack,archive_footage","tt0028597,tt0031593,tt0040458,tt0029284",42,-6
tt0032211,2.0,nm0255199,James Ellison,"tt0036027,tt0035489,tt0028377,tt0027725",30,1.0,nm0794297,movie,Anne of Windy Poplars,0.0,\N,86,Anne of Windy Poplars,1940,"Drama,Romance",Anne Shirley,1918,1993,"actress,soundtrack,archive_footage","tt0037101,tt0033532,tt0029608,tt0021074",22,8
tt0032247,1.0,nm0002503,Harry Carey,"tt0031679,tt0040724,tt0022495,tt0032247",62,5.0,nm0653642,movie,Beyond Tomorrow,0.0,\N,84,Beyond Tomorrow,1940,"Drama,Fantasy,Romance",Maria Ouspenskaya,1876,1949,"actress,soundtrack,archive_footage","tt0034398,tt0028739,tt0027532,tt0031593",64,-2
tt0032369,1.0,nm0713270,Gene Raymond,"tt0028270,tt0033922,tt0040590,tt0027913",32,2.0,nm0057412,movie,Cross-Country Romance,0.0,\N,68,Cross-Country Romance,1940,"Comedy,Romance",Wendy Barrie,1912,1978,"actress,soundtrack,archive_footage","tt0033650,tt0031890,tt0033517,tt0033013",28,4
tt0032373,2.0,nm0610253,Alan Mowbray,"tt0038762,tt0033740,tt0028010,tt0049408",44,1.0,nm0713799,movie,Curtain Call,0.0,\N,63,Curtain Call,1940,"Comedy,Romance",Barbara Read,1917,1963,actress,"tt0029192,tt0028373,tt0031961,tt0039422",23,21
tt0032411,1.0,nm0380965,Jean Hersholt,"tt0015881,tt0018451,tt0028988,tt0023194",54,2.0,nm0522662,movie,Dr. Christian Meets the Women,0.0,\N,68,Dr. Christian Meets the Women,1940,"Drama,Romance",Dorothy Lovett,1915,1998,"actress,soundtrack","tt0032980,tt0034279,tt0032411,tt0031635",25,29
tt0032456,2.0,nm0749476,Charles Ruggles,"tt0055277,tt0024359,tt0039502,tt0026955",54,1.0,nm0713106,movie,The Farmer's Daughter,0.0,\N,60,The Farmer's Daughter,1940,"Comedy,Music,Romance",Martha Raye,1916,1994,"actress,writer,soundtrack","tt0055797,tt0088693,tt0066685,tt0028806",24,30
tt0032671,2.0,nm0604605,Dennis Morgan,"tt0039647,tt0037595,tt0041515,tt0032671",32,1.0,nm0001677,movie,Kitty Foyle,0.0,\N,108,Kitty Foyle,1940,"Drama,Romance",Ginger Rogers,1911,1995,"actress,soundtrack,archive_footage","tt0032671,tt0035019,tt0044916,tt0032946",29,3
tt0032700,1.0,nm0188972,Bob Crosby,"tt0081398,tt0107507,tt1486834,tt2140373",27,2.0,nm0736939,movie,Let's Make Music,0.0,\N,84,Let's Make Music,1940,"Drama,Music,Romance",Jean Rogers,1916,1991,"actress,soundtrack,archive_footage","tt0027623,tt0032325,tt0033227,tt0038618",24,3
tt0032703,1.0,nm0948714,Jeff York,"tt0038854,tt0050567,tt0052441,tt0039372",28,2.0,nm0640930,movie,Li'l Abner,0.0,\N,78,Li'l Abner,1940,"Comedy,Romance",Martha O'Driscoll,1922,1998,"actress,soundtrack,archive_footage","tt0037793,tt0038203,tt0038364,tt0038490",18,10
