tconst,ordering,nconst,titleType,originalTitle,isAdult,endYear,runtimeMinutes,primaryTitle,startYear,genres,primaryName,birthYear,deathYear,primaryProfession,knownForTitles,age
tt0029284,1.0,nm0002050,movie,My Favorite Wife,0.0,\N,88,My Favorite Wife,1940,"Comedy,Romance",Irene Dunne,1898,1990,"actress,soundtrack,archive_footage","tt0028597,tt0031593,tt0040458,tt0029284",42
tt0032211,1.0,nm0794297,movie,Anne of Windy Poplars,0.0,\N,86,Anne of Windy Poplars,1940,"Drama,Romance",Anne Shirley,1918,1993,"actress,soundtrack,archive_footage","tt0037101,tt0033532,tt0029608,tt0021074",22
tt0032247,5.0,nm0653642,movie,Beyond Tomorrow,0.0,\N,84,Beyond Tomorrow,1940,"Drama,Fantasy,Romance",Maria Ouspenskaya,1876,1949,"actress,soundtrack,archive_footage","tt0034398,tt0028739,tt0027532,tt0031593",64
tt0032369,2.0,nm0057412,movie,Cross-Country Romance,0.0,\N,68,Cross-Country Romance,1940,"Comedy,Romance",Wendy Barrie,1912,1978,"actress,soundtrack,archive_footage","tt0033650,tt0031890,tt0033517,tt0033013",28
tt0032373,1.0,nm0713799,movie,Curtain Call,0.0,\N,63,Curtain Call,1940,"Comedy,Romance",Barbara Read,1917,1963,actress,"tt0029192,tt0028373,tt0031961,tt0039422",23
tt0032411,2.0,nm0522662,movie,Dr. Christian Meets the Women,0.0,\N,68,Dr. Christian Meets the Women,1940,"Drama,Romance",Dorothy Lovett,1915,1998,"actress,soundtrack","tt0032980,tt0034279,tt0032411,tt0031635",25
tt0032456,1.0,nm0713106,movie,The Farmer's Daughter,0.0,\N,60,The Farmer's Daughter,1940,"Comedy,Music,Romance",Martha Raye,1916,1994,"actress,writer,soundtrack","tt0055797,tt0088693,tt0066685,tt0028806",24
tt0032671,1.0,nm0001677,movie,Kitty Foyle,0.0,\N,108,Kitty Foyle,1940,"Drama,Romance",Ginger Rogers,1911,1995,"actress,soundtrack,archive_footage","tt0032671,tt0035019,tt0044916,tt0032946",29
tt0032700,2.0,nm0736939,movie,Let's Make Music,0.0,\N,84,Let's Make Music,1940,"Drama,Music,Romance",Jean Rogers,1916,1991,"actress,soundtrack,archive_footage","tt0027623,tt0032325,tt0033227,tt0038618",24
tt0032703,2.0,nm0640930,movie,Li'l Abner,0.0,\N,78,Li'l Abner,1940,"Comedy,Romance",Martha O'Driscoll,1922,1998,"actress,soundtrack,archive_footage","tt0037793,tt0038203,tt0038364,tt0038490",18
tt0032733,2.0,nm0001677,movie,Lucky Partners,0.0,\N,99,Lucky Partners,1940,"Comedy,Drama,Romance",Ginger Rogers,1911,1995,"actress,soundtrack,archive_footage","tt0032671,tt0035019,tt0044916,tt0032946",29
tt0032764,2.0,nm0899091,movie,Married and in Love,0.0,\N,59,Married and in Love,1940,"Drama,Romance",Helen Vinson,1907,1999,actress,"tt0023042,tt0024210,tt0033175,tt0033963",33
tt0032795,2.0,nm0371123,movie,Millionaire Playboy,0.0,\N,64,Millionaire Playboy,1940,"Comedy,Romance",Linda Hayes,1918,1995,"actress,soundtrack,archive_footage","tt0031370,tt0032622,tt0031641,tt2381111",22
tt0032916,1.0,nm0290215,movie,Play Girl,0.0,\N,75,Play Girl,1941,"Comedy,Romance",Kay Francis,1905,1968,"actress,producer,writer","tt0025461,tt0023622,tt0028579,tt0021281",36
tt0032946,1.0,nm0001677,movie,Primrose Path,0.0,\N,93,Primrose Path,1940,"Drama,Mystery,Romance",Ginger Rogers,1911,1995,"actress,soundtrack,archive_footage","tt0032671,tt0035019,tt0044916,tt0032946",29
tt0032980,2.0,nm0522662,movie,Remedy for Riches,0.0,\N,60,Remedy for Riches,1940,"Comedy,Romance",Dorothy Lovett,1915,1998,"actress,soundtrack","tt0032980,tt0034279,tt0032411,tt0031635",25
tt0033150,1.0,nm0001479,movie,They Knew What They Wanted,0.0,\N,96,They Knew What They Wanted,1940,"Drama,Romance",Carole Lombard,1908,1942,"actress,soundtrack,archive_footage","tt0028010,tt0035446,tt0029322,tt0026452",32
tt0033185,2.0,nm0883922,movie,Triple Justice,0.0,\N,66,Triple Justice,1940,"Romance,Western",Virginia Vale,1920,2006,"actress,soundtrack,archive_footage","tt0033399,tt0033185,tt0034550,tt0032292",20
tt0033221,1.0,nm0001479,movie,Vigil in the Night,0.0,\N,96,Vigil in the Night,1940,"Drama,Romance",Carole Lombard,1908,1942,"actress,soundtrack,archive_footage","tt0028010,tt0035446,tt0029322,tt0026452",32
tt0033279,1.0,nm0000840,movie,You Can't Fool Your Wife,0.0,\N,68,You Can't Fool Your Wife,1940,"Comedy,Romance",Lucille Ball,1911,1989,"producer,actress,production_manager","tt0043208,tt0055686,tt0062570,tt0047191",29
tt0033373,2.0,nm0001766,movie,Ball of Fire,0.0,\N,111.0,Ball of Fire,1941,"Comedy,Romance",Barbara Stanwyck,1907,1990,"actress,soundtrack,archive_footage","tt0036775,tt0033373,tt0040823,tt0032080",34
tt0033511,2.0,nm0336931,movie,Dangerous Moonlight,0.0,\N,82.0,Suicide Squadron,1941,"Drama,Romance,War",Sally Gray,1915,2006,"actress,soundtrack","tt0034146,tt0031891,tt0032688,tt0038577",26
tt0033532,3.0,nm0002034,movie,All That Money Can Buy,0.0,\N,107.0,The Devil and Daniel Webster,1941,"Drama,Fantasy,Romance",Jane Darwell,1879,1967,"actress,archive_footage","tt0032551,tt0036244,tt0031381,tt0038762",62
tt0033533,1.0,nm0000795,movie,The Devil and Miss Jones,0.0,\N,92.0,The Devil and Miss Jones,1941,"Comedy,Romance",Jean Arthur,1900,1991,"actress,soundtrack,archive_footage","tt0030993,tt0031679,tt0046303,tt0036172",41
tt0033592,2.0,nm0841797,movie,Father Takes a Wife,0.0,\N,79.0,Father Takes a Wife,1941,"Comedy,Romance",Gloria Swanson,1899,1983,"actress,producer,costume_designer","tt0043014,tt0019344,tt0014636,tt0020514",42
tt0033615,3.0,nm0728230,movie,Footlight Fever,0.0,\N,69.0,Footlight Fever,1941,"Comedy,Romance",Elisabeth Risdon,1888,1958,"actress,soundtrack,archive_footage","tt0032181,tt0033717,tt0031641,tt0045125",53
tt0033836,1.0,nm0000012,movie,The Little Foxes,0.0,\N,116,The Little Foxes,1941,"Drama,Romance",Bette Davis,1908,1989,"actress,make_up_department,producer","tt0042192,tt0056687,tt0031210,tt0035140",33
tt0033922,1.0,nm0001479,movie,Mr. & Mrs. Smith,0.0,\N,95,Mr. & Mrs. Smith,1941,"Comedy,Romance",Carole Lombard,1908,1942,"actress,soundtrack,archive_footage","tt0028010,tt0035446,tt0029322,tt0026452",33
tt0033932,2.0,nm0496819,movie,My Life with Caroline,0.0,\N,81,My Life with Caroline,1941,"Comedy,Romance",Anna Lee,1913,2004,"actress,soundtrack,archive_footage","tt0059742,tt0056687,tt0056758,tt0033729",28
tt0033968,1.0,nm0140863,movie,Obliging Young Lady,0.0,\N,80,Obliging Young Lady,1942,"Comedy,Romance",Joan Carroll,1931,2016,"actress,archive_footage","tt0037059,tt0033968,tt0032946,tt0037536",11
tt0034000,2.0,nm0446715,movie,Parachute Battalion,0.0,\N,75,Parachute Battalion,1941,"Drama,Romance,War",Nancy Kelly,1921,1995,"actress,soundtrack,archive_footage","tt0048977,tt0031507,tt0035795,tt0032873",20
tt0034094,2.0,nm0057412,movie,Repent at Leisure,0.0,\N,66,Repent at Leisure,1941,"Drama,Romance",Wendy Barrie,1912,1978,"actress,soundtrack,archive_footage","tt0033650,tt0031890,tt0033517,tt0033013",29
tt0034243,1.0,nm0623554,movie,Sunny,0.0,\N,98,Sunny,1941,"Musical,Romance",Anna Neagle,1904,1986,"actress,producer,soundtrack","tt0039281,tt0043871,tt0029734,tt0032847",37
tt0034280,1.0,nm0000058,movie,They Met in Argentina,0.0,\N,77,They Met in Argentina,1941,"Comedy,Musical,Romance",Maureen O'Hara,1920,2015,"actress,soundtrack,archive_footage","tt0045061,tt0039628,tt0055277,tt0033729",21
tt0034473,2.0,nm0943553,movie,Army Surgeon,0.0,\N,63,Army Surgeon,1942,"Drama,Romance,War",Jane Wyatt,1910,2006,"actress,soundtrack,archive_footage","tt0092007,tt0046600,tt0040695,tt0029162",32
tt0034514,2.0,nm0000840,movie,The Big Street,0.0,\N,88,The Big Street,1942,"Drama,Music,Romance",Lucille Ball,1911,1989,"producer,actress,production_manager","tt0043208,tt0055686,tt0062570,tt0047191",31
tt0034751,2.0,nm0794297,movie,Four Jacks and a Jill,0.0,\N,68,Four Jacks and a Jill,1942,"Comedy,Music,Romance",Anne Shirley,1918,1993,"actress,soundtrack,archive_footage","tt0037101,tt0033532,tt0029608,tt0021074",24
tt0034810,2.0,nm0002034,movie,The Great Gildersleeve,0.0,\N,62,The Great Gildersleeve,1942,"Adventure,Comedy,Romance",Jane Darwell,1879,1967,"actress,archive_footage","tt0032551,tt0036244,tt0031381,tt0038762",63
tt0034856,2.0,nm0335748,movie,Hitler's Children,0.0,\N,82,Hitler's Children,1943,"Drama,Romance,War",Bonita Granville,1923,1988,"producer,actress,director","tt0035140,tt0030442,tt0030491,tt0028356",20
tt0034919,1.0,nm0006807,movie,Joan of Paris,0.0,\N,91.0,Joan of Paris,1942,"Drama,Romance,War",Michèle Morgan,1920,2016,"actress,archive_footage,archive_sound","tt0039004,tt0030643,tt0040338,tt0038409",22
tt0035015,3.0,nm0182537,movie,The Magnificent Ambersons,0.0,\N,88.0,The Magnificent Ambersons,1942,"Drama,Romance",Dolores Costello,1903,1979,"actress,soundtrack,archive_footage","tt0017354,tt0035015,tt0018218,tt0017973",39
tt0035061,1.0,nm0892473,movie,Mexican Spitfire's Elephant,0.0,\N,64.0,Mexican Spitfire's Elephant,1942,"Comedy,Romance",Lupe Velez,1908,1944,"actress,soundtrack,archive_footage","tt0031370,tt0031641,tt0020074,tt0034867",34
tt0035211,2.0,nm0942863,movie,The Pride of the Yankees,0.0,\N,128.0,The Pride of the Yankees,1942,"Biography,Drama,Romance",Teresa Wright,1918,2005,"actress,soundtrack,archive_footage","tt0036342,tt0036868,tt0035093,tt0081534",24
tt0035307,2.0,nm0000840,movie,Seven Days' Leave,0.0,\N,87,Seven Days' Leave,1942,"Comedy,Musical,Romance",Lucille Ball,1911,1989,"producer,actress,production_manager","tt0043208,tt0055686,tt0062570,tt0047191",31
tt0035477,3.0,nm0236990,movie,The Tuttles of Tahiti,0.0,\N,91,The Tuttles of Tahiti,1942,"Adventure,Comedy,Romance",Peggy Drake,1922,2014,actress,"tt0035477,tt0034944",20
tt0035888,1.0,nm0751426,movie,Flight for Freedom,0.0,\N,102,Flight for Freedom,1943,"Drama,Romance,War",Rosalind Russell,1907,1976,"actress,writer,soundtrack","tt0051383,tt0032599,tt0056048,tt0032143",36
tt0035952,1.0,nm0000014,movie,Government Girl,0.0,\N,94,Government Girl,1943,Romance,Olivia de Havilland,1916,2020,"actress,soundtrack,archive_footage","tt0031381,tt0041452,tt0029843,tt0040806",27
tt0036044,4.0,nm0913095,movie,The Iron Major,0.0,\N,85,The Iron Major,1943,"Biography,Drama,Romance",Ruth Warrick,1916,2005,"actress,miscellaneous,soundtrack","tt0033467,tt0065272,tt0038969,tt0057779",27
tt0036091,1.0,nm0892473,movie,Ladies' Day,0.0,\N,62.0,Ladies' Day,1943,"Comedy,Romance,Sport",Lupe Velez,1908,1944,"actress,soundtrack,archive_footage","tt0031370,tt0031641,tt0020074,tt0034867",35
tt0036092,1.0,nm0000795,movie,A Lady Takes a Chance,0.0,\N,86.0,A Lady Takes a Chance,1943,"Comedy,Romance,Western",Jean Arthur,1900,1991,"actress,soundtrack,archive_footage","tt0030993,tt0031679,tt0046303,tt0036172",43
tt0036174,2.0,nm0206478,movie,Mr. Lucky,0.0,\N,100.0,Mr. Lucky,1943,"Comedy,Crime,Romance",Laraine Day,1920,2007,"actress,soundtrack,archive_footage","tt0032484,tt0038700,tt0038164,tt0042049",23
tt0036217,1.0,nm0000879,movie,The North Star,0.0,\N,108.0,The North Star,1943,"Drama,Romance,War",Anne Baxter,1923,1985,"actress,soundtrack,archive_footage","tt0042192,tt0049833,tt0035015,tt0038873",20
