tconst,primaryTitle,startYear,genres
tt0032764,Married and in Love,1940,"Drama,Romance"
tt0033221,Vigil in the Night,1940,"Drama,Romance"
tt0032795,Millionaire Playboy,1940,"Comedy,Romance"
tt0032946,Primrose Path,1940,"Drama,Mystery,Romance"
tt0032373,Curtain Call,1940,"Comedy,Romance"
tt0032247,Beyond Tomorrow,1940,"Drama,Fantasy,Romance"
tt0029284,My Favorite Wife,1940,"Comedy,Romance"
tt0033279,You Can't Fool Your Wife,1940,"Comedy,Romance"
tt0032211,Anne of Windy Poplars,1940,"Drama,Romance"
tt0032411,Dr. Christian Meets the Women,1940,"Drama,Romance"
tt0032369,Cross-Country Romance,1940,"Comedy,Romance"
tt0032733,Lucky Partners,1940,"Comedy,Drama,Romance"
tt0033185,Triple Justice,1940,"Romance,Western"
tt0033150,They Knew What They Wanted,1940,"Drama,Romance"
tt0032703,Li'l Abner,1940,"Comedy,Romance"
tt0032980,Remedy for Riches,1940,"Comedy,Romance"
tt0032671,Kitty Foyle,1940,"Drama,Romance"
tt0032700,Let's Make Music,1940,"Drama,Music,Romance"
tt0033922,Mr. & Mrs. Smith,1941,"Comedy,Romance"
tt0032916,Play Girl,1941,"Comedy,Romance"
tt0033615,Footlight Fever,1941,"Comedy,Romance"
tt0034094,Repent at Leisure,1941,"Drama,Romance"
tt0033533,The Devil and Miss Jones,1941,"Comedy,Romance"
tt0034280,They Met in Argentina,1941,"Comedy,Musical,Romance"
tt0034243,Sunny,1941,"Musical,Romance"
tt0033932,My Life with Caroline,1941,"Comedy,Romance"
tt0033836,The Little Foxes,1941,"Drama,Romance"
tt0034000,Parachute Battalion,1941,"Drama,Romance,War"
tt0033592,Father Takes a Wife,1941,"Comedy,Romance"
tt0033532,The Devil and Daniel Webster,1941,"Drama,Fantasy,Romance"
tt0033373,Ball of Fire,1941,"Comedy,Romance"
tt0034751,Four Jacks and a Jill,1942,"Comedy,Music,Romance"
tt0033968,Obliging Young Lady,1942,"Comedy,Romance"
tt0034919,Joan of Paris,1942,"Drama,Romance,War"
tt0033511,Suicide Squadron,1941,"Drama,Romance,War"
tt0035477,The Tuttles of Tahiti,1942,"Adventure,Comedy,Romance"
tt0035015,The Magnificent Ambersons,1942,"Drama,Romance"
tt0035211,The Pride of the Yankees,1942,"Biography,Drama,Romance"
tt0034514,The Big Street,1942,"Drama,Music,Romance"
tt0035061,Mexican Spitfire's Elephant,1942,"Comedy,Romance"
tt0035307,Seven Days' Leave,1942,"Comedy,Musical,Romance"
tt0034473,Army Surgeon,1942,"Drama,Romance,War"
tt0034810,The Great Gildersleeve,1942,"Adventure,Comedy,Romance"
tt0034856,Hitler's Children,1943,"Drama,Romance,War"
tt0036091,Ladies' Day,1943,"Comedy,Romance,Sport"
tt0035888,Flight for Freedom,1943,"Drama,Romance,War"
tt0036174,Mr. Lucky,1943,"Comedy,Crime,Romance"
tt0036363,The Sky's the Limit,1943,"Comedy,Musical,Romance"
tt0036092,A Lady Takes a Chance,1943,"Comedy,Romance,Western"
tt0036044,The Iron Major,1943,"Biography,Drama,Romance"
tt0036217,The North Star,1943,"Drama,Romance,War"
tt0036418,Tender Comrade,1943,"Drama,Romance,War"
tt0036919,Higher and Higher,1943,"Comedy,Musical,Romance"
tt0035952,Government Girl,1943,Romance
tt0036798,Escape to Danger,1943,"Action,Romance,Thriller"
tt0036579,Action in Arabia,1944,"Crime,Drama,Romance"
tt0037261,Seven Days Ashore,1944,"Comedy,Musical,Romance"
tt0037274,Show Business,1944,"Comedy,Musical,Romance"
tt0036748,Days of Glory,1944,"Drama,Romance,War"
tt0037313,Step Lively,1944,"Comedy,Music,Romance"
tt0036699,Casanova Brown,1944,"Comedy,Drama,Romance"
tt0036671,Bride by Mistake,1944,"Comedy,Drama,Romance"
tt0037105,Music in Manhattan,1944,"Musical,Romance"
tt0036902,Heavenly Days,1944,"Comedy,Romance"
tt0037193,The Princess and the Pirate,1944,"Adventure,Comedy,Romance"
tt0036636,Belle of the Yukon,1944,"Action,Musical,Romance"
tt0036807,Experiment Perilous,1944,"Film-Noir,Romance,Thriller"
tt0038244,What a Blonde,1945,"Comedy,Romance"
tt0037970,Pan-Americana,1945,"Comedy,Musical,Romance"
tt0037671,The Enchanted Cottage,1945,"Drama,Fantasy,Romance"
tt0037508,Along Came Jones,1945,"Comedy,Romance,Western"
tt0038012,Radio Stars on Parade,1945,"Comedy,Music,Romance"
tt0038108,The Spanish Main,1945,"Adventure,Drama,Romance"
tt0038091,Sing Your Way Home,1945,"Comedy,Music,Romance"
tt0038886,Riverboat Rhythm,1946,"Comedy,Music,Romance"
tt0039011,Tarzan and the Leopard Woman,1946,"Action,Adventure,Romance"
tt0039041,Tomorrow Is Forever,1946,"Drama,Romance,War"
tt0038479,Ding Dong Williams,1946,"Comedy,Music,Romance"
tt0038537,From This Day Forward,1946,"Drama,Mystery,Romance"
tt0038592,Heartbeat,1946,"Comedy,Drama,Romance"
tt0039110,Without Reservations,1946,"Comedy,Romance"
tt0038324,The Bamboo Blonde,1946,"Music,Romance,War"
tt0039036,Till the End of Time,1946,"Drama,Romance,War"
tt0038787,Notorious,1946,"Drama,Film-Noir,Romance"
tt0036868,The Best Years of Our Lives,1946,"Drama,Romance,War"
tt0038905,San Quentin,1946,"Crime,Drama,Romance"
tt0039075,Vacation in Reno,1946,"Action,Comedy,Romance"
tt0039887,Tarzan and the Huntress,1947,"Action,Adventure,Romance"
tt0286954,Honeymoon,1945,"Comedy,Musical,Romance"
tt4800094,Honeymoon,1946,"Comedy,Romance"
tt0032456,The Farmer's Daughter,1940,"Comedy,Music,Romance"
tt0039370,The Farmer's Daughter,1947,"Comedy,Drama,Romance"
tt0039896,They Won't Believe Me,1947,"Drama,Film-Noir,Romance"
tt0039169,The Bachelor and the Bobby-Soxer,1947,"Comedy,Romance"
tt0039815,Seven Keys to Baldpate,1947,"Mystery,Romance,Thriller"
tt0039808,The Secret Life of Walter Mitty,1947,"Comedy,Fantasy,Romance"
tt0039595,Magic Town,1947,"Comedy,Romance"
tt0039823,Man About Town,1947,"Comedy,Drama,Romance"
tt0039842,So Well Remembered,1947,"Drama,Mystery,Romance"
tt0039927,Tycoon,1947,"Adventure,Drama,Romance"
tt0039659,Night Song,1947,"Drama,Music,Romance"
tt0037981,The Pearl,1947,"Adventure,Drama,Romance"
tt0040613,Mr. Blandings Builds His Dream House,1948,"Comedy,Romance"
tt0040395,Good Sam,1948,"Comedy,Drama,Romance"
tt0040331,Every Girl Should Be Married,1948,"Comedy,Drama,Romance"
tt0040321,Enchantment,1948,"Drama,Romance"
tt0041178,The Big Steal,1949,"Crime,Film-Noir,Romance"
tt0041824,Roseanna McCoy,1949,"Drama,Romance"
tt0040872,They Live by Night,1948,"Crime,Film-Noir,Romance"
tt0041672,My Foolish Heart,1949,"Drama,Romance"
