tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres
tt0029284,movie,My Favorite Wife,My Favorite Wife,0,1940,\N,88,"Comedy,Romance"
tt0030827,movie,Szüts Mara házassága,Szüts Mara házassága,0,1941,\N,91,Romance
tt0031174,movie,Confidential Lady,Confidential Lady,0,1940,\N,74,"Comedy,Drama,Romance"
tt0031191,movie,Outside the Three-Mile Limit,Outside the Three-Mile Limit,0,1940,\N,64,"Crime,Drama,Romance"
tt0031466,movie,I Take This Woman,I Take This Woman,0,1940,\N,98,"Drama,Mystery,Romance"
tt0031741,movie,Harvest of Hate,Odio,0,1940,\N,75,"Drama,Romance"
tt0031818,movie,Pour le maillot jaune,Pour le maillot jaune,0,1940,\N,91,"Romance,Sport"
tt0031866,movie,Musica di sogno,Ritorno,0,1940,\N,70,Romance
tt0032058,movie,I Met You Too Late,Troppo tardi t'ho conosciuta,0,1940,\N,78,Romance
tt0032119,movie,Weißer Flieder,Weißer Flieder,0,1940,\N,92,"Comedy,Romance"
tt0032161,movie,Zlota maska,Zlota maska,0,1940,\N,77,"Drama,Romance"
tt0032163,movie,The (Im)Perfect Wife,Zona i nie zona,0,1941,\N,61,"Drama,Romance"
tt0032179,movie,21 Days Together,21 Days,0,1940,\N,72,"Crime,Drama,Romance"
tt0032194,movie,"All This, and Heaven Too","All This, and Heaven Too",0,1940,\N,141,"Drama,Romance"
tt0032198,movie,Always a Bride,Always a Bride,0,1940,\N,58,"Comedy,Romance"
tt0032200,movie,"Amami, Alfredo!","Amami, Alfredo!",0,1940,\N,92,"Drama,Romance"
tt0032201,movie,Americaner Shadchen,Americaner Shadchen,0,1940,\N,87,"Comedy,Romance"
tt0032205,movie,And One Was Beautiful,And One Was Beautiful,0,1940,\N,70,"Drama,Romance"
tt0032206,movie,Andy Hardy Meets Debutante,Andy Hardy Meets Debutante,0,1940,\N,88,"Comedy,Family,Romance"
tt0032207,movie,An Angel from Texas,An Angel from Texas,0,1940,\N,69,"Comedy,Romance"
tt0032211,movie,Anne of Windy Poplars,Anne of Windy Poplars,0,1940,\N,86,"Drama,Romance"
tt0032219,movie,Argila,Argila,0,1940,\N,103,"Drama,Romance"
tt0032220,movie,"Arise, My Love","Arise, My Love",0,1940,\N,110,"Comedy,Drama,Romance"
tt0032230,movie,Babichka,Babichka,0,1940,\N,90,"Drama,Romance"
tt0032233,movie,Bal paré,Bal paré,0,1940,\N,100,"Comedy,Music,Romance"
tt0032247,movie,Beyond Tomorrow,Beyond Tomorrow,0,1940,\N,84,"Drama,Fantasy,Romance"
tt0032256,movie,Bitter Sweet,Bitter Sweet,0,1940,\N,94,"Drama,Musical,Romance"
tt0032273,movie,Boom Town,Boom Town,0,1940,\N,119,"Drama,Romance,Western"
tt0032297,movie,Calling All Husbands,Calling All Husbands,0,1940,\N,63,"Comedy,Romance"
tt0032304,movie,Captain Caution,Captain Caution,0,1940,\N,86,"Action,Adventure,Romance"
tt0032321,movie,Chad Hanna,Chad Hanna,0,1940,\N,88,"Drama,Romance"
tt0032338,movie,Christmas in July,Christmas in July,0,1940,\N,67,"Comedy,Drama,Romance"
tt0032347,movie,Comin' Round the Mountain,Comin' Round the Mountain,0,1940,\N,63,"Comedy,Music,Romance"
tt0032349,movie,Comrade X,Comrade X,0,1940,\N,104,"Comedy,Romance"
tt0032356,movie,Blackout,Contraband,0,1940,\N,80,"Crime,Drama,Romance"
tt0032369,movie,Cross-Country Romance,Cross-Country Romance,0,1940,\N,68,"Comedy,Romance"
tt0032373,movie,Curtain Call,Curtain Call,0,1940,\N,63,"Comedy,Romance"
tt0032381,movie,Dankó Pista,Dankó Pista,0,1940,\N,95,"Drama,Romance"
tt0032383,movie,Dark Command,Dark Command,0,1940,\N,94,"Drama,Romance,War"
tt0032392,movie,The Devil's Pipeline,The Devil's Pipeline,0,1940,\N,65,"Adventure,Drama,Romance"
tt0032394,movie,Diamond Frontier,Diamond Frontier,0,1940,\N,73,"Adventure,Crime,Romance"
