tconst,ordering,nconst,category,job,characters,titleType,originalTitle,isAdult,endYear,runtimeMinutes
tt0029284,1,nm0002050,actress,\N,"[""Ellen Wagstaff Arden""]",movie,My Favorite Wife,0,\N,88
tt0029284,2,nm0000026,actor,\N,"[""Nick Arden""]",movie,My Favorite Wife,0,\N,88
tt0029284,3,nm0000068,actor,\N,"[""Stephen Burkett""]",movie,My Favorite Wife,0,\N,88
tt0029284,4,nm0665850,actress,\N,"[""Bianca Bates""]",movie,My Favorite Wife,0,\N,88
tt0029284,5,nm0794700,actress,\N,"[""Ma Arden""]",movie,My Favorite Wife,0,\N,88
tt0029284,6,nm0065717,actor,\N,"[""Tim Arden""]",movie,My Favorite Wife,0,\N,88
tt0029284,7,nm0364317,actress,\N,"[""Chinch Arden""]",movie,My Favorite Wife,0,\N,88
tt0029284,8,nm0531385,actor,\N,"[""Yosemite Hotel Clerk""]",movie,My Favorite Wife,0,\N,88
tt0029284,9,nm0640078,actor,\N,"[""Johnson - Insurance Adjuster""]",movie,My Favorite Wife,0,\N,88
tt0029284,10,nm0060912,actor,\N,"[""Judge Bryson""]",movie,My Favorite Wife,0,\N,88
tt0029284,11,nm0437717,director,\N,\N,movie,My Favorite Wife,0,\N,88
tt0029284,12,nm0818415,writer,original story,\N,movie,My Favorite Wife,0,\N,88
tt0029284,13,nm0818416,writer,original story,\N,movie,My Favorite Wife,0,\N,88
tt0029284,14,nm0564970,writer,original story,\N,movie,My Favorite Wife,0,\N,88
tt0029284,15,nm0002202,composer,\N,\N,movie,My Favorite Wife,0,\N,88
tt0029284,16,nm0005789,cinematographer,director of photography,\N,movie,My Favorite Wife,0,\N,88
tt0029284,17,nm0936404,editor,editor,\N,movie,My Favorite Wife,0,\N,88
tt0030827,1,nm0701633,actor,\N,"[""Simaházi Tamás""]",movie,Szüts Mara házassága,0,\N,91
tt0030827,2,nm0814914,actress,\N,"[""Szûts Kornélia""]",movie,Szüts Mara házassága,0,\N,91
tt0030827,3,nm0800825,actress,\N,"[""Szûts Mara""]",movie,Szüts Mara házassága,0,\N,91
tt0030827,4,nm0900446,actress,\N,"[""Lili Néni""]",movie,Szüts Mara házassága,0,\N,91
tt0030827,5,nm0675829,actor,\N,"[""Báró Hargittay Bálint""]",movie,Szüts Mara házassága,0,\N,91
tt0030827,6,nm0478221,actor,\N,"[""Radnóti Szûts Gábor""]",movie,Szüts Mara házassága,0,\N,91
tt0030827,7,nm0677496,actor,\N,"[""Kövesdy Elemér""]",movie,Szüts Mara házassága,0,\N,91
tt0030827,8,nm0677493,actor,\N,"[""Kövesdy öccse""]",movie,Szüts Mara házassága,0,\N,91
tt0030827,9,nm0866976,actor,\N,"[""Dani""]",movie,Szüts Mara házassága,0,\N,91
tt0030827,10,nm0868252,actor,\N,"[""Miklós""]",movie,Szüts Mara házassága,0,\N,91
tt0030827,11,nm0436132,director,\N,\N,movie,Szüts Mara házassága,0,\N,91
tt0030827,12,nm0958164,writer,\N,\N,movie,Szüts Mara házassága,0,\N,91
tt0030827,13,nm1069265,producer,producer,\N,movie,Szüts Mara házassága,0,\N,91
tt0030827,14,nm0457367,producer,producer,\N,movie,Szüts Mara házassága,0,\N,91
tt0030827,15,nm0844161,composer,\N,\N,movie,Szüts Mara házassága,0,\N,91
tt0030827,16,nm0005694,cinematographer,\N,\N,movie,Szüts Mara házassága,0,\N,91
tt0030827,17,nm0450161,editor,\N,\N,movie,Szüts Mara házassága,0,\N,91
tt0031174,1,nm0528908,actor,\N,"[""Jim Brent""]",movie,Confidential Lady,0,\N,74
tt0031174,2,nm0062746,actress,\N,"[""Jill Trevor""]",movie,Confidential Lady,0,\N,74
tt0031174,3,nm0829186,actor,\N,"[""Sir Joshua Morple""]",movie,Confidential Lady,0,\N,74
tt0031174,4,nm0911822,actor,\N,"[""John Canter""]",movie,Confidential Lady,0,\N,74
tt0031174,5,nm0128130,actress,\N,"[""Amy Boswell""]",movie,Confidential Lady,0,\N,74
tt0031174,6,nm0123790,actor,\N,"[""Phillips""]",movie,Confidential Lady,0,\N,74
tt0031174,7,nm0572324,actor,\N,"[""Sheriff""]",movie,Confidential Lady,0,\N,74
tt0031174,8,nm0091735,actress,\N,"[""Rose""]",movie,Confidential Lady,0,\N,74
tt0031174,9,nm0572808,actor,\N,"[""Somers""]",movie,Confidential Lady,0,\N,74
