tconst,ordering_M,nconst_M,primaryName_M,knownForTitles_M,age_M,ordering_F,nconst_F,titleType_x,originalTitle_x,isAdult_x,endYear_x,runtimeMinutes_x,titleType_y,primaryTitle,originalTitle_y,isAdult_y,startYear,endYear_y,runtimeMinutes_y,genres,primaryName_F,birthYear,deathYear,primaryProfession,knownForTitles_F,age_F,age_gap
tt0029876,1.0,nm0624434,Jorge Negrete,"tt0174157,tt0030056,tt0034484,tt0235498",29,3.0,nm0356420,movie,El fanfarrón: ¡Aquí llegó el valentón!,0.0,\N,83.0,movie,El fanfarrón: ¡Aquí llegó el valentón!,El fanfarrón: ¡Aquí llegó el valentón!,0,1940,\N,83,"Adventure,Drama,Western",Magda Haller,1915,1981,"actress,archive_footage","tt0025062,tt0031741,tt0027950,tt0223060",25,4
tt0031348,1.0,nm0057983,Don 'Red' Barry,"tt0047130,tt0041914,tt0031762,tt0035465",28,2.0,nm0602812,movie,Frontier Vengeance,0.0,\N,58.0,movie,Frontier Vengeance,Frontier Vengeance,0,1940,\N,58,Western,Betty Moran,1920,1998,actress,"tt0033039,tt0031031,tt0031348,tt0031838",20,8
tt0031870,1.0,nm0728811,Tex Ritter,"tt0028283,tt0044706,tt0139699,tt0095253",35,3.0,nm0263088,movie,Roll Wagons Roll,0.0,\N,56.0,movie,Roll Wagons Roll,Roll Wagons Roll,0,1940,\N,56,"Drama,Music,Western",Muriel Evans,1910,2000,"actress,archive_footage","tt0027415,tt0028377,tt0025464,tt0025251",30,5
tt0032178,1.0,nm0000891,Wallace Beery,"tt0040271,tt0023948,tt0022958,tt0025948",55,3.0,nm0708081,movie,20 Mule Team,0.0,\N,84.0,movie,20 Mule Team,20 Mule Team,0,1940,\N,84,Western,Marjorie Rambeau,1889,1970,"actress,soundtrack,archive_footage","tt0032946,tt0033187,tt0034297,tt0026282",51,4
tt0032184,1.0,nm0057983,Don 'Red' Barry,"tt0047130,tt0041914,tt0031762,tt0035465",28,4.0,nm0020822,movie,Adventures of Red Ryder,0.0,\N,205.0,movie,Adventures of Red Ryder,Adventures of Red Ryder,0,1940,\N,205,Western,Maude Allen,1887,1960,"actress,soundtrack","tt0020935,tt0032257,tt0008321,tt0031565",53,-25
tt0032221,2.0,nm0000034,William Holden,"tt0046359,tt0047437,tt0043014,tt0074958",22,1.0,nm0000795,movie,Arizona,0.0,\N,125.0,movie,Arizona,Arizona,0,1940,\N,125,"Drama,Western",Jean Arthur,1900,1991,"actress,soundtrack,archive_footage","tt0030993,tt0031679,tt0046303,tt0036172",40,-18
tt0032222,1.0,nm0728811,Tex Ritter,"tt0028283,tt0044706,tt0139699,tt0095253",35,4.0,nm0278035,movie,Arizona Frontier,0.0,\N,60.0,movie,Arizona Frontier,Arizona Frontier,0,1940,\N,60,"Drama,Western",Evelyn Finley,1916,1989,"stunts,actress","tt0090022,tt0036862,tt0035760,tt0035678",24,11
tt0032223,1.0,nm0003706,Tim McCoy,"tt0023631,tt0023567,tt0023682,tt0033351",49,2.0,nm0352740,movie,Arizona Gang Busters,0.0,\N,60.0,movie,Arizona Gang Busters,Arizona Gang Busters,0,1940,\N,60,Western,Pauline Haddon,1912,1976,actress,"tt0032223,tt0032759,tt0032989,tt0032364",28,21
tt0032232,1.0,nm0113902,Johnny Mack Brown,"tt0039950,tt0030137,tt0034640,tt0029126",36,5.0,nm0350374,movie,Bad Man from Red Butte,0.0,\N,58.0,movie,Bad Man from Red Butte,Bad Man from Red Butte,0,1940,\N,58,Western,Anne Gwynne,1918,2003,"actress,soundtrack,archive_footage","tt0036931,tt0037302,tt0039320,tt0041133",22,14
tt0032253,1.0,nm0824496,Bob Steele,"tt0038355,tt0061747,tt0031742,tt0032253",33,2.0,nm0196885,movie,Billy the Kid in Texas,0.0,\N,52.0,movie,Billy the Kid in Texas,Billy the Kid in Texas,0,1940,\N,52,"Drama,Western",Terry Walker,1913,1979,"actress,archive_footage","tt0202640,tt0028641,tt0032253,tt0028540",27,6
tt0032259,1.0,nm0823633,Charles Starrett,"tt0023194,tt0038467,tt0038527,tt0037218",37,2.0,nm0580585,movie,Blazing Six Shooters,0.0,\N,61.0,movie,Blazing Six Shooters,Blazing Six Shooters,0,1940,\N,61,"Drama,Music,Western",Iris Meredith,1915,1980,"actress,soundtrack,archive_footage","tt0032557,tt0033142,tt0031312,tt0031773",25,12
tt0032273,1.0,nm0000022,Clark Gable,"tt0025316,tt0031381,tt0026752,tt0023382",39,3.0,nm0001055,movie,Boom Town,0.0,\N,119.0,movie,Boom Town,Boom Town,0,1940,\N,119,"Drama,Romance,Western",Claudette Colbert,1903,1996,"actress,soundtrack,archive_footage","tt0025316,tt0036367,tt0029929,tt0037280",37,2
tt0032274,1.0,nm0001678,Roy Rogers,"tt0036725,tt1409024,tt0037018,tt0037535",29,3.0,nm0400490,movie,The Border Legion,0.0,\N,58.0,movie,The Border Legion,The Border Legion,0,1940,\N,58,"Drama,Music,Western",Carol Hughes,1910,1995,"actress,soundtrack,archive_footage","tt0032274,tt0032475,tt0030193,tt0029475",30,-1
tt0032292,1.0,nm0639563,George O'Brien,"tt0018455,tt0040369,tt0031630,tt0027384",41,2.0,nm0883922,movie,Bullet Code,0.0,\N,58.0,movie,Bullet Code,Bullet Code,0,1940,\N,58,Western,Virginia Vale,1920,2006,"actress,soundtrack,archive_footage","tt0033399,tt0033185,tt0034550,tt0032292",20,21
tt0032293,1.0,nm0823633,Charles Starrett,"tt0023194,tt0038467,tt0038527,tt0037218",37,2.0,nm0336790,movie,Bullets for Rustlers,0.0,\N,58.0,movie,Bullets for Rustlers,Bullets for Rustlers,0,1940,\N,58,Western,Lorna Gray,1917,2017,"actress,soundtrack,archive_footage","tt0038456,tt0036697,tt0037694,tt0031614",23,14
tt0032311,1.0,nm0000810,Gene Autry,"tt0042110,tt0034106,tt0039909,tt0027361",33,3.0,nm0832475,movie,Carolina Moon,0.0,\N,64.0,movie,Carolina Moon,Carolina Moon,0,1940,\N,64,"Drama,Music,Western",June Storey,1918,1991,"actress,soundtrack,archive_footage","tt0033510,tt0038990,tt0038102,tt0031437",22,11
