tconst,ordering,nconst,titleType,originalTitle,isAdult,endYear,runtimeMinutes,primaryTitle,startYear,genres,primaryName,birthYear,deathYear,primaryProfession,knownForTitles,age
tt0032330,2.0,nm0723422,movie,Cherokee Strip,0.0,\N,86.0,Cherokee Strip,1940,Western,Florence Rice,1907,1974,"actress,soundtrack,archive_footage","tt0030120,tt0033402,tt0035378,tt0033426",33
tt0032592,4.0,nm0737173,movie,Hidden Gold,0.0,\N,60.0,Hidden Gold,1940,Western,Ruth Rogers,1918,1953,actress,"tt0032706,tt0031925,tt0032843,tt0031722",22
tt0032706,2.0,nm0768471,movie,The Light of Western Stars,0.0,\N,64.0,The Light of Western Stars,1940,"Drama,Western",Jo Ann Sayers,1918,2011,actress,"tt0032753,tt0032706,tt0031442,tt0032135",22
tt0032850,2.0,nm0140914,movie,North West Mounted Police,0.0,\N,126.0,North West Mounted Police,1940,"Drama,Romance,Western",Madeleine Carroll,1906,1987,"actress,archive_footage","tt0026029,tt0035100,tt0029442,tt0029057",34
tt0032973,4.0,nm0605685,movie,Rangers of Fortune,0.0,\N,80.0,Rangers of Fortune,1940,Western,Patricia Morison,1915,2018,"actress,soundtrack,archive_footage","tt0036377,tt0038494,tt0035706,tt0036005",25
tt0033020,3.0,nm0708081,movie,Santa Fe Marshal,0.0,\N,68.0,Santa Fe Marshal,1940,Western,Marjorie Rambeau,1889,1970,"actress,soundtrack,archive_footage","tt0032946,tt0033187,tt0034297,tt0026282",51
tt0033047,5.0,nm0165715,movie,The Showdown,0.0,\N,65.0,The Showdown,1940,"Drama,Western",Jan Clayton,1917,1983,"actress,soundtrack,archive_footage","tt0046617,tt0038163,tt0032476,tt1478608",23
tt0033099,3.0,nm0141741,movie,Stagecoach War,0.0,\N,63.0,Stagecoach War,1940,"Drama,Western",Julie Carter,1913,1991,"actress,archive_footage","tt0020320,tt0032276,tt0033099",27
tt0033140,1.0,nm0237655,movie,Texas Rangers Ride Again,0.0,\N,68.0,Texas Rangers Ride Again,1940,"Drama,Western",Ellen Drew,1914,2003,"actress,soundtrack,archive_footage","tt0032338,tt0037820,tt0033916,tt0042229",26
tt0033160,7.0,nm0261890,movie,Three Men from Texas,0.0,\N,76.0,Three Men from Texas,1940,Western,Esther Estrella,1919,2005,actress,"tt0032706,tt0033160,tt0035487,tt0034057",21
tt0033425,4.0,nm0317519,movie,Border Vigilantes,0.0,\N,63.0,Border Vigilantes,1941,Western,Frances Gifford,1920,1994,"actress,archive_footage","tt0036414,tt0034798,tt0032602,tt0033776",21
tt0033546,4.0,nm0326809,movie,Doomed Caravan,0.0,\N,62.0,Doomed Caravan,1941,"Drama,Western",Minna Gombell,1892,1973,"actress,archive_footage","tt0025878,tt0029923,tt0036868,tt0029192",49
tt0033753,4.0,nm0371135,movie,In Old Colorado,0.0,\N,66.0,In Old Colorado,1941,"Drama,Western",Margaret Hayes,1916,1977,"actress,miscellaneous,archive_footage","tt0034240,tt0048790,tt0034798,tt0049027",25
tt0033989,5.0,nm0680482,movie,Outlaws of the Desert,0.0,\N,66.0,Outlaws of the Desert,1941,"Drama,Western",Jean Phillips,1914,1970,actress,"tt0033954,tt0033337,tt0034678,tt0035442",27
tt0034004,2.0,nm0237655,movie,The Parson of Panamint,0.0,\N,84.0,The Parson of Panamint,1941,"Adventure,Romance,Western",Ellen Drew,1914,2003,"actress,soundtrack,archive_footage","tt0032338,tt0037820,tt0033916,tt0042229",27
tt0034030,4.0,nm0829362,movie,Pirates on Horseback,0.0,\N,69.0,Pirates on Horseback,1941,Western,Eleanor Stewart,1913,2007,"actress,miscellaneous,archive_footage","tt0029464,tt0030690,tt0034030,tt0033238",28
tt0034105,5.0,nm0829362,movie,Riders of the Timberline,0.0,\N,59.0,Riders of the Timberline,1941,"Drama,Western",Eleanor Stewart,1913,2007,"actress,miscellaneous,archive_footage","tt0029464,tt0030690,tt0034030,tt0033238",28
tt0034133,2.0,nm0605685,movie,The Round Up,0.0,\N,90.0,The Round Up,1941,Western,Patricia Morison,1915,2018,"actress,soundtrack,archive_footage","tt0036377,tt0038494,tt0035706,tt0036005",26
tt0034166,4.0,nm0948540,movie,Secret of the Wastelands,0.0,\N,66.0,Secret of the Wastelands,1941,"Drama,Western",Soo Yong,1903,1984,"actress,archive_footage","tt0028944,tt0050933,tt0026205,tt0054885",38
tt0034233,4.0,nm0392450,movie,Stick to Your Guns,0.0,\N,63.0,Stick to Your Guns,1941,"Drama,Western",Jennifer Holt,1920,1997,"actress,soundtrack,archive_footage","tt0039227,tt0039380,tt0037940,tt0037757",21
tt0034320,4.0,nm0571085,movie,Twilight on the Trail,0.0,\N,57.0,Twilight on the Trail,1941,Western,Wanda McKay,1915,1996,"actress,archive_footage","tt0040500,tt0035791,tt0037084,tt0037786",26
tt0034391,4.0,nm0107574,movie,Wide Open Town,0.0,\N,79.0,Wide Open Town,1941,Western,Evelyn Brent,1899,1975,"actress,soundtrack,archive_footage","tt0021374,tt0020900,tt0148436,tt0027069",42
tt0034812,1.0,nm0001766,movie,The Great Man's Lady,0.0,\N,90.0,The Great Man's Lady,1941,"Drama,Romance,Western",Barbara Stanwyck,1907,1990,"actress,soundtrack,archive_footage","tt0036775,tt0033373,tt0040823,tt0032080",34
tt0038392,1.0,nm0001766,movie,California,0.0,\N,97.0,California,1947,Western,Barbara Stanwyck,1907,1990,"actress,soundtrack,archive_footage","tt0036775,tt0033373,tt0040823,tt0032080",40
tt0039082,4.0,nm0110159,movie,The Virginian,0.0,\N,87.0,The Virginian,1946,Western,Barbara Britton,1919,1980,"actress,archive_footage","tt0038513,tt0042325,tt0040616,tt0040543",27
tt0040082,2.0,nm0110159,movie,Albuquerque,0.0,\N,90.0,Albuquerque,1948,Western,Barbara Britton,1919,1980,"actress,archive_footage","tt0038513,tt0042325,tt0040616,tt0040543",29
tt0040679,2.0,nm0000066,movie,The Paleface,0.0,\N,91.0,The Paleface,1948,"Comedy,Family,Western",Jane Russell,1921,2011,"actress,producer,soundtrack","tt0045810,tt0044863,tt0043643,tt0043476",27
tt0040965,3.0,nm0550782,movie,Whispering Smith,0.0,\N,88.0,Whispering Smith,1948,Western,Brenda Marshall,1915,1992,"actress,soundtrack,archive_footage","tt0033028,tt0038986,tt0034578,tt0035751",33
tt0041332,2.0,nm0751149,movie,El Paso,0.0,\N,103.0,El Paso,1949,Western,Gail Russell,1924,1961,"actress,soundtrack,archive_footage","tt0037415,tt0039152,tt0039235,tt0040643",25
tt0041929,3.0,nm0293530,movie,Streets of Laredo,0.0,\N,93,Streets of Laredo,1949,"Drama,Western",Mona Freeman,1926,2014,"actress,soundtrack,archive_footage","tt0039307,tt0037632,tt0041452,tt0042279",23
