tconst,primaryTitle,startYear,genres
tt0033020,Santa Fe Marshal,1940,Western
tt0033047,The Showdown,1940,"Drama,Western"
tt0032706,The Light of Western Stars,1940,"Drama,Western"
tt0032592,Hidden Gold,1940,Western
tt0033099,Stagecoach War,1940,"Drama,Western"
tt0032973,Rangers of Fortune,1940,Western
tt0032330,Cherokee Strip,1940,Western
tt0032850,North West Mounted Police,1940,"Drama,Romance,Western"
tt0033160,Three Men from Texas,1940,Western
tt0033140,Texas Rangers Ride Again,1940,"Drama,Western"
tt0033546,Doomed Caravan,1941,"Drama,Western"
tt0033753,In Old Colorado,1941,"Drama,Western"
tt0034133,The Round Up,1941,Western
tt0033425,Border Vigilantes,1941,Western
tt0034030,Pirates on Horseback,1941,Western
tt0034004,The Parson of Panamint,1941,"Adventure,Romance,Western"
tt0034391,Wide Open Town,1941,Western
tt0034105,Riders of the Timberline,1941,"Drama,Western"
tt0034233,Stick to Your Guns,1941,"Drama,Western"
tt0034320,Twilight on the Trail,1941,Western
tt0033989,Outlaws of the Desert,1941,"Drama,Western"
tt0034166,Secret of the Wastelands,1941,"Drama,Western"
tt0034812,The Great Man's Lady,1941,"Drama,Romance,Western"
tt0039082,The Virginian,1946,Western
tt0038392,California,1947,Western
tt0040082,Albuquerque,1948,Western
tt0040965,Whispering Smith,1948,Western
tt0040679,The Paleface,1948,"Comedy,Family,Western"
tt0041929,Streets of Laredo,1949,"Drama,Western"
tt0041332,El Paso,1949,Western
