tconst,ordering_M,nconst_M,primaryName_M,knownForTitles_M,age_M,ordering_F,nconst_F,primaryTitle,startYear,genres,primaryName_F,birthYear,deathYear,primaryProfession,knownForTitles_F,age_F,age_gap
tt0032292,1.0,nm0639563,George O'Brien,"tt0018455,tt0040369,tt0031630,tt0027384",41,2.0,nm0883922,Bullet Code,1940,Western,Virginia Vale,1920,2006,"actress,soundtrack,archive_footage","tt0033399,tt0033185,tt0034550,tt0032292",20,21
tt0032696,1.0,nm0639563,George O'Brien,"tt0018455,tt0040369,tt0031630,tt0027384",41,2.0,nm0883922,Legion of the Lawless,1940,Western,Virginia Vale,1920,2006,"actress,soundtrack,archive_footage","tt0033399,tt0033185,tt0034550,tt0032292",20,21
tt0032939,1.0,nm0639563,George O'Brien,"tt0018455,tt0040369,tt0031630,tt0027384",41,2.0,nm0883922,Prairie Law,1940,Western,Virginia Vale,1920,2006,"actress,soundtrack,archive_footage","tt0033399,tt0033185,tt0034550,tt0032292",20,21
tt0033098,1.0,nm0639563,George O'Brien,"tt0018455,tt0040369,tt0031630,tt0027384",41,2.0,nm0883922,Stage to Chino,1940,Western,Virginia Vale,1920,2006,"actress,soundtrack,archive_footage","tt0033399,tt0033185,tt0034550,tt0032292",20,21
tt0033185,1.0,nm0639563,George O'Brien,"tt0018455,tt0040369,tt0031630,tt0027384",41,2.0,nm0883922,Triple Justice,1940,"Romance,Western",Virginia Vale,1920,2006,"actress,soundtrack,archive_footage","tt0033399,tt0033185,tt0034550,tt0032292",20,21
tt0033234,1.0,nm0392529,Tim Holt,"tt0035015,tt0040897,tt0038762,tt0031971",21,4.0,nm0640930,Wagon Train,1940,"Drama,Western",Martha O'Driscoll,1922,1998,"actress,soundtrack,archive_footage","tt0037793,tt0038203,tt0038364,tt0038490",18,3
tt0033332,1.0,nm0392529,Tim Holt,"tt0035015,tt0040897,tt0038762,tt0031971",22,3.0,nm0722384,Along the Rio Grande,1941,"Drama,Music,Western",Betty Jane Rhodes,1921,2011,"actress,soundtrack,archive_footage","tt0037475,tt0036327,tt0035216,tt0029145",20,2
tt0033375,1.0,nm0392529,Tim Holt,"tt0035015,tt0040897,tt0038762,tt0031971",22,3.0,nm0907228,The Bandit Trail,1941,"Drama,Music,Western",Janet Waldo,1919,2016,"actress,soundtrack,archive_footage","tt0055683,tt0070544,tt0173587,tt0083481",22,0
tt0033478,1.0,nm0392529,Tim Holt,"tt0035015,tt0040897,tt0038762,tt0031971",23,2.0,nm0623610,Come on Danger,1942,"Drama,Music,Western",Frances E. Neal,1920,1988,"actress,archive_footage","tt0033805,tt0033478,tt0035205,tt0043208",22,1
tt0033505,1.0,nm0392529,Tim Holt,"tt0035015,tt0040897,tt0038762,tt0031971",22,2.0,nm0721851,Cyclone on Horseback,1941,"Drama,Western",Marjorie Reynolds,1917,1997,"actress,soundtrack,archive_footage","tt0039037,tt0034862,tt0032404,tt0043643",24,-2
