tconst,primaryTitle,startYear,genres
tt0032696,Legion of the Lawless,1940,Western
tt0032292,Bullet Code,1940,Western
tt0032939,Prairie Law,1940,Western
tt0033098,Stage to Chino,1940,Western
tt0033185,Triple Justice,1940,"Romance,Western"
tt0033234,Wagon Train,1940,"Drama,Western"
tt0033587,The Fargo Kid,1940,"Drama,Western"
tt0033332,Along the Rio Grande,1941,"Drama,Music,Western"
tt0034119,Robbers of the Range,1941,"Drama,Western"
tt0033505,Cyclone on Horseback,1941,"Drama,Western"
tt0034195,Six-Gun Gold,1941,Western
tt0033375,The Bandit Trail,1941,"Drama,Music,Western"
tt0033560,Dude Cowboy,1941,"Drama,Music,Western"
tt0035502,Valley of the Sun,1942,"Drama,Western"
tt0034109,Riding the Wind,1942,"Drama,Western"
tt0033810,Land of the Open Range,1942,"Drama,Western"
tt0033478,Come on Danger,1942,"Drama,Music,Western"
tt0034290,Thundering Hoofs,1942,"Drama,Music,Western"
tt0034494,Bandit Ranger,1942,"Drama,Music,Western"
tt0036296,Red River Robin Hood,1942,"Drama,Western"
tt0035193,Pirates of the Prairie,1942,"Drama,Music,Western"
tt0035874,Fighting Frontier,1943,Western
tt0035282,Sagebrush Law,1943,"Drama,Western"
tt0035655,The Avenging Rider,1943,Western
tt0036092,A Lady Takes a Chance,1943,"Comedy,Romance,Western"
tt0037343,Tall in the Saddle,1944,Western
tt0036865,Girl Rush,1944,"Comedy,Musical,Western"
tt0037124,Nevada,1944,"Drama,Western"
tt0037508,Along Came Jones,1945,"Comedy,Romance,Western"
tt0038241,West of the Pecos,1945,Western
tt0038237,Wanderer of the Wasteland,1945,Western
tt0038321,Badman's Territory,1946,Western
tt0038996,Sunset Pass,1946,Western
tt0039908,Trail Street,1947,Western
tt0039271,Code of the West,1947,Western
tt0039901,Thunder Mountain,1947,Western
tt0039934,Under the Tonto Rim,1947,Western
tt0179533,Wild Horse Mesa,1947,"Drama,Western"
tt0040956,Western Heritage,1948,Western
tt0040113,The Arizona Ranger,1948,"Drama,Western"
tt0040369,Fort Apache,1948,"Drama,Western"
tt0040411,Guns of Hate,1948,"Drama,Western"
tt0040732,Return of the Bad Men,1948,Western
tt0040835,Station West,1948,Western
tt0040175,Blood on the Moon,1948,"Drama,Western"
tt0040470,Indian Agent,1948,"Drama,Western"
tt0040409,Gun Smugglers,1948,"Drama,Western"
tt0041211,Brothers in the Saddle,1949,"Drama,Western"
tt0041832,Rustlers,1949,Western
tt0041915,Stagecoach Kid,1949,Western
tt0041866,She Wore a Yellow Ribbon,1949,Western
tt0041675,The Mysterious Desperado,1949,"Drama,Western"
tt0041642,Masked Raiders,1949,Western
