tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres
tt0018867,movie,Escape from Hong Kong,Escape from Hong Kong,0,1942,\N,60,"Adventure,Mystery,War"
tt0021617,movie,Arizona Territory,Arizona Territory,0,1950,\N,56,Western
tt0022064,movie,Lebbra bianca,Lebbra bianca,0,1951,\N,80,Drama
tt0024121,movie,Houkutuslintu,Houkutuslintu,0,1946,\N,84,Drama
tt0025557,movie,El negro que tenía el alma blanca,El negro que tenía el alma blanca,0,1951,\N,87,"Drama,Musical"
tt0027269,movie,Alhambra,Alhambra,0,1940,\N,\N,\N
tt0027318,movie,August järjestää kaiken,August järjestää kaiken,0,1942,\N,95,Comedy
tt0028038,movie,Non mi sposo più,Non mi sposo più,0,1942,\N,82,Comedy
tt0028039,movie,Quando Donna Vuole,Non ti conosco più,0,1940,\N,65,Comedy
tt0028058,movie,Olympic Honeymoon,Olympic Honeymoon,0,1940,\N,63,Comedy
tt0029105,movie,Lady from Lisbon,The Lady from Lisbon,0,1942,\N,75,"Comedy,Thriller,War"
tt0029284,movie,My Favorite Wife,My Favorite Wife,0,1940,\N,88,"Comedy,Romance"
tt0029330,movie,Of One Blood,Of One Blood,0,1944,\N,64,Thriller
tt0029704,movie,The Last Enemy,L'ultima nemica,0,1940,\N,88,Drama
tt0029859,movie,Altes Herz geht auf die Reise,Altes Herz geht auf die Reise,0,1947,\N,87,Drama
tt0029876,movie,El fanfarrón: ¡Aquí llegó el valentón!,El fanfarrón: ¡Aquí llegó el valentón!,0,1940,\N,83,"Adventure,Drama,Western"
tt0030495,movie,Narcisse,Narcisse,0,1940,\N,95,Drama
tt0030827,movie,Szüts Mara házassága,Szüts Mara házassága,0,1941,\N,91,Romance
tt0030998,movie,You're Only Young Twice,You're Only Young Twice,0,1952,\N,81,Comedy
tt0031030,movie,Bulldog Sees It Through,Bulldog Sees It Through,0,1940,\N,77,Mystery
tt0031042,movie,Amores de juventud,Amores de juventud,0,1941,\N,109,Comedy
tt0031050,movie,Arditi civili,Arditi civili,0,1940,\N,90,Drama
tt0031061,movie,House of Mystery,At the Villa Rose,0,1940,\N,62,"Drama,Mystery"
tt0031077,movie,Band Waggon,Band Waggon,0,1940,\N,85,"Comedy,Musical"
tt0031084,movie,Beating Heart,Battement de coeur,0,1940,\N,97,"Comedy,Drama"
tt0031136,movie,The Miracle Song,La canción del milagro,0,1940,\N,85,"Drama,Family,Musical"
