tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres
tt0021617,movie,Arizona Territory,Arizona Territory,0,1950,\N,56,Western
tt0022064,movie,Lebbra bianca,Lebbra bianca,0,1951,\N,80,Drama
tt0025557,movie,El negro que tenía el alma blanca,El negro que tenía el alma blanca,0,1951,\N,87,"Drama,Musical"
tt0030998,movie,You're Only Young Twice,You're Only Young Twice,0,1952,\N,81,Comedy
tt0031603,movie,Made in Germany - Die dramatische Geschichte des Hauses Zeiss,Made in Germany,0,1957,\N,97,"Biography,Drama"
tt0032787,movie,Mi noche triste,Mi noche triste,0,1952,\N,92,"Drama,Musical"
tt0034683,movie,Dramma sul Tevere,Dramma sul Tevere,0,1952,\N,88,Drama
tt0035933,movie,Elephant Fury,Gesprengte Gitter,0,1953,\N,83,"Drama,War"
tt0036247,movie,Padre nuestro,Padre nuestro,0,1953,\N,89,"Drama,Family"
tt0036345,movie,Honour Is Precious,Al-sharaf ghali,0,1951,\N,\N,\N
tt0036493,movie,Mystery of the Black Jungle,I misteri della giungla nera,0,1954,\N,80,"Action,Adventure,Mystery"
tt0036991,movie,Die Kreuzlschreiber,Die Kreuzlschreiber,0,1950,\N,92,Comedy
tt0037483,movie,Augen der Liebe,Augen der Liebe,0,1951,\N,99,Drama
tt0037585,movie,Knights of the Queen,I cavalieri della regina,0,1954,\N,79,Adventure
tt0037745,movie,Glück muß man haben,Glück muß man haben,0,1950,\N,78,\N
tt0037809,movie,Mathilde Möhring,Mathilde Möhring,0,1950,\N,77,Drama
tt0038020,movie,Relato policíaco,Relato policíaco,0,1954,\N,75,Crime
tt0038066,movie,Il segreto della Sierra Dorada,Il segreto della Sierra Dorada,0,1957,\N,82,Adventure
tt0038089,movie,Siluri umani,Siluri umani,0,1954,\N,87,"Drama,War"
tt0038218,movie,Verlobte Leute,Verlobte Leute,0,1950,\N,80,Comedy
tt0038240,movie,Das Licht der Liebe,Das Licht der Liebe,0,1954,\N,95,Drama
tt0038405,movie,El centauro,El centauro,0,1950,\N,87,\N
tt0038475,movie,Dharti Ke Lal,Dharti Ke Lal,0,1950,\N,125,"Drama,History"
tt0039241,movie,Capitan Demonio,Capitan Demonio,0,1950,\N,90,"Adventure,History"
tt0039794,movie,Patience Is Beautiful,El sabri jamil,0,1951,\N,\N,\N
tt0039952,movie,Vecchio cinema... che passione!,Vecchio cinema... che passione!,0,1957,\N,\N,\N
tt0040018,movie,It's Forever Springtime,È primavera...,0,1950,\N,92,"Comedy,Drama"
tt0040138,movie,The Inn of Sin,L'auberge du péché,0,1950,\N,108,"Crime,Drama"
tt0040140,movie,Aventuras y desventuras de Eduardini,Aventuras y desventuras de Eduardini,0,1952,\N,102,Comedy
tt0040234,movie,Cita con mi viejo corazón,Cita con mi viejo corazón,0,1950,\N,120,Comedy
tt0040258,movie,El curioso impertinente,El curioso impertinente,0,1953,\N,85,Drama
tt0040266,movie,The Dancing Years,The Dancing Years,0,1950,\N,98,"Drama,Musical,Romance"
tt0040284,movie,Sins of Pompeii,Gli ultimi giorni di Pompei,0,1950,\N,110,"Drama,History"
tt0040300,movie,Doña Diabla,Doña Diabla,0,1950,\N,95,Drama
tt0040306,movie,El duende y el rey,El duende y el rey,0,1950,\N,80,Drama
tt0040326,movie,La esfinge maragata,La esfinge maragata,0,1950,\N,85,Drama
tt0040405,movie,Guarany,Guarany,0,1950,\N,\N,\N
tt0040412,movie,Ha entrado un ladrón,Ha entrado un ladrón,0,1950,\N,99,Drama
tt0040453,movie,Hoy no pasamos lista,Hoy no pasamos lista,0,1950,\N,92,\N
tt0040559,movie,The Machine to Kill Bad People,La macchina ammazzacattivi,0,1952,\N,83,"Comedy,Fantasy"
tt0040775,movie,El señor Esteve,El señor Esteve,0,1950,\N,108,\N
tt0040791,movie,Sin uniforme,Sin uniforme,0,1950,\N,86,\N
tt0040814,movie,Sobresaliente,Sobresaliente,0,1953,\N,90,Comedy
tt0040818,movie,La sombra iluminada,La sombra iluminada,0,1950,\N,77,\N
tt0040846,movie,The Art of Burlesque,The Art of Burlesque,0,1950,\N,60,Comedy
tt0040899,movie,Tres ladrones en la casa,Tres ladrones en la casa,0,1950,\N,80,\N
